Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_NKE,Predicted_Covariance,Future_Cov_45_NKE,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.42189100118273265,0.0003032111016922457,1.0772467880662266,5.447167076059564e-05,5.899943226042218e-05,0.9907747417459002
2013-03-01,5.488021190183326e-05,0.4211260169500784,0.0003079538668782875,1.069673632251325,5.474731105428585e-05,5.8528936729224935e-05,0.9975783466764826
2013-03-04,5.501029900576039e-05,0.4140390565053163,0.0003076417303535018,1.072401971093162,5.386242913863643e-05,5.863064189606581e-05,0.9791335461200864
2013-03-05,5.845535101370509e-05,0.41375882663342906,0.00031290727964698533,1.090077510972835,5.595865165064319e-05,5.84224578491893e-05,0.9572887799018341
2013-03-06,5.9250468430820016e-05,0.40030916712740566,0.00031598344159977805,1.0921861807639683,5.4773890873186235e-05,5.893899129703509e-05,0.9244465457203842
2013-03-07,5.369174155549812e-05,0.39637902105004635,0.0003247853716856497,1.102424011225165,5.234348525542814e-05,5.958814762828002e-05,0.9748889445376556
2013-03-08,4.524810700565277e-05,0.3968477454893901,0.000334319791340717,1.1251549434966657,4.8809590983694436e-05,6.057248242502136e-05,1.0787101210133883
2013-03-11,4.8373919939468494e-05,0.402885488379242,0.000340241040094306,1.1545560297581607,5.1686915311025764e-05,6.41429193875573e-05,1.0684872215380292
2013-03-12,5.1431479865635213e-05,0.4129489035006573,0.0003475351586647658,1.1091841359057364,5.520904070759809e-05,6.16951658713263e-05,1.0734484182028547
2013-03-13,5.5261000285198275e-05,0.4196366810705195,0.0003561932077196155,1.154202981459308,5.88742830173765e-05,6.515925676555388e-05,1.0653857641651494
2013-03-14,6.195858588029715e-05,0.4228942530708693,0.00035353684047097135,1.1723517907884573,6.258926766000003e-05,6.759875540190714e-05,1.0101790860902047
2013-03-15,6.386120353979619e-05,0.428916472376264,0.00035148349022163004,1.1915336129452394,6.426044669614332e-05,6.73543469617257e-05,1.0062517324168239
2013-03-18,6.402550064969363e-05,0.4366917126482645,0.00035164088828238896,1.1716899693045213,6.552410927707753e-05,6.487560190671508e-05,1.0234064335643906
2013-03-19,6.71640875084588e-05,0.4419127551455934,0.0003509472557462337,1.182744859864736,6.784627709850328e-05,6.728017106857481e-05,1.0101570588591495
2013-03-20,6.839791392936718e-05,0.4438090675705015,0.00035474818974252524,1.192369645500183,6.913177269537069e-05,6.752241610251522e-05,1.010729256549569
2013-03-21,6.814178529168062e-05,0.4701357196728353,0.00035947350822286106,1.1422101647346614,7.358062084524044e-05,6.221096477765226e-05,1.079816452273431
2013-03-22,6.79733209422515e-05,0.5487973913683035,0.0004853203397964585,0.8820780869884286,9.967713097787082e-05,4.7596718030613926e-05,1.4664154935515672
2013-03-25,7.243408887933498e-05,0.5624602940653229,0.0004732861795393326,0.8912560604076304,0.00010414184843957895,4.873390789110886e-05,1.4377463712295
2013-03-26,7.339742545776695e-05,0.5599367852959793,0.0004599497726115027,0.9038148291241164,0.00010288086738577684,4.863725294750485e-05,1.401695859822423
2013-03-27,7.311742529462491e-05,0.5675441682123858,0.000454637312277305,0.8904545169958228,0.00010347671863063239,5.285138510282426e-05,1.4152128335164351
2013-03-28,6.422356192814954e-05,0.565648222807644,0.0003853837086878238,0.9139370827595356,8.89898136024436e-05,5.457728539067103e-05,1.385625632256296
2013-04-01,6.678777769649997e-05,0.5739011909550451,0.0003448627849923989,0.8957246691563356,8.709812142046221e-05,5.367887417812792e-05,1.304102702986427
2013-04-02,6.451960799026473e-05,0.5949480068829284,0.00030238146348021986,0.911019491232568,8.310027409962932e-05,5.8858862395573076e-05,1.2879847954464976
2013-04-03,6.836168011312682e-05,0.5695785947832337,0.0002764454352491845,0.9412951201641496,7.830053604565049e-05,5.964016075994248e-05,1.1453863614246544
2013-04-04,6.901245142532413e-05,0.5623865922445219,0.00025892691478626934,0.9277470294349276,7.51773969012941e-05,6.139035244121221e-05,1.0893309156339828
2013-04-05,6.697476452894188e-05,0.5972529148607869,0.000238032427918968,0.9212562733805544,7.54105205835914e-05,6.02904030040196e-05,1.125954247304657
2013-04-08,7.273438811092278e-05,0.6290039541339711,0.00022519365511663016,0.9204437258743872,8.050101299225418e-05,6.236067569523809e-05,1.1067806450710358
2013-04-09,7.022991067372413e-05,0.6555222713699641,0.0002134011922666129,0.9366600244169012,8.025034907602869e-05,6.50864872497575e-05,1.14268049476608
2013-04-10,6.636144982931065e-05,0.6678690894730568,0.00020160958587685457,0.9153620893311812,7.725113436818537e-05,6.517417567471117e-05,1.1640965435035588
2013-04-11,6.716170407401359e-05,0.6823393357761182,0.00020113749596161894,0.887511047172501,7.930631695168532e-05,6.403556454844436e-05,1.1808264552711187
2013-04-12,6.98842565011876e-05,0.6937841159125883,0.00019213680496773286,0.8671610544542889,8.039319879803275e-05,6.335832438747096e-05,1.1503763912357938
2013-04-15,9.593981606210937e-05,0.6987556326232809,0.00020741061091432382,0.9099592149723972,9.856897667556677e-05,5.492175742440718e-05,1.0274042698993224
2013-04-16,8.836558039441448e-05,0.7029863425088755,0.00021063939321884538,0.8692968057270621,9.590875477090744e-05,5.33267079528442e-05,1.0853632640992619
2013-04-17,8.959564094882932e-05,0.687734685175062,0.00020863393315126923,0.914276472962771,9.402792259302652e-05,6.497592768886113e-05,1.0494698357783792
2013-04-18,9.719405369416862e-05,0.6886650487579935,0.00020717758698573225,0.9025861067984684,9.77235590188767e-05,6.33134063521411e-05,1.0054479189269563
2013-04-19,7.72897485213767e-05,0.6856973238369706,0.00019236139652593112,0.8828601959912845,8.360887162351957e-05,6.40674167959001e-05,1.0817588777688303
2013-04-22,7.797978274745508e-05,0.6627467703492441,0.00018264561612576819,0.8763209068131127,7.909394851160998e-05,6.497964255461939e-05,1.0142878798183272
2013-04-23,8.499754389235151e-05,0.6285082378762095,0.00017563244752551738,0.9323552875205982,7.679209913554738e-05,6.895542548413314e-05,0.903462566316078
2013-04-24,7.773768893068322e-05,0.6098066200884373,0.00016936851463743795,0.9363995921843378,6.997199989604854e-05,6.988880821226525e-05,0.9001039374664308
2013-04-25,6.90805921567358e-05,0.5891168786035029,0.00016495750822660156,0.8965969136109413,6.288767450589303e-05,6.704615876061453e-05,0.9103522790193841
2013-04-26,7.034557142953508e-05,0.6262326251751827,0.00015922629045353757,0.8514648890819788,6.627678895561186e-05,6.416844129228831e-05,0.942160076444913
2013-04-29,6.776168711759701e-05,0.64555811887325,0.00015373815562355313,0.8368613945164176,6.5889814658532e-05,6.233765423106111e-05,0.9723756515120932
2013-04-30,5.8041023931509805e-05,0.6696030247322553,0.0001498053036955851,0.8281210864714378,6.243793541918035e-05,6.160113330254066e-05,1.0757552363800307
2013-05-01,6.311211636341748e-05,0.6816326252529944,0.00014625616502813603,0.8513824437866445,6.548831733808773e-05,6.372743448395098e-05,1.037650472073974
2013-05-02,6.214021471172626e-05,0.6934090544218455,0.00014328080518574365,0.8680115744392702,6.542894080381377e-05,6.400493899179586e-05,1.0529242795079514
2013-05-03,7.476459886581012e-05,0.6788832113925501,0.00014433297876150004,0.830111508448029,7.052220128741164e-05,6.033196312743807e-05,0.9432565994768075
2013-05-06,7.535412832838797e-05,0.6597508072689374,0.00014387244254708933,0.8372084556616669,6.869454698818031e-05,6.076710752758828e-05,0.9116228733854412
2013-05-07,7.392273390092128e-05,0.6324434451552821,0.00016320590023223122,0.808805507400996,6.946701434032022e-05,6.142063739134317e-05,0.9397246378012336
2013-05-08,6.958015556766957e-05,0.6344952791965186,0.00017845422497129619,0.8127018771589153,7.070245761788361e-05,6.14311330703923e-05,1.0161296283553514
2013-05-09,7.111722928104653e-05,0.6232788152822805,0.00019087092064695672,0.8058438454298231,7.261722756953605e-05,6.088357074798607e-05,1.021091911252078
2013-05-10,7.562958883543677e-05,0.6272815113363686,0.00019670232972690684,0.8030762613012304,7.650910272649895e-05,6.0900725706549626e-05,1.0116292301016725
2013-05-13,7.357910230951406e-05,0.631313404386265,0.00019967959110422017,0.8084554108864456,7.652248984811096e-05,6.137848702981217e-05,1.0400030368162878
2013-05-14,7.590263764609063e-05,0.6437995247240016,0.000204875237594945,0.7671839393522261,8.028304217193237e-05,5.701281425805596e-05,1.0577108340591028
2013-05-15,7.650099964197039e-05,0.645961850406899,0.00021580675532314482,0.7734990286401734,8.29990158022212e-05,5.709161398569958e-05,1.0849402777827994
2013-05-16,7.639729836462006e-05,0.664722606302535,0.00022866489743981035,0.7460821217817891,8.785757251251711e-05,5.465404555298806e-05,1.1500088928956729
2013-05-17,7.425705624970095e-05,0.6611905471146842,0.00021588786721824196,0.7240994376732834,8.3716221463539e-05,5.175491775958981e-05,1.1273840587220443
2013-05-20,7.217439206379002e-05,0.6581387307223776,0.00023502213516864834,0.7307036397712494,8.571629686031282e-05,5.248094626389933e-05,1.1876275561081837
2013-05-21,7.13709588975209e-05,0.6554036351577103,0.0002474824835216082,0.7292414329520293,8.710475117722811e-05,5.243228293146657e-05,1.220450902198173
2013-05-22,7.35750525384875e-05,0.6577656573035909,0.00026087268275851514,0.7155630634680658,9.112777936914634e-05,5.04751864428212e-05,1.2385690016527942
2013-05-23,7.454058968752127e-05,0.6612388321072115,0.0002736507522001632,0.693283586044402,9.443937088671551e-05,4.892323175619041e-05,1.26695229112905
2013-05-24,7.630250921850573e-05,0.6330207272569823,0.0002558446521289168,0.6897733734574454,8.844545332852688e-05,4.865262785372119e-05,1.159142133520769
2013-05-28,7.438631671877e-05,0.5888099593273942,0.00017122245730341856,0.6826527580964371,6.645107903364187e-05,4.766484754864027e-05,0.8933239601696017
2013-05-29,7.273626036607267e-05,0.5843638457457581,0.00018356102201382596,0.8174450472323909,6.752258440142991e-05,5.839353398419469e-05,0.9283208136024182
2013-05-30,7.309916508279677e-05,0.5830793378452582,0.00019632506860132903,0.8297674940293136,6.985085705119706e-05,5.912433129579844e-05,0.9555629940790642
2013-05-31,7.696255068093324e-05,0.5921320676307187,0.0002080916631782631,0.8236145754931512,7.493516163545376e-05,5.4397691101071635e-05,0.9736574603161932
2013-06-03,7.835861755638394e-05,0.5943666572899179,0.0002246548811510109,0.7833589963905595,7.88598144080227e-05,5.2110044919068554e-05,1.0063961931344452
2013-06-04,7.696792659140356e-05,0.5918398976256192,0.00022900258619733158,0.7980388522014459,7.857408386469242e-05,5.2814711113105154e-05,1.0208678776266822
2013-06-05,8.390672708275947e-05,0.5991442011706758,0.00024055003525664788,0.7687368355044236,8.512016627786997e-05,4.705417574124484e-05,1.0144617629277048
