Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_AMJ,Predicted_Covariance,Future_Cov_45_AMJ,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.534672536889073,6.615905234663118e-05,0.7407094550919142,3.224633787835671e-05,4.056771187853648e-05,0.5865224370314606
2013-03-01,5.488021190183326e-05,0.5369092267629668,6.46432695151732e-05,0.7372376247114713,3.1979407579088244e-05,4.033915859020022e-05,0.5827129027178551
2013-03-04,5.501029900576039e-05,0.5529899560052759,5.9517071610124514e-05,0.720996618121433,3.164171564707496e-05,3.941851625119762e-05,0.5751962126903111
2013-03-05,5.845535101370509e-05,0.5480639951067136,6.0041302318517005e-05,0.7596008303755584,3.24689661476596e-05,4.0710634838453326e-05,0.5554489979890314
2013-03-06,5.9250468430820016e-05,0.5427659599711849,6.658874512656632e-05,0.7414404090705746,3.4092504940870866e-05,4.0011264184750384e-05,0.5753963781852084
2013-03-07,5.369174155549812e-05,0.5454212862981458,6.509832751273557e-05,0.7319052836793581,3.224562093121269e-05,3.956089458296096e-05,0.600569473014434
2013-03-08,4.524810700565277e-05,0.5033710728459575,3.4892703972431087e-05,0.7242404275427766,2.000118720703423e-05,3.8989332822457435e-05,0.4420336789898308
2013-03-11,4.8373919939468494e-05,0.5125189612110563,4.0139372250903784e-05,0.6584706752942061,2.2584000048359597e-05,3.658222758865475e-05,0.46686313775314314
2013-03-12,5.1431479865635213e-05,0.5167275145241186,5.102843036281534e-05,0.65191553226733,2.647172255831619e-05,3.6260919711481495e-05,0.5146988309003278
2013-03-13,5.5261000285198275e-05,0.5297354383866613,7.182623234909381e-05,0.6825711177558585,3.337412908848741e-05,3.85337998922619e-05,0.6039363912387723
2013-03-14,6.195858588029715e-05,0.5226390081852603,8.177957666301239e-05,0.7026982902559871,3.720274612548278e-05,4.0518153524895386e-05,0.6004453716448243
2013-03-15,6.386120353979619e-05,0.5241034376128203,9.32961003666909e-05,0.6974227861977539,4.045454336995222e-05,3.942352595867205e-05,0.6334760563155106
2013-03-18,6.402550064969363e-05,0.5270023815520875,9.907651994954267e-05,0.7015685427352747,4.1973428135640445e-05,3.884532827039902e-05,0.6555736028569625
2013-03-19,6.71640875084588e-05,0.5324153910303178,0.00010877397102390179,0.7003492251264809,4.5507361161414783e-05,3.983920562516096e-05,0.6775549679832021
2013-03-20,6.839791392936718e-05,0.5413673941164242,0.00013233996966099577,0.6899105853065844,5.150614412501185e-05,3.906878189192699e-05,0.7530367691944664
2013-03-21,6.814178529168062e-05,0.5177491759460119,0.0001375877057192644,0.771590634470634,5.013211008117562e-05,4.202501366722628e-05,0.7357029151288792
2013-03-22,6.79733209422515e-05,0.520514294151053,0.0001458795359152588,0.7607220223489667,5.1832134181628287e-05,4.104837443705503e-05,0.7625364402257706
2013-03-25,7.243408887933498e-05,0.5141858703031168,0.00014034662552225478,0.8357808579027735,5.1843298620524485e-05,4.570052216818236e-05,0.7157306652519387
2013-03-26,7.339742545776695e-05,0.5167263333510711,0.00014055479257857122,0.815750592250779,5.248362661777145e-05,4.3898226294680144e-05,0.7150608661058644
2013-03-27,7.311742529462491e-05,0.5134358089516894,0.00012696590197235397,0.7711562944154469,4.9469799580620414e-05,4.577064579123131e-05,0.6765801637746822
2013-03-28,6.422356192814954e-05,0.5169832882722694,0.00012772984172550842,0.7502488184870459,4.682414821439534e-05,4.480236621644414e-05,0.729080524477607
2013-04-01,6.678777769649997e-05,0.518322113120843,0.00012498966117595916,0.7476375527897973,4.7357119589821275e-05,4.48043282818669e-05,0.7090686533249188
2013-04-02,6.451960799026473e-05,0.5154412852029839,0.00012166320353805553,0.8128164739121333,4.566723161431922e-05,5.2514192562578376e-05,0.7078039225100358
2013-04-03,6.836168011312682e-05,0.5393017317008274,0.00015394071556339937,0.8401872135363835,5.532417280522673e-05,5.323399581102659e-05,0.8092863240586649
2013-04-04,6.901245142532413e-05,0.5358598649919057,0.00015125636617022953,0.8504207025031915,5.474844503339936e-05,5.627355840931437e-05,0.7933125675537067
2013-04-05,6.697476452894188e-05,0.5324438105038932,0.0001495456294076354,0.8617318224469147,5.3286383127946534e-05,5.639490373950648e-05,0.7956188200545271
2013-04-08,7.273438811092278e-05,0.5461770012937341,0.0001507301569070163,0.8374007822749647,5.718779861057771e-05,5.6734460937065944e-05,0.7862553064083537
2013-04-09,7.022991067372413e-05,0.5506608497804356,0.00015433754917410522,0.8285295575179696,5.7329883390074964e-05,5.757273405044825e-05,0.8163171907824227
2013-04-10,6.636144982931065e-05,0.535852029611136,0.0001518272731538167,0.7926126873824143,5.3787047923291554e-05,5.643436529822949e-05,0.8105164679439355
2013-04-11,6.716170407401359e-05,0.542100958103617,0.00015277101589680035,0.756893916433788,5.491127294398691e-05,5.461129683572297e-05,0.8175979704665258
2013-04-12,6.98842565011876e-05,0.5426466720243655,0.0001546793105007609,0.7432959409520435,5.6418681455351947e-05,5.430823386362379e-05,0.8073160434123411
2013-04-15,9.593981606210937e-05,0.5745585539166261,0.0001800474939071986,0.7161159848365608,7.551396527118161e-05,4.322210024339078e-05,0.7870972487824606
2013-04-16,8.836558039441448e-05,0.5825760703329842,0.00019498747467062608,0.6742340077280259,7.647114030060382e-05,4.136064895800052e-05,0.8653951002107321
2013-04-17,8.959564094882932e-05,0.5879660256132173,0.00018731273009726067,0.8412464456590928,7.616918684194426e-05,5.978581953938412e-05,0.8501438913244306
2013-04-18,9.719405369416862e-05,0.5937194705049357,0.00018337361656785184,0.8582771897375269,7.926282821116544e-05,6.020528353729602e-05,0.8155110852827923
2013-04-19,7.72897485213767e-05,0.5708754833835714,0.00018354780062602896,0.8187773033130594,6.799499276753872e-05,5.941704812672163e-05,0.879741415496167
2013-04-22,7.797978274745508e-05,0.5608941867533298,0.0001817582521139434,0.8348119494286651,6.677578745771329e-05,6.190173217648507e-05,0.856321793995926
2013-04-23,8.499754389235151e-05,0.5545823067346626,0.0001801600976389156,0.9181717809857334,6.862755117554301e-05,6.790643724857625e-05,0.8074062853211273
