Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_T,Predicted_Covariance,Future_Cov_45_T,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.4763769225541665,0.00011218677174282467,0.5405552349540486,3.741273217014419e-05,2.9605520592860916e-05,0.6804929890400485
2013-03-01,5.488021190183326e-05,0.47962357934758565,0.00011220325512588686,0.5358231250230514,3.763666589849227e-05,2.931843586396012e-05,0.6857966577427705
2013-03-04,5.501029900576039e-05,0.4875623165489486,0.0001127214225757192,0.5440213151783634,3.839329316796933e-05,2.9742876061236217e-05,0.6979291852958114
2013-03-05,5.845535101370509e-05,0.4919377560659056,0.00011291351100902411,0.5348559961534941,3.996642000927802e-05,2.8665486239393066e-05,0.6837084940249136
2013-03-06,5.9250468430820016e-05,0.4959073232747133,0.00011254512858113015,0.5554992093458369,4.049577983663156e-05,2.9977089659056632e-05,0.6834676739123817
2013-03-07,5.369174155549812e-05,0.4657800638484217,0.00011409736244573654,0.554231493043942,3.645628780572651e-05,2.9957282943285868e-05,0.6789924623332194
2013-03-08,4.524810700565277e-05,0.4706445653212074,0.00011429683540346074,0.5481283517525407,3.3846234458206804e-05,2.9508375842002468e-05,0.7480143744793224
2013-03-11,4.8373919939468494e-05,0.47654419110904966,0.00011564858558763729,0.5557126104721449,3.5643388442906764e-05,3.087336452924697e-05,0.736830682473288
2013-03-12,5.1431479865635213e-05,0.4823408266240426,0.00011724766868272377,0.5716014704953747,3.745593491638807e-05,3.1793681854013734e-05,0.7282686598604926
2013-03-13,5.5261000285198275e-05,0.488390769545845,0.00011891405668491866,0.57420150106835,3.959072144309073e-05,3.2415912663796975e-05,0.7164315021220337
2013-03-14,6.195858588029715e-05,0.4496050915039399,0.00012956768366510118,0.5557677717273294,4.0283789377733156e-05,3.20460206197934e-05,0.6501728340856697
2013-03-15,6.386120353979619e-05,0.4242679599529739,0.00013037787184605622,0.5354970946836293,3.8713347794013804e-05,3.0270280855245e-05,0.6062107453062473
2013-03-18,6.402550064969363e-05,0.40826617001552673,0.00013152147560057303,0.5232407830083524,3.7464351772424665e-05,2.8971452883527478e-05,0.5851473458584183
2013-03-19,6.71640875084588e-05,0.39882839221992517,0.00013321542951179988,0.5411913407511844,3.7725229619122004e-05,3.078554574376687e-05,0.5616875181155525
2013-03-20,6.839791392936718e-05,0.3942768637260269,0.00013542722556036263,0.5361074901116131,3.794684839051917e-05,3.0359103118401027e-05,0.5547954054520717
2013-03-21,6.814178529168062e-05,0.38506177591021157,0.00013457244203426188,0.5513853661577331,3.687357366823559e-05,3.0031439617699507e-05,0.5411301378500493
2013-03-22,6.79733209422515e-05,0.37503266507950556,0.00013658505211169204,0.505983409738022,3.61359874522367e-05,2.7302741148114693e-05,0.5316201555450993
2013-03-25,7.243408887933498e-05,0.37487180116592805,0.00013648176186637726,0.5213330849357081,3.7272762656068085e-05,2.850650858993806e-05,0.514574880870791
2013-03-26,7.339742545776695e-05,0.3721936357538396,0.00013734485135225564,0.4909354021520866,3.736935034512834e-05,2.641885103666196e-05,0.5091370727523782
2013-03-27,7.311742529462491e-05,0.3707224216389232,0.00013802543093451952,0.5254757836639464,3.724250238577144e-05,3.118870472837629e-05,0.5093519395096814
2013-03-28,6.422356192814954e-05,0.36352266875648664,0.00013811727483390527,0.5256404422610143,3.423755103690741e-05,3.138950040580202e-05,0.5330995355756016
2013-04-01,6.678777769649997e-05,0.36311978498500547,0.00013575890805803736,0.5145236423961733,3.4576623193757126e-05,3.0834307475164365e-05,0.5177088441373476
2013-04-02,6.451960799026473e-05,0.3613815304354877,0.0001351908134980593,0.5176954397552,3.375090351903853e-05,3.3447105078005765e-05,0.5231107963974481
2013-04-03,6.836168011312682e-05,0.36319494794902796,0.00013406798343914937,0.5505061139682906,3.4770321091387075e-05,3.4879893067622196e-05,0.5086229746525858
2013-04-04,6.901245142532413e-05,0.37742726696189743,0.00013254023074016203,0.4740090346512927,3.6096979320535413e-05,3.136585812113641e-05,0.5230502405728138
2013-04-05,6.697476452894188e-05,0.3789862517812801,0.000132902444625921,0.4804739429837436,3.5755720856005325e-05,3.144398414691082e-05,0.53386855642552
2013-04-08,7.273438811092278e-05,0.44107794219165025,0.00012881947698303894,0.5020643147252225,4.269489996495476e-05,3.401519183477423e-05,0.5869974447278414
2013-04-09,7.022991067372413e-05,0.5104213106938497,0.00012886420462531216,0.4933806912389001,4.8557464931862984e-05,3.4283961344019354e-05,0.6914071862835262
2013-04-10,6.636144982931065e-05,0.5744847001986478,0.00012653825526867394,0.5289372240909922,5.2643810945435875e-05,3.766055855447165e-05,0.7932890417681028
2013-04-11,6.716170407401359e-05,0.6215058792705705,0.00012422575908829694,0.5339064006073466,5.676908891678759e-05,3.852233489131348e-05,0.8452598054127227
2013-04-12,6.98842565011876e-05,0.5757125131216353,0.00012637468284620756,0.5244686061316074,5.41035027341852e-05,3.8319816033761726e-05,0.7741872839881437
2013-04-15,9.593981606210937e-05,0.5544128242720633,0.00012624729075995936,0.5252059379388438,6.101600117724829e-05,3.169947910490745e-05,0.6359820529335583
2013-04-16,8.836558039441448e-05,0.5495198914156417,0.00012684712201908478,0.6473076009598835,5.817887161007622e-05,3.970885796960126e-05,0.65838838324151
2013-04-17,8.959564094882932e-05,0.5540909941285505,0.00012743278307046274,0.7451487694156612,5.9205917515912496e-05,5.295633650300386e-05,0.6608124780281077
2013-04-18,9.719405369416862e-05,0.5548814998796021,0.00012837397617636683,0.7522907440370484,6.198100155291684e-05,5.277068770880978e-05,0.6377036371787376
2013-04-19,7.72897485213767e-05,0.5293514836760135,0.00013297323741927203,0.6773705451841294,5.366451429009835e-05,4.9155439604852526e-05,0.6943290063268337
2013-04-22,7.797978274745508e-05,0.5097283812132327,0.00013729805992736382,0.6985358156058978,5.274265964531878e-05,5.1796787291931026e-05,0.676363254513428
