Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_UAL,Predicted_Covariance,Future_Cov_45_UAL,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.473341193662825,0.00060567054747661,1.6358300029541035,8.637546814314826e-05,8.959232231465548e-05,1.5710667755874272
2013-03-01,5.488021190183326e-05,0.4738063440613491,0.000602518133208612,1.6270064462451734,8.615764550421266e-05,8.902431029350714e-05,1.5699218811021862
2013-03-04,5.501029900576039e-05,0.46518227285280933,0.0005904341307609178,1.536911163057531,8.383606511371313e-05,8.40264102978453e-05,1.524006715632181
2013-03-05,5.845535101370509e-05,0.46435408856504046,0.0005893175780064724,1.4885308781484148,8.61858775119445e-05,7.977747601473973e-05,1.47438816151729
2013-03-06,5.9250468430820016e-05,0.4582196631551251,0.000588118394930726,1.5203852227989938,8.553660276102402e-05,8.204642486138195e-05,1.443644329342228
2013-03-07,5.369174155549812e-05,0.46354189155813613,0.0005809469137011622,1.5222947723094826,8.186739257254318e-05,8.228297343172536e-05,1.5247669418195624
2013-03-08,4.524810700565277e-05,0.4485007971242442,0.0005682836836714108,1.455703694963049,7.191939413382837e-05,7.836750572784497e-05,1.5894453689486634
2013-03-11,4.8373919939468494e-05,0.4418059846270045,0.0005650427658140642,1.47347634283262,7.304288102927418e-05,8.186096806196816e-05,1.509964069909459
2013-03-12,5.1431479865635213e-05,0.4354213238332572,0.0005629624125351603,1.4863058796283195,7.409073511569374e-05,8.267147429431835e-05,1.4405717142352477
2013-03-13,5.5261000285198275e-05,0.4283147325612807,0.0005595480469285795,1.4648000990572456,7.53166640618478e-05,8.269367459439794e-05,1.3629261807267983
2013-03-14,6.195858588029715e-05,0.44722612889553326,0.0005413444424497807,1.437022851176204,8.19058192796391e-05,8.285990347511646e-05,1.3219446201996867
2013-03-15,6.386120353979619e-05,0.46038489145693196,0.0005261547825050363,1.4471106480140048,8.439104671599114e-05,8.180146293768265e-05,1.3214759828853122
