Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_IWM,Predicted_Covariance,Future_Cov_45_IWM,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.9172949811454804,0.00011569947334464556,1.3582748840364844,7.315981410270736e-05,7.439098254876073e-05,1.3306897862993938
2013-03-01,5.488021190183326e-05,0.9180054487746724,0.00011495889435741002,1.3594195988667177,7.291626889866092e-05,7.43828596794317e-05,1.3286440844851253
2013-03-04,5.501029900576039e-05,0.9189919042527178,0.00011178663390636662,1.3688083757630312,7.206570304486445e-05,7.483585061102592e-05,1.310040198787469
2013-03-05,5.845535101370509e-05,0.9198910989907073,0.00011337723357089823,1.365049820578171,7.488787044075404e-05,7.31595366402884e-05,1.2811123214912572
2013-03-06,5.9250468430820016e-05,0.9173222493913198,0.0001125488140912637,1.3630143978059717,7.490973885399869e-05,7.355402874061875e-05,1.264289394462125
2013-03-07,5.369174155549812e-05,0.9123374325695357,9.863073640609062e-05,1.3655964853629168,6.639194279916287e-05,7.381312828993306e-05,1.2365391934723755
2013-03-08,4.524810700565277e-05,0.9027757239970601,7.436767468273546e-05,1.3603060024539373,5.236874674206105e-05,7.32317907880536e-05,1.157368787505712
2013-03-11,4.8373919939468494e-05,0.8995215529773755,7.578588309635882e-05,1.363528072665252,5.446423052500636e-05,7.575264343468764e-05,1.1259007042050515
2013-03-12,5.1431479865635213e-05,0.8968218282065521,7.794542307007791e-05,1.359015346463908,5.6782693547298374e-05,7.559130581443343e-05,1.1040454930646213
2013-03-13,5.5261000285198275e-05,0.8945460581135191,7.97601683410364e-05,1.3476019766360818,5.9388876319971017e-05,7.607738380850299e-05,1.0746978160632101
2013-03-14,6.195858588029715e-05,0.9050482239625183,8.934458550749594e-05,1.3387655219162995,6.733743791961495e-05,7.719430615247487e-05,1.0868136669502053
2013-03-15,6.386120353979619e-05,0.9090981353501542,9.280853634849913e-05,1.3607975679126718,6.998795087734958e-05,7.692240532544234e-05,1.0959384884397834
2013-03-18,6.402550064969363e-05,0.918373906108994,9.872193706751822e-05,1.3700118858253965,7.301344852621876e-05,7.585653888036e-05,1.1403807511900828
2013-03-19,6.71640875084588e-05,0.9252339286228982,0.0001028531677208345,1.3822628659946234,7.690046137685023e-05,7.862970725274795e-05,1.1449639864036747
2013-03-20,6.839791392936718e-05,0.9301829314633034,0.00010634264978598478,1.3692666808686365,7.933111038535831e-05,7.753987610288222e-05,1.1598469284791577
2013-03-21,6.814178529168062e-05,0.9317383862422141,0.00011417998619113291,1.3843420802530482,8.21856009472156e-05,7.539878303819011e-05,1.2060969725906137
2013-03-22,6.79733209422515e-05,0.9288358912613143,0.00011966646791991372,1.4140862699777108,8.377114842330001e-05,7.630374958399202e-05,1.2324121767490213
2013-03-25,7.243408887933498e-05,0.9279014749946116,0.00012228790156247228,1.422133062667536,8.733033220838891e-05,7.776227816419234e-05,1.2056523877019973
2013-03-26,7.339742545776695e-05,0.9248838371963867,0.00012634382777716683,1.4445484911485755,8.90644967805906e-05,7.773591237379617e-05,1.213455325239419
2013-03-27,7.311742529462491e-05,0.9232883495517018,0.0001278539873125221,1.381666263612977,8.926987750654933e-05,8.200640727631052e-05,1.2209111186128137
2013-03-28,6.422356192814954e-05,0.9238917611547486,0.00012603845021171665,1.3876255796296917,8.312273332979548e-05,8.286438826420942e-05,1.2942716167438593
2013-04-01,6.678777769649997e-05,0.9211411089317391,0.000135622527971988,1.381103510339183,8.76678949690749e-05,8.276659570880763e-05,1.312633808051816
2013-04-02,6.451960799026473e-05,0.9114310471823388,0.0001335151052576986,1.3641959347042107,8.459308816410934e-05,8.813754433806886e-05,1.3111221657898708
2013-04-03,6.836168011312682e-05,0.9146908795125016,0.00014501490612569984,1.3512024318334976,9.107245325168934e-05,8.561175823340285e-05,1.332214964596834
