Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_XLB,Predicted_Covariance,Future_Cov_45_XLB,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.8507618065878179,0.00016105285963698157,1.252972359482106,8.005530011418023e-05,6.862369762099577e-05,1.4561104550036044
2013-03-01,5.488021190183326e-05,0.8504174049144623,0.0001591269583972977,1.2553356209969162,7.947159155887964e-05,6.86877351371485e-05,1.4480919224771598
2013-03-04,5.501029900576039e-05,0.8484410307801522,0.00015834493428729316,1.2688447732184904,7.918551630734237e-05,6.93706143083965e-05,1.4394671132227528
2013-03-05,5.845535101370509e-05,0.8491726536043335,0.0001264106962471021,1.2863831893669335,7.299616562670902e-05,6.894341631873919e-05,1.2487507877524298
2013-03-06,5.9250468430820016e-05,0.8548098989968285,9.611527838968005e-05,1.2807678610667446,6.45077138797167e-05,6.911565733612625e-05,1.0887291795006646
2013-03-07,5.369174155549812e-05,0.8574763178128229,9.375799357253652e-05,1.2766685967554892,6.083871495986257e-05,6.900640410699216e-05,1.133111223389486
2013-03-08,4.524810700565277e-05,0.8680805454441793,8.363530207140674e-05,1.2730938306185164,5.340169545225092e-05,6.85367416516813e-05,1.1801973383235576
2013-03-11,4.8373919939468494e-05,0.8668667284400122,8.896127612463892e-05,1.272381399949818,5.686675899744128e-05,7.068886694420857e-05,1.1755664843494198
2013-03-12,5.1431479865635213e-05,0.8636330759148223,9.076920071866338e-05,1.2791218721664106,5.900829045974091e-05,7.114746192119585e-05,1.1473185413661073
2013-03-13,5.5261000285198275e-05,0.8622544209281103,9.68738271874455e-05,1.2728836704644877,6.308818445965398e-05,7.185924421336286e-05,1.141640291237222
2013-03-14,6.195858588029715e-05,0.8555401158469743,0.00010425125083180547,1.270792025070247,6.875935022249663e-05,7.327489917650355e-05,1.1097630658539954
2013-03-15,6.386120353979619e-05,0.8534620974725664,0.00010523243805079831,1.2845041565556312,6.996447899797434e-05,7.260973395502754e-05,1.0955709432312029
2013-03-18,6.402550064969363e-05,0.8530211109564803,0.00011120484707989401,1.288332068186953,7.197772728935944e-05,7.133398814446e-05,1.1242040524317847
2013-03-19,6.71640875084588e-05,0.8541490188827462,0.00011218113551587135,1.2984311973455898,7.414162861343943e-05,7.386096193914231e-05,1.1038879759082838
2013-03-20,6.839791392936718e-05,0.8538430021946488,0.00011442010666553107,1.2892177505803182,7.553541606999995e-05,7.300680433282574e-05,1.1043526290582997
2013-03-21,6.814178529168062e-05,0.8524575576548661,0.0001260242539623302,1.2691718992244512,7.89962702564297e-05,6.912598990727765e-05,1.1592926413402072
2013-03-22,6.79733209422515e-05,0.8522968844116853,0.0001225424203406493,1.2955088037898568,7.778634618334988e-05,6.990533848390757e-05,1.1443658350816093
