Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_IJH,Predicted_Covariance,Future_Cov_45_IJH,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.927302728866425,9.363146450185668e-05,1.1978363951693998,6.653196201188231e-05,6.560397119654292e-05,1.2101370594980063
2013-03-01,5.488021190183326e-05,0.9289197636261222,9.3661227556949e-05,1.2035818656848158,6.65987404333514e-05,6.585594403859968e-05,1.213529214363815
2013-03-04,5.501029900576039e-05,0.9279554614036469,9.219223435662798e-05,1.2132055225743266,6.608399736043333e-05,6.632869060085418e-05,1.2013022752978195
2013-03-05,5.845535101370509e-05,0.9294829871168734,9.637287547290246e-05,1.202288006814664,6.97639384067667e-05,6.443635401488966e-05,1.1934568383724231
2013-03-06,5.9250468430820016e-05,0.9294620317188812,9.40937691951777e-05,1.2021134230836013,6.939976193052395e-05,6.487113079165108e-05,1.171294738564879
2013-03-07,5.369174155549812e-05,0.9335888932426023,8.837466818796219e-05,1.2039611923752294,6.43092315295776e-05,6.507642843359849e-05,1.1977490330259595
2013-03-08,4.524810700565277e-05,0.9426159143416035,6.937941632691207e-05,1.1995659467600126,5.281415018791294e-05,6.45783833131158e-05,1.1672123693774628
2013-03-11,4.8373919939468494e-05,0.9438630989336617,7.21993181962047e-05,1.1998987146908997,5.57803450315704e-05,6.666199348140198e-05,1.1531078130812997
2013-03-12,5.1431479865635213e-05,0.9443181624999437,8.378479940233697e-05,1.1992629294028534,6.198911986656073e-05,6.670553874485765e-05,1.205275835509835
2013-03-13,5.5261000285198275e-05,0.9459970580340263,9.47214821544609e-05,1.195457068955014,6.844211146830627e-05,6.748821079092165e-05,1.2385246578071547
2013-03-14,6.195858588029715e-05,0.9461680549647792,9.998585694605252e-05,1.186287989648433,7.447119386329712e-05,6.840232793480195e-05,1.2019511550372388
2013-03-15,6.386120353979619e-05,0.9454510150639458,0.00010037759892712474,1.2019529934934887,7.569653208892042e-05,6.794332788928694e-05,1.185328930447558
2013-03-18,6.402550064969363e-05,0.9426133298447855,0.0001033149628426311,1.210414110786323,7.666403624637219e-05,6.701972881124401e-05,1.1973984657430248
2013-03-19,6.71640875084588e-05,0.9437389217457498,0.00010425220445924578,1.240615846500168,7.89701657527264e-05,7.057214891845885e-05,1.1757796269141707
2013-03-20,6.839791392936718e-05,0.9436951188423006,0.00010680721764737608,1.2311986491864373,8.06591122494348e-05,6.972125448593395e-05,1.179262752556013
2013-03-21,6.814178529168062e-05,0.9413548965897162,0.00010627862322068226,1.24705313263574,8.010933004329632e-05,6.792128183195159e-05,1.175627108981496
2013-03-22,6.79733209422515e-05,0.9415982460838942,0.00010231686988981005,1.2642344137593262,7.852510177659125e-05,6.821778004002334e-05,1.1552341519889
2013-03-25,7.243408887933498e-05,0.9414376467378976,0.00010091902223541716,1.2642293816179249,8.04914181316806e-05,6.912810018797834e-05,1.1112367032843886
2013-03-26,7.339742545776695e-05,0.9401865276793984,0.00010023657546329784,1.27648905127236,8.064316187886407e-05,6.86920803585626e-05,1.0987192176824558
2013-03-27,7.311742529462491e-05,0.9401850524489392,9.731029225787589e-05,1.2230359001950606,7.930547592611724e-05,7.259117689005078e-05,1.084631681251873
2013-03-28,6.422356192814954e-05,0.9418280534886901,9.887276603259764e-05,1.2063679139202244,7.505111669126132e-05,7.204028282272437e-05,1.1685916264691947
