Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_PFE,Predicted_Covariance,Future_Cov_45_PFE,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.5721069262855915,9.918592125241227e-05,0.7404475055579121,4.2247411636994263e-05,4.0553365236747235e-05,0.7684300439037611
2013-03-01,5.488021190183326e-05,0.5741134229756409,9.886970199059248e-05,0.7368763530900909,4.2289953079618564e-05,4.031939102443782e-05,0.7705865486682983
2013-03-04,5.501029900576039e-05,0.5727584084655151,9.995018960376508e-05,0.7361867542749043,4.247029597129307e-05,4.024899535993965e-05,0.7720426309052748
2013-03-05,5.845535101370509e-05,0.5757947533410719,0.00010117341748873429,0.694281560660693,4.4280554396624673e-05,3.7209863339873505e-05,0.7575107090921911
2013-03-06,5.9250468430820016e-05,0.5713812205618196,9.808537695589949e-05,0.6979135474361785,4.355860766862541e-05,3.766237041165536e-05,0.7351605619706417
2013-03-07,5.369174155549812e-05,0.5208871543895137,0.00010231103676132257,0.6988413566228541,3.8606340410011176e-05,3.7773725447898224e-05,0.7190368442436531
2013-03-08,4.524810700565277e-05,0.4825000642284341,9.19999115258475e-05,0.7027955406195276,3.113087214147543e-05,3.7834851794068314e-05,0.6880038569919908
2013-03-11,4.8373919939468494e-05,0.47491044686575756,9.712950197352739e-05,0.680171597924127,3.2553144411328556e-05,3.778785165107307e-05,0.672948242608065
2013-03-12,5.1431479865635213e-05,0.4657237547049566,0.00010614712536862531,0.6686427423116852,3.441097825013213e-05,3.71913224866783e-05,0.6690645172962326
2013-03-13,5.5261000285198275e-05,0.46445494966196116,0.00011157623183969199,0.687107065839545,3.647025597852567e-05,3.878987184027093e-05,0.6599637319321973
2013-03-14,6.195858588029715e-05,0.45122377593690954,0.00012020726237887749,0.6338742179495161,3.894108763105206e-05,3.6549701677792975e-05,0.628501878759556
2013-03-15,6.386120353979619e-05,0.45491118873395225,0.00011980550522299668,0.6414313633954053,3.97908810694321e-05,3.6258474064761795e-05,0.62308379522844
2013-03-18,6.402550064969363e-05,0.4567176857276244,0.00012088645443537958,0.6551553019873025,4.018029684729642e-05,3.627546165990541e-05,0.6275670856076108
2013-03-19,6.71640875084588e-05,0.45596766337778943,0.0001224895488950602,0.5716069070877148,4.135729456857445e-05,3.2515728284152985e-05,0.6157650033340485
2013-03-20,6.839791392936718e-05,0.4533351048831913,0.00012662994005418395,0.5653015006354442,4.2189946981057724e-05,3.201232377336365e-05,0.6168309025422358
2013-03-21,6.814178529168062e-05,0.43034868973566115,0.00013278909065971638,0.5611757533823097,4.093628592204924e-05,3.056467724208118e-05,0.6007515909191643
2013-03-22,6.79733209422515e-05,0.41894542415364716,0.0001399089096169103,0.5388000179332187,4.0855391972243374e-05,2.907351730731023e-05,0.6010504033921358
