Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_UPS,Predicted_Covariance,Future_Cov_45_UPS,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.7085063100973449,7.452634459579588e-05,0.808125024505214,4.5352007682347063e-05,4.4259976608364725e-05,0.8248989441983503
2013-03-01,5.488021190183326e-05,0.7103153146562874,7.412361914192956e-05,0.8124309900881808,4.5304086317220785e-05,4.4453486168162656e-05,0.8255085894758983
2013-03-04,5.501029900576039e-05,0.7126062814052297,7.343455534301364e-05,0.8403156638041968,4.529204015972502e-05,4.5941958418760214e-05,0.8233374654986383
2013-03-05,5.845535101370509e-05,0.7200115397046205,7.300878673716501e-05,0.8214446660578587,4.703695063241075e-05,4.402514123548636e-05,0.8046645827408128
2013-03-06,5.9250468430820016e-05,0.714484948155792,7.255330078204063e-05,0.8328851300211347,4.684546624913526e-05,4.49460085600132e-05,0.7906345298152595
2013-03-07,5.369174155549812e-05,0.7061387014889507,7.308896901793684e-05,0.8323757569276372,4.423537141003113e-05,4.499151776536797e-05,0.8238766359311985
2013-03-08,4.524810700565277e-05,0.6588781200904471,7.410650974673625e-05,0.8355348654667347,3.8153419962859395e-05,4.498084574618076e-05,0.8432047766792311
2013-03-11,4.8373919939468494e-05,0.6575697282255454,7.5121706804901e-05,0.8192961076605955,3.963968329731212e-05,4.551710166826701e-05,0.8194432732950784
2013-03-12,5.1431479865635213e-05,0.6642392644162619,7.593259836236148e-05,0.8162955729409361,4.1510043167821166e-05,4.540408498675119e-05,0.8070940847174958
2013-03-13,5.5261000285198275e-05,0.6644211038803893,7.655668659577592e-05,0.8268889660890606,4.3215978791384e-05,4.668110490399029e-05,0.7820339582770718
2013-03-14,6.195858588029715e-05,0.6623135426879007,7.732318655203507e-05,0.8315845008144007,4.5842601537611666e-05,4.794983699283914e-05,0.739891023758656
2013-03-15,6.386120353979619e-05,0.6634105062394505,7.819292140923503e-05,0.8420652239211941,4.687967737833438e-05,4.7599792939284704e-05,0.7340869695498382
2013-03-18,6.402550064969363e-05,0.6593553199975497,7.841400125324901e-05,0.8557778769260521,4.6718922065533385e-05,4.738378437854395e-05,0.7296924130456908
2013-03-19,6.71640875084588e-05,0.6676781834959689,7.864483728122642e-05,0.8543965187503576,4.852559333405002e-05,4.86021507195498e-05,0.7224931527274691
2013-03-20,6.839791392936718e-05,0.6601733777677616,7.92857652616876e-05,0.9054557521485754,4.861575629530301e-05,5.1274837706343153e-05,0.7107783483792691
2013-03-21,6.814178529168062e-05,0.6906348841102669,8.007976904394421e-05,0.8921312453370711,5.101720603398077e-05,4.859030955445953e-05,0.7486919489356176
2013-03-22,6.79733209422515e-05,0.7116589650327962,8.091696504221053e-05,0.8418890830642288,5.277897620636666e-05,4.5428129199388946e-05,0.7764660527798312
2013-03-25,7.243408887933498e-05,0.7170150938261171,8.220862305780948e-05,0.8428043028711508,5.5329721720956705e-05,4.608456434794664e-05,0.7638630177723122
2013-03-26,7.339742545776695e-05,0.7185160104648817,8.311581150986158e-05,0.8432077239175076,5.612013251648117e-05,4.53757849881812e-05,0.7646062810305633
2013-03-27,7.311742529462491e-05,0.7148481083610431,8.457882746433451e-05,0.799859535669517,5.621536662280419e-05,4.747427694617902e-05,0.7688367909056659
2013-03-28,6.422356192814954e-05,0.7182225657402616,8.375742045060763e-05,0.7975909171453838,5.2676618351777715e-05,4.762947902126408e-05,0.8202070512798708
2013-04-01,6.678777769649997e-05,0.7371492042355491,8.326217228486781e-05,0.7704034113240827,5.4970256843585805e-05,4.6168637759878534e-05,0.8230586304785305
2013-04-02,6.451960799026473e-05,0.7296048133607606,8.189775135901685e-05,0.7876284531184201,5.303585069134235e-05,5.088685279193487e-05,0.8220113596992848
2013-04-03,6.836168011312682e-05,0.7335615586597212,8.08717205520429e-05,0.7660921587526801,5.454328237640741e-05,4.853935660154428e-05,0.7978633978297148
2013-04-04,6.901245142532413e-05,0.7385123172818218,8.021114303690419e-05,0.8021736851950907,5.4946346802459e-05,5.308098402986769e-05,0.7961801916559137
2013-04-05,6.697476452894188e-05,0.7366538146435139,7.902179660874205e-05,0.8069342796203312,5.359107755850804e-05,5.280875074808998e-05,0.8001682116455918
2013-04-08,7.273438811092278e-05,0.7331959234933129,7.803820294778043e-05,0.8218794732195918,5.523871490780848e-05,5.568288190712763e-05,0.7594580272479543
2013-04-09,7.022991067372413e-05,0.7323510746120487,7.811066295192172e-05,0.8051388842575002,5.424198110480527e-05,5.594736655611257e-05,0.7723487127415557
2013-04-10,6.636144982931065e-05,0.7261127191729528,7.807234999466447e-05,0.7846519459251631,5.226495768042129e-05,5.5867557071973334e-05,0.7875801058423653
2013-04-11,6.716170407401359e-05,0.7053893367792602,7.818077225121537e-05,0.7884325604470342,5.11139827011847e-05,5.6886868369074236e-05,0.7610584544557719
2013-04-12,6.98842565011876e-05,0.7245550511910384,7.727066738508093e-05,0.790917400178028,5.32437204571534e-05,5.778765195550673e-05,0.7618843373721603
2013-04-15,9.593981606210937e-05,0.751083279182393,7.711827794990177e-05,0.7795977810492825,6.460500970526312e-05,4.7053625607487884e-05,0.6733910107086221
2013-04-16,8.836558039441448e-05,0.7601844094864607,7.739103725458516e-05,0.7973388667195567,6.286455698173573e-05,4.8912473397901305e-05,0.7114145202367658
2013-04-17,8.959564094882932e-05,0.7658569176401815,7.864717345952617e-05,0.7916214717653267,6.428840326347894e-05,5.6259064984676844e-05,0.7175394090901802
2013-04-18,9.719405369416862e-05,0.7637595866168428,7.955061293295876e-05,0.7915689459045205,6.71580824705981e-05,5.552592262422131e-05,0.6909690451014433
2013-04-19,7.72897485213767e-05,0.7610364867156075,7.853237452836131e-05,0.7573958458811602,5.9291275136348355e-05,5.4962717265860984e-05,0.7671298751858359
2013-04-22,7.797978274745508e-05,0.7555914792607754,7.782294504633471e-05,0.7511459420187341,5.886157696016862e-05,5.569785502006676e-05,0.7548312509512551
2013-04-23,8.499754389235151e-05,0.7461710186068542,7.777061865893166e-05,0.7593691306022624,6.066655614271009e-05,5.616166090444189e-05,0.7137448138447816
2013-04-24,7.773768893068322e-05,0.7413637917046262,7.765713411376072e-05,0.7642441719994572,5.76020398721603e-05,5.703987358603729e-05,0.7409795771459403
2013-04-25,6.90805921567358e-05,0.7489582419045273,7.78940559566056e-05,0.748316061319934,5.4939890471052584e-05,5.595794128747688e-05,0.7953013828601871
2013-04-26,7.034557142953508e-05,0.7432698929158982,7.811209731681083e-05,0.754854923637282,5.509650769115677e-05,5.688768200863549e-05,0.783226386132164
2013-04-29,6.776168711759701e-05,0.7386931114259361,7.826289464997726e-05,0.7536054002827671,5.379403332762846e-05,5.613593024760552e-05,0.7938709264170417
2013-04-30,5.8041023931509805e-05,0.7211935392108889,7.87241783481342e-05,0.7576637680683048,4.874986624434314e-05,5.636005112990274e-05,0.839920851532004
2013-05-01,6.311211636341748e-05,0.720226169964602,7.921688898183375e-05,0.7667324148537926,5.092536623957596e-05,5.739123479807306e-05,0.8069031617690215
2013-05-02,6.214021471172626e-05,0.7171278757228058,7.939586611624775e-05,0.7775047732040282,5.037115677574627e-05,5.733120045882013e-05,0.8106048073606175
2013-05-03,7.476459886581012e-05,0.739218605618921,7.812402488977905e-05,0.7954195112957095,5.649541430576546e-05,5.781057139667641e-05,0.7556439165435131
2013-05-06,7.535412832838797e-05,0.7537365856744095,7.701137664693579e-05,0.7897763524100798,5.741833101778379e-05,5.732434282656655e-05,0.7619798980031826
2013-05-07,7.392273390092128e-05,0.7661153462466967,7.605880644773839e-05,0.77981295201959,5.7445752785434895e-05,5.921894462981389e-05,0.7771053606111146
2013-05-08,6.958015556766957e-05,0.7649812478293312,7.527077678160974e-05,0.7818724055081334,5.536135178722055e-05,5.910077131204403e-05,0.7956485773214369
2013-05-09,7.111722928104653e-05,0.7665420634752744,7.473781468817078e-05,0.7671278633023629,5.588478739979265e-05,5.79584789323656e-05,0.7858122140690106
2013-05-10,7.562958883543677e-05,0.7121394038216722,8.448012410830082e-05,0.754271164692795,5.6923049463200236e-05,5.719962539408874e-05,0.7526558102419373
2013-05-13,7.357910230951406e-05,0.685616733065505,9.207977800060522e-05,0.7584487893255845,5.643399334903124e-05,5.758195016266134e-05,0.7669839883563531
2013-05-14,7.590263764609063e-05,0.6735414947221985,0.00010066046870108805,0.7830342060914943,5.887382661608914e-05,5.8190717323010165e-05,0.7756492849510539
2013-05-15,7.650099964197039e-05,0.6614204127324045,0.00010833477396704602,0.785905346559866,6.021366885007795e-05,5.80073187085617e-05,0.7870964971945701
2013-05-16,7.639729836462006e-05,0.6542833025760287,0.00011395312654572932,0.7760181775169545,6.10475107978333e-05,5.6847003279838816e-05,0.7990794452766236
