Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_VTV,Predicted_Covariance,Future_Cov_45_VTV,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.9601750880880681,5.460058975515349e-05,0.8893382956807261,5.260741784830799e-05,4.870792386097917e-05,0.9568662041165205
2013-03-01,5.488021190183326e-05,0.9641260254455888,5.0829314350910635e-05,0.8885028767029902,5.092122253434016e-05,4.8615883467963345e-05,0.9278612594540501
2013-03-04,5.501029900576039e-05,0.9640471259370524,5.1304958928204795e-05,0.8900559224683858,5.121532572506827e-05,4.866137088923987e-05,0.9310134038665246
2013-03-05,5.845535101370509e-05,0.9635292138579579,5.2006926240602734e-05,0.890909958122928,5.312606098041069e-05,4.774811786494757e-05,0.9088314424449366
2013-03-06,5.9250468430820016e-05,0.9624424541127937,4.996180844743092e-05,0.8954296376550736,5.23648351804717e-05,4.8321175043565966e-05,0.8837876993599151
2013-03-07,5.369174155549812e-05,0.9616033502315968,4.731629479001947e-05,0.8952207299667982,4.846799759929191e-05,4.838840997110923e-05,0.9027086139344779
2013-03-08,4.524810700565277e-05,0.961627868811828,3.9417060939351024e-05,0.8958894180473436,4.061153153889366e-05,4.823002053458602e-05,0.8975299570835114
2013-03-11,4.8373919939468494e-05,0.9628803367262224,4.1915633516058393e-05,0.9046324165687436,4.335767402860106e-05,5.025807555090618e-05,0.8963026788578559
2013-03-12,5.1431479865635213e-05,0.9657005130967259,4.410316725515174e-05,0.9101635387288632,4.599301311002344e-05,5.062521963141607e-05,0.8942580153279709
2013-03-13,5.5261000285198275e-05,0.968514670059414,4.665625552396257e-05,0.9094948056021894,4.917796060221752e-05,5.134452649762079e-05,0.8899216508643238
2013-03-14,6.195858588029715e-05,0.9683300269676312,4.947459469242355e-05,0.9106533578696998,5.361240258774282e-05,5.250901144029294e-05,0.8652941610275128
2013-03-15,6.386120353979619e-05,0.9668718682997802,5.111001454369985e-05,0.923999801883743,5.5238321850758103e-05,5.223134502669163e-05,0.8649746448379322
2013-03-18,6.402550064969363e-05,0.9676789199906605,5.331194725391593e-05,0.9220289247378028,5.6535344755185e-05,5.10520556075697e-05,0.8830129273726426
2013-03-19,6.71640875084588e-05,0.9689899513906024,5.512707724057941e-05,0.9233781667554074,5.896174340850494e-05,5.252615600239895e-05,0.877876043519227
2013-03-20,6.839791392936718e-05,0.9705231628055138,5.769575843752412e-05,0.9203900728194656,6.096762486399544e-05,5.212054978762079e-05,0.8913667297946424
2013-03-21,6.814178529168062e-05,0.9706949253776831,5.924840996638991e-05,0.9253426303941844,6.167765636560553e-05,5.0399181835407134e-05,0.9051370770753155
2013-03-22,6.79733209422515e-05,0.9654907645814621,5.9313351640171435e-05,0.9512721720986173,6.130467592308215e-05,5.133041395499657e-05,0.9018931997623763
2013-03-25,7.243408887933498e-05,0.9669074049714895,6.290658428541653e-05,0.9515665656289972,6.52686213458011e-05,5.2031688110387325e-05,0.9010760314046258
2013-03-26,7.339742545776695e-05,0.9698991916417852,6.662564578125098e-05,0.952242184273314,6.782467578262653e-05,5.12432884384834e-05,0.9240743167708657
2013-03-27,7.311742529462491e-05,0.9720260943068829,6.655886023879687e-05,0.9610462578842766,6.780961944647177e-05,5.704123557981605e-05,0.9274071012926745
2013-03-28,6.422356192814954e-05,0.9777218188992655,6.52263308537817e-05,0.9624041646824416,6.32810935893984e-05,5.7471578457511647e-05,0.9853251935822941
2013-04-01,6.678777769649997e-05,0.9787143872325027,6.409764111541138e-05,0.9674576160998524,6.403619118987545e-05,5.797767710942834e-05,0.958801047114812
2013-04-02,6.451960799026473e-05,0.9767569619279488,6.244178485303239e-05,0.9731867842345098,6.199690791507334e-05,6.2875347420889e-05,0.960900257243162
2013-04-03,6.836168011312682e-05,0.9746584685042798,6.551076873749785e-05,0.976030973465451,6.522516288454624e-05,6.184101342627959e-05,0.9541187808229671
2013-04-04,6.901245142532413e-05,0.971553359445995,6.54921095895918e-05,0.9730305794325298,6.531679629311415e-05,6.438682993555164e-05,0.9464494441816935
