Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_IWD,Predicted_Covariance,Future_Cov_45_IWD,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.9744394237887826,5.81484475489871e-05,0.9839729647214484,5.509621863885808e-05,5.3890943952019164e-05,1.0021345229707683
2013-03-01,5.488021190183326e-05,0.9740765986345861,5.7665115218030325e-05,0.9848022838737064,5.4797100835612325e-05,5.388506253288438e-05,0.998485591375456
2013-03-04,5.501029900576039e-05,0.973880427358651,5.804806482836616e-05,0.9863645677766608,5.503278780011789e-05,5.392678241101165e-05,1.000408810618447
2013-03-05,5.845535101370509e-05,0.974101734525929,5.871631857298455e-05,0.9859554279242488,5.7068421745598836e-05,5.284205833920658e-05,0.9762736987451999
2013-03-06,5.9250468430820016e-05,0.9747426679116955,5.597408842258274e-05,0.9878462747232416,5.613443889832861e-05,5.330836812822112e-05,0.9474092000448969
2013-03-07,5.369174155549812e-05,0.9765931252261091,5.189512311581176e-05,0.9883226660498204,5.155023881329021e-05,5.342074948413232e-05,0.960114857887514
2013-03-08,4.524810700565277e-05,0.9756099715330406,4.3446148572647204e-05,0.9879436239471644,4.325657000496722e-05,5.318573956799105e-05,0.9559862913063578
2013-03-11,4.8373919939468494e-05,0.9764779741632488,4.677864717706091e-05,0.9916507989846156,4.645066345041895e-05,5.5092499298800046e-05,0.9602418722432219
2013-03-12,5.1431479865635213e-05,0.9776658402087419,4.96152190266946e-05,0.993353305413747,4.938697294250718e-05,5.525241027386953e-05,0.9602479468125492
2013-03-13,5.5261000285198275e-05,0.978782501820884,5.239806065817156e-05,0.9919166733708727,5.26687697637452e-05,5.599756216925454e-05,0.9530911400793552
2013-03-14,6.195858588029715e-05,0.9795552436460228,5.5824881098987736e-05,0.993851952693592,5.760943098417743e-05,5.730630991799667e-05,0.9298054525562897
2013-03-15,6.386120353979619e-05,0.9827829286814107,5.758949514355961e-05,1.0091275144408396,5.960020989523875e-05,5.704339684406011e-05,0.9332772730801709
2013-03-18,6.402550064969363e-05,0.983112344471028,6.0142602863789076e-05,1.0070425961340672,6.1005747202329316e-05,5.5759199345777244e-05,0.9528351451105949
