Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_SIG,Predicted_Covariance,Future_Cov_45_SIG,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.5529337705144014,0.00023354356378977367,1.2044520853293128,6.265488710742215e-05,6.596630410648516e-05,1.1396176898227366
2013-03-01,5.488021190183326e-05,0.5687635261972998,0.00024343007742333122,1.2258896376641084,6.573955295921e-05,6.70765501518851e-05,1.1978735263778015
2013-03-04,5.501029900576039e-05,0.5784138691919263,0.00024203382776709305,1.2252236326456674,6.67419260274167e-05,6.698574786748922e-05,1.21326237511321
2013-03-05,5.845535101370509e-05,0.5831345752784737,0.0002484854706262372,1.2454633384360991,7.0279947550173e-05,6.675032615575802e-05,1.2022842448366375
2013-03-06,5.9250468430820016e-05,0.5977179639001862,0.00025279845245815486,1.245476730649539,7.315253961413424e-05,6.72111984946245e-05,1.234632257794655
2013-03-07,5.369174155549812e-05,0.6203685116547953,0.00024429632934204167,1.2418896241373356,7.104965317934567e-05,6.712653344595036e-05,1.3232882957597056
2013-03-08,4.524810700565277e-05,0.6556498032498366,0.00024487261529408075,1.251840584719852,6.901480296825096e-05,6.739257757800221e-05,1.5252528234966616
2013-03-11,4.8373919939468494e-05,0.6748075067664443,0.0002479416281123726,1.1987091772259963,7.390269401540255e-05,6.659590712114493e-05,1.5277383786114265
2013-03-12,5.1431479865635213e-05,0.68987648512689,0.0002573404380303006,1.2002320859885691,7.936698274650996e-05,6.675944528244295e-05,1.5431596165200043
2013-03-13,5.5261000285198275e-05,0.6890940862142352,0.0002677992361213935,1.2058121715749257,8.3828667079602e-05,6.807279669243401e-05,1.516958915817085
2013-03-14,6.195858588029715e-05,0.630416380013243,0.00020324601855557084,1.2050028020292851,7.074394278450641e-05,6.94814392002653e-05,1.1417940190110603
2013-03-15,6.386120353979619e-05,0.6197421269617144,0.0002020805348321116,1.2119181390916507,7.040310432524793e-05,6.85066320771426e-05,1.102439359467678
2013-03-18,6.402550064969363e-05,0.6174383491739434,0.00020364539697584742,1.237593735060392,7.050296647378354e-05,6.852464438667162e-05,1.1011700925156438
2013-03-19,6.71640875084588e-05,0.6100862993703384,0.0002064709078237618,1.212124688922816,7.184379504805933e-05,6.895143593056635e-05,1.0696757406108013
2013-03-20,6.839791392936718e-05,0.6061782516417954,0.00021174372757664137,1.253229068050259,7.295029560471033e-05,7.096880981833399e-05,1.0665573175235181
2013-03-21,6.814178529168062e-05,0.6319647181013586,0.00021652247802509517,1.2204267397791966,7.67628483187073e-05,6.647106396548819e-05,1.1265165417977272
2013-03-22,6.79733209422515e-05,0.6420945769234826,0.00021877494940893784,1.1957882011052476,7.83009519836055e-05,6.452443913062343e-05,1.1519365377208524
2013-03-25,7.243408887933498e-05,0.6398561690545754,0.00021836522047577508,1.2301180467181474,8.047214849513338e-05,6.726289138110843e-05,1.1109706733412315
2013-03-26,7.339742545776695e-05,0.6415578854185335,0.00021891760969797443,1.2423329164601564,8.132360257809261e-05,6.685402624057463e-05,1.107989852108456
2013-03-27,7.311742529462491e-05,0.649834615665528,0.00021972177877890408,1.1614071605158207,8.236635359623532e-05,6.893330982101948e-05,1.1264941737806284
2013-03-28,6.422356192814954e-05,0.6624597955156045,0.0002381275018827303,1.1136779827148435,8.192406593280175e-05,6.650514815791427e-05,1.2756076348498817
2013-04-01,6.678777769649997e-05,0.6564181572830927,0.00023434631349246508,1.1531478539197149,8.212174046529212e-05,6.9105698090951e-05,1.2295923490443632
2013-04-02,6.451960799026473e-05,0.6589975275226887,0.00022986155366580338,1.1432496062836457,8.025328421156469e-05,7.386271304580042e-05,1.2438588316233106
2013-04-03,6.836168011312682e-05,0.660854316005382,0.00023021127406931428,1.1322842036906484,8.290398160312852e-05,7.174116861699816e-05,1.2127259228552707
2013-04-04,6.901245142532413e-05,0.6565652508088456,0.00022857862671364716,1.154732883991881,8.246305698377024e-05,7.64103322075808e-05,1.1949011414701087
2013-04-05,6.697476452894188e-05,0.6845046567531263,0.0002191383931050652,1.1979921860906733,8.292610000363482e-05,7.840102019607887e-05,1.2381693401519893
2013-04-08,7.273438811092278e-05,0.7130253287216565,0.0002136160669956263,1.182501542165091,8.88774958470733e-05,8.011526735110774e-05,1.2219460169449925
2013-04-09,7.022991067372413e-05,0.7253141360030032,0.0002072596018419641,1.189607778362631,8.750734944965998e-05,8.266328174602379e-05,1.2460125409557163
2013-04-10,6.636144982931065e-05,0.7298879328536015,0.00020709423567559016,1.1918180380158885,8.556538756414249e-05,8.485795849235114e-05,1.2893839387811237
2013-04-11,6.716170407401359e-05,0.7352857168001027,0.000210246532879293,1.1533770724528063,8.737383627964168e-05,8.321829030415706e-05,1.3009472806609241
2013-04-12,6.98842565011876e-05,0.7846269224381585,0.00021123102889870492,1.1191454359418422,9.533047072792818e-05,8.176933131733343e-05,1.3641194097315488
2013-04-15,9.593981606210937e-05,0.8221177081462974,0.0002195027168567437,1.08654245931641,0.00011930355738371985,6.557966598943111e-05,1.2435249751415542
2013-04-16,8.836558039441448e-05,0.8451568775703078,0.00022013304582233607,1.0203491120327437,0.00011787494915505466,6.2592958755675e-05,1.3339464147570455
2013-04-17,8.959564094882932e-05,0.8573471554520918,0.0002211380608793198,1.1173232754576603,0.00012067905483912361,7.940608612180129e-05,1.3469299796409397
2013-04-18,9.719405369416862e-05,0.8550984619711152,0.00022145652887070282,1.129626412689315,0.00012545275913605205,7.923952690386297e-05,1.2907452088664029
2013-04-19,7.72897485213767e-05,0.8248470347064977,0.00020921771371921262,1.1426435513114128,0.00010488988048052411,8.291938064873247e-05,1.3570995182047176
2013-04-22,7.797978274745508e-05,0.8033139880899814,0.00020011410710352756,1.1748406906537807,0.00010034949529556309,8.71150369046093e-05,1.286865540784519
2013-04-23,8.499754389235151e-05,0.7896120980432478,0.00019332474450507538,1.1582559767880345,0.0001012186881740936,8.566265968346835e-05,1.1908425060174208
2013-04-24,7.773768893068322e-05,0.7697914246677718,0.00018824262816625824,1.161215808717288,9.312105129199083e-05,8.666811650267889e-05,1.1978880845689222
2013-04-25,6.90805921567358e-05,0.7550609678956471,0.0001845942593331201,1.1493745922262824,8.52646751342493e-05,8.594849058253508e-05,1.2342782896358748
2013-04-26,7.034557142953508e-05,0.7409474300235339,0.00017196973251093115,1.1487437017968782,8.14951540081734e-05,8.657208739178205e-05,1.1584972920407195
2013-04-29,6.776168711759701e-05,0.7469908870262632,0.00016997155571076402,1.1454862040575742,8.016698187076723e-05,8.53270605895909e-05,1.1830724009519045
2013-04-30,5.8041023931509805e-05,0.7674153320701258,0.0001700117860590023,1.139006218986013,7.623203604802706e-05,8.472682929394325e-05,1.3134164576073504
2013-05-01,6.311211636341748e-05,0.7579804555652851,0.00016833272389453667,1.1922491248837537,7.812655149341484e-05,8.924188952810693e-05,1.2379009926325395
2013-05-02,6.214021471172626e-05,0.7780819049129328,0.00017002848379612856,1.1558846486710934,7.997836678325623e-05,8.523195841891735e-05,1.2870629294456524
2013-05-03,7.476459886581012e-05,0.7814030823671558,0.00017050732261350766,1.166174653718097,8.822560420745817e-05,8.475681338259405e-05,1.1800451757362904
2013-05-06,7.535412832838797e-05,0.7946450369593541,0.00016763353652130675,1.1691386916377375,8.931145284576521e-05,8.48596022997231e-05,1.1852230903203103
2013-05-07,7.392273390092128e-05,0.7934108562732393,0.00016930515302721104,1.1576478834167951,8.876101033894922e-05,8.791170463549628e-05,1.2007268353726703
2013-05-08,6.958015556766957e-05,0.7943050731160759,0.00017575778134149115,1.163253777821155,8.783898623802295e-05,8.792891911334274e-05,1.262414341005546
2013-05-09,7.111722928104653e-05,0.7238087330102284,0.00018082329447720048,1.1656577961505048,8.208020295056861e-05,8.806843819973222e-05,1.154153554354568
2013-05-10,7.562958883543677e-05,0.7285420155652105,0.0001795702509165727,1.187246230172982,8.490195043848469e-05,9.003398617803123e-05,1.122602300843176
2013-05-13,7.357910230951406e-05,0.7320283968697087,0.0001776980895092414,1.1901854562091052,8.370406514959543e-05,9.035969282078628e-05,1.137606501333629
2013-05-14,7.590263764609063e-05,0.7181042157497459,0.0001753035744901647,1.2244711710950702,8.283450782356189e-05,9.099584058150691e-05,1.0913258141277293
2013-05-15,7.650099964197039e-05,0.7154169638381207,0.00017381885975220035,1.2331133023581629,8.249758535199168e-05,9.101553596341164e-05,1.078385717024427
2013-05-16,7.639729836462006e-05,0.7119647080320588,0.00017294896084872627,1.2316417298253082,8.183827095086552e-05,9.022358429669128e-05,1.0712194371099018
2013-05-17,7.425705624970095e-05,0.7330361585313758,0.0001743446910486493,1.2132890740861502,8.340625578482104e-05,8.671968652497486e-05,1.1232098334783764
2013-05-20,7.217439206379002e-05,0.7469604957521288,0.0001749161925845077,1.2154627502599271,8.39274849790666e-05,8.729754692631892e-05,1.1628429776712055
2013-05-21,7.13709588975209e-05,0.7590018433055886,0.0001753796476469628,1.215260602328236,8.491671655046344e-05,8.737694384533171e-05,1.1897936900692678
2013-05-22,7.35750525384875e-05,0.7505797360153832,0.0001726531445086845,1.23889607527875,8.459591106169538e-05,8.739063483782688e-05,1.149790698653498
2013-05-23,7.454058968752127e-05,0.767319542723428,0.0001743265555455929,1.224934536258439,8.746905730532933e-05,8.644046593610714e-05,1.173441982039651
2013-05-24,7.630250921850573e-05,0.7669066028076775,0.00017268568602087832,1.2204765608845016,8.803189628462269e-05,8.608536398450378e-05,1.1537221670198
2013-05-28,7.438631671877e-05,0.7617817347227499,0.0001741114261531313,1.2458681965600074,8.669433491811377e-05,8.699022592441231e-05,1.1654607828732306
2013-05-29,7.273626036607267e-05,0.7701269821642387,0.00017446931533306984,1.2484140888710706,8.67555669595971e-05,8.917946322098873e-05,1.1927416466418121
2013-05-30,7.309916508279677e-05,0.7717698834549103,0.00017560256583264996,1.2478701743365972,8.743986213520025e-05,8.891585912018917e-05,1.1961814069443926
2013-05-31,7.696255068093324e-05,0.7484973641223379,0.00017654751507107337,1.321369675123576,8.724906994531326e-05,8.727317553196158e-05,1.1336561635934503
2013-06-03,7.835861755638394e-05,0.8054360251361721,0.00015657033920507242,1.3427852024750957,8.921321275605418e-05,8.932379348427332e-05,1.1385245878267272
2013-06-04,7.696792659140356e-05,0.8353312164379599,0.0001596538722873993,1.3301756828030378,9.259836816811e-05,8.803185988141124e-05,1.2030773371313885
2013-06-05,8.390672708275947e-05,0.8428960056506942,0.00016409785888838813,1.3420314659826766,9.890627449244148e-05,8.214538647571557e-05,1.178764539282858
2013-06-06,8.864935953499249e-05,0.834271020553594,0.00016458570726631937,1.3331570395147414,0.00010077226458737754,8.01308635785099e-05,1.1367511859755715
2013-06-07,8.584609796353898e-05,0.8654158319588223,0.0001661893031513403,1.3417775015302769,0.00010336812749271563,7.643174512094972e-05,1.2041097958420743
2013-06-10,7.344670994631798e-05,0.9093217348652327,0.00016443638883321225,1.3518188201148968,9.993156995240078e-05,7.716062487048866e-05,1.3605996786709782
2013-06-11,7.540176794643908e-05,0.9145136828012533,0.00016249111710486437,1.3629471657863552,0.00010122686439752369,7.505026794259924e-05,1.3424998797034735
2013-06-12,7.564969572692771e-05,0.9279422399901491,0.00016495261089415997,1.3913492267025105,0.00010365831240240537,8.096224571004079e-05,1.3702409693302695
2013-06-13,7.668406692361186e-05,0.9309896307440463,0.00016755462959229493,1.4425286386969212,0.00010552992480273027,7.734041495970053e-05,1.3761649458140104
2013-06-14,7.978958283363962e-05,0.8911019001460797,0.00016928738541764076,1.446040762629459,0.00010356494186416835,7.756756251426685e-05,1.2979757279856956
2013-06-17,6.406673037804978e-05,0.8482095272074694,0.00016821786638348326,1.4945678815622272,8.80552970678716e-05,7.89971474909618e-05,1.3744309495469533
2013-06-18,5.269216623890948e-05,0.7799603532553971,0.00016498892415746933,1.474717752147607,7.27231947459671e-05,7.716314078929567e-05,1.3801519264976831
2013-06-19,5.313666894497608e-05,0.7438258103879728,0.00016430354107904296,1.414160774359691,6.950113047105538e-05,7.030315952662567e-05,1.3079692771676181
2013-06-20,6.610900161714408e-05,0.7947934750056953,0.00017325105699357913,1.3904095817116051,8.505944383167971e-05,4.838556869139165e-05,1.2866544910825155
2013-06-21,6.524441916700448e-05,0.795981325314854,0.00017380078314356508,1.386086120081119,8.476185017915698e-05,4.8638390645346235e-05,1.2991433023902663
2013-06-24,5.5679700730278476e-05,0.7794119005289244,0.000175289420073349,1.6594255662666693,7.700046198648152e-05,6.228728302595735e-05,1.3829180289506993
2013-06-25,5.683904438603972e-05,0.7742593531745977,0.00018103748011210445,1.6716398621956998,7.854057785673397e-05,6.009124753236042e-05,1.3818067968085752
2013-06-26,5.616484134519195e-05,0.7593847162476848,0.0001858034708097972,1.7003331535553174,7.757486553272631e-05,5.7902479672276294e-05,1.3811997626049948
2013-06-27,5.600093181678947e-05,0.7560122397304667,0.00019182256486332186,1.7098313016070348,7.835672939279621e-05,5.76029958128663e-05,1.3992040284105471
2013-06-28,5.651835513949762e-05,0.7553596315346447,0.00019672912437897536,1.7195869928205074,7.964946403049881e-05,5.776693461873452e-05,1.4092671988402596
2013-07-01,4.0959150997653995e-05,0.7315482161904657,0.00020747298739465933,1.6559200728270402,6.743715012614872e-05,5.679535053976602e-05,1.6464489249303849
2013-07-02,4.708768430286185e-05,0.7121276332380068,0.00023706928799577178,1.653877794098351,7.524006335499461e-05,5.6650539042360154e-05,1.5978713854574016
2013-07-03,4.5307854285029834e-05,0.7061687824578958,0.0002645858322127043,1.6550272127644412,7.731763388123807e-05,5.668923481021582e-05,1.706495156332852
2013-07-05,5.048108536897671e-05,0.7092371995848735,0.00029034966697024387,1.6158618352178722,8.586506724841875e-05,5.452592603269868e-05,1.7009354418751734
2013-07-08,5.858594159480322e-05,0.6913968410374463,0.00030574346347006677,1.678434203033235,9.25342881956278e-05,5.739246530190242e-05,1.5794623364700844
2013-07-09,6.185296409698371e-05,0.6749731357378459,0.0003051852893008075,1.664546244361448,9.273603944491213e-05,5.551535783709409e-05,1.4992982276403863
2013-07-10,6.043816195282401e-05,0.6677389561221012,0.00030456020837074947,1.6799578033693368,9.059389212799857e-05,5.6417805472334913e-05,1.4989518079440123
2013-07-11,6.428746384905295e-05,0.6602685533074611,0.00030498292072845293,1.793221460674791,9.245310891401067e-05,5.332546596274614e-05,1.4381203329328824
2013-07-12,6.999194674271863e-05,0.64937451659299,0.00030558009189959233,1.7860160874087934,9.496898725272036e-05,5.43216594079451e-05,1.3568559194647651
2013-07-15,7.060701256657018e-05,0.6409965559326198,0.00030788288124039255,1.77075626992605,9.450882971657233e-05,5.4042581867917945e-05,1.3385190263851892
2013-07-16,3.5042919617133015e-05,0.6310790987515219,0.00030560883189222076,1.7218201478498407,6.530807582667837e-05,5.65261021582608e-05,1.8636596647828472
2013-07-17,3.792838595062833e-05,0.6246899995491654,0.00029843536248747623,1.67698135248806,6.646176579397275e-05,5.513401960474585e-05,1.7522961794495167
2013-07-18,3.7451029819475974e-05,0.6295202852464862,0.00029282298204590226,1.5708784165117402,6.592409716161076e-05,5.615636187827557e-05,1.7602746167297034
2013-07-19,4.0860668714576163e-05,0.6287000208430223,0.00028737375067905364,1.561175494635606,6.812707730335063e-05,5.6538782977187067e-05,1.667302064467872
2013-07-22,3.950888193740232e-05,0.6378147881489284,0.0002823830331487923,1.561311598102154,6.736917882454285e-05,5.6621846653451515e-05,1.705165408914437
2013-07-23,3.3171208880188284e-05,0.6201343971038232,0.0002728912484574226,1.5616696470928697,5.900125842933669e-05,5.677150235249261e-05,1.7786888214549086
2013-07-24,3.471216593235655e-05,0.6141265298852211,0.0002687559887789067,1.5505811628720996,5.93168105252397e-05,5.6374998112613806e-05,1.7088190532630583
2013-07-25,3.488954269695917e-05,0.6207247517239364,0.00026497740534699935,1.4741106638521255,5.968306576118454e-05,5.414550211285901e-05,1.710629063830816
2013-07-26,3.343176772700175e-05,0.6401935796835793,0.00026181288321583016,1.462914505039535,5.989443762827591e-05,5.46119781441575e-05,1.7915426464243207
