Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_AABA,Predicted_Covariance,Future_Cov_45_AABA,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.5078688537345419,0.0002286509740986736,0.9719898470972644,5.69424294456985e-05,5.3234643887476e-05,1.0357148962145981
2013-03-01,5.488021190183326e-05,0.520183590851309,0.00023540633117712122,0.9525249480971956,5.9125334058947395e-05,5.211895548257285e-05,1.0773525103129626
2013-03-04,5.501029900576039e-05,0.5335438841126442,0.00024472844574133565,0.9516573443614124,6.190623255553918e-05,5.202925998740781e-05,1.1253571362892736
2013-03-05,5.845535101370509e-05,0.539988168225593,0.00024401454644395164,0.9589504660454264,6.449176142733082e-05,5.139473351028087e-05,1.1032653180409517
2013-03-06,5.9250468430820016e-05,0.5467585874785332,0.0002434249386972521,0.9692314040192884,6.566350208891698e-05,5.23038308783098e-05,1.1082359992745834
2013-03-07,5.369174155549812e-05,0.5326816038472806,0.0002362735169338381,0.985851550402973,5.9996921533013655e-05,5.328718090936285e-05,1.1174329570032335
2013-03-08,4.524810700565277e-05,0.5400597857293745,0.00023608271442364612,0.9859500810382594,5.581798339698626e-05,5.3078417600015714e-05,1.2335982009150794
2013-03-11,4.8373919939468494e-05,0.5352270681561386,0.0002343752437072324,0.9953393889244212,5.699012086955998e-05,5.529742389411149e-05,1.1781166575062174
2013-03-12,5.1431479865635213e-05,0.5418583099841314,0.0002345782523266494,1.0107723686221373,5.951742339648664e-05,5.6221295384263825e-05,1.1572177886379307
2013-03-13,5.5261000285198275e-05,0.5457713325097513,0.00022450728408043383,1.0748351359404802,6.079044309738681e-05,6.067863255285964e-05,1.1000604908280969
2013-03-14,6.195858588029715e-05,0.5634099125510508,0.00022138442615516222,1.0322415844449409,6.598553848632343e-05,5.951988723081273e-05,1.0649942626806603
2013-03-15,6.386120353979619e-05,0.5824006229428828,0.00022013435690489914,0.9955544485755868,6.905327726355103e-05,5.6276146153277694e-05,1.0813024721734115
2013-03-18,6.402550064969363e-05,0.6047802695664926,0.0002143783863062489,0.9948989769249772,7.085403778266759e-05,5.508681618457004e-05,1.1066533969071999
2013-03-19,6.71640875084588e-05,0.6206284885201441,0.00021295573414700816,1.050850983636595,7.422409921348973e-05,5.9777418060168684e-05,1.1051158731835935
2013-03-20,6.839791392936718e-05,0.6339920037393237,0.00021349139095676263,1.1127857040272706,7.66117516088265e-05,6.301567607311907e-05,1.1200890086785622
2013-03-21,6.814178529168062e-05,0.5851338304370529,0.0002272499828992491,1.2770730538180597,7.281383272309536e-05,6.955632966899731e-05,1.0685636193917736
2013-03-22,6.79733209422515e-05,0.5829594670064921,0.00022314549572766476,1.2251817049726608,7.179623429999572e-05,6.611050541675627e-05,1.0562413797759282
2013-03-25,7.243408887933498e-05,0.5941969527664395,0.00022335938419961807,1.2565854115581057,7.557950146354762e-05,6.871012767775792e-05,1.0434244791765444
2013-03-26,7.339742545776695e-05,0.6063415578774821,0.00022279654282214987,1.2755599496998435,7.753753179873901e-05,6.864208234266334e-05,1.0564066970353652
2013-03-27,7.311742529462491e-05,0.6173864334863786,0.00022209514188114128,1.1768105282450014,7.867505523435184e-05,6.984755002554079e-05,1.0760096504674856
2013-03-28,6.422356192814954e-05,0.594662918907425,0.00022504123810593733,1.175164851395325,7.149062712317047e-05,7.01769396226185e-05,1.1131526339686826
2013-04-01,6.678777769649997e-05,0.5815371274739654,0.00022376854392185352,1.1804855100825344,7.109277413840029e-05,7.07439856764329e-05,1.0644578482827094
2013-04-02,6.451960799026473e-05,0.5766211847827133,0.00022432650856655045,1.1950454399250825,6.937080794178404e-05,7.720912206811505e-05,1.0751895447388848
