Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_LOW,Predicted_Covariance,Future_Cov_45_LOW,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.6741215389874415,0.00015805495569392976,0.9931548616906132,6.284057455604987e-05,5.43938247350075e-05,1.1429951231085294
2013-03-01,5.488021190183326e-05,0.6723271737376412,0.00016029162140656012,1.0044329200069997,6.305854786749247e-05,5.4959184793691844e-05,1.149021581408763
2013-03-04,5.501029900576039e-05,0.6706997057767625,0.0001607348244692075,0.9835793642747688,6.306742635508525e-05,5.377450903448977e-05,1.1464657981313857
2013-03-05,5.845535101370509e-05,0.6673794275454376,0.00016072277111257518,1.046802166870129,6.468799006688217e-05,5.610312556198952e-05,1.1066222158466863
2013-03-06,5.9250468430820016e-05,0.6533939435067737,0.00016090891236575385,1.0661152566969478,6.37985852620251e-05,5.7532093834171076e-05,1.076760858633808
2013-03-07,5.369174155549812e-05,0.615971994527666,0.00016766078954312725,1.0703343518110917,5.844272617133417e-05,5.785363954152111e-05,1.088486319836082
2013-03-08,4.524810700565277e-05,0.578515019548394,0.00017116721264670158,1.056503742986993,5.091258349939526e-05,5.6876659320511065e-05,1.1251870380574118
2013-03-11,4.8373919939468494e-05,0.5745474677317384,0.00017870601004044815,1.070270357584047,5.341966188321665e-05,5.9460315047495257e-05,1.10430707186976
2013-03-12,5.1431479865635213e-05,0.571813616143329,0.00018643523478024582,1.056360926079779,5.599290500414464e-05,5.875702730030601e-05,1.0886893620488105
2013-03-13,5.5261000285198275e-05,0.5782819686445553,0.00018736076496774106,1.0721933545425983,5.884212485494026e-05,6.052949369670696e-05,1.0648038318390916
2013-03-14,6.195858588029715e-05,0.5756710839704859,0.00018799289136058246,1.047570998380794,6.212921660494424e-05,6.040379367531738e-05,1.0027539480158043
2013-03-15,6.386120353979619e-05,0.5793120035092817,0.0001901690877319175,1.0393141822827243,6.384119951489172e-05,5.8749771953709807e-05,0.9996867577841373
2013-03-18,6.402550064969363e-05,0.5859618248888754,0.00018891268292989697,1.049942467569865,6.444309237985379e-05,5.813453331127167e-05,1.006522271999792
2013-03-19,6.71640875084588e-05,0.5885325843917263,0.00018948481475284556,0.9620514006486992,6.639360921430942e-05,5.472607407468155e-05,0.9885284186425918
