Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_CSCO,Predicted_Covariance,Future_Cov_45_CSCO,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.6048821225025486,0.00018618960619672678,1.1787045708882071,6.119928532609788e-05,6.455614558851989e-05,1.1131420290097092
2013-03-01,5.488021190183326e-05,0.6081661677370852,0.0001853395704401096,1.1803056257196531,6.133582661066945e-05,6.458234662052755e-05,1.11763100915834
2013-03-04,5.501029900576039e-05,0.6097524505984341,0.00018428365508307476,1.15632708966832,6.139301555082838e-05,6.321901799560717e-05,1.1160276650086856
2013-03-05,5.845535101370509e-05,0.619303166271717,0.00018697446426090464,1.1278870844149451,6.474505222496402e-05,6.044885339306781e-05,1.107598382392474
2013-03-06,5.9250468430820016e-05,0.6085094972011313,0.00018925574013294085,1.1085283010885736,6.44373668405667e-05,5.982088131226424e-05,1.0875418970873258
2013-03-07,5.369174155549812e-05,0.5939707826009732,0.0001911292591326473,1.117350252857645,6.017033317685353e-05,6.039493982517998e-05,1.120662720814501
2013-03-08,4.524810700565277e-05,0.5889855437746857,0.00018690300695955352,1.117948701154774,5.416428157818205e-05,6.0184535866969415e-05,1.1970507754372
2013-03-11,4.8373919939468494e-05,0.5993707048563378,0.00018829887457400498,1.08248578163948,5.720381787149997e-05,6.0138959427046727e-05,1.1825342652214366
2013-03-12,5.1431479865635213e-05,0.6095934344252855,0.00019092823587130178,1.0662060123936918,6.0407362089514946e-05,5.930463180842363e-05,1.1745211735561418
2013-03-13,5.5261000285198275e-05,0.6175877843751563,0.00019124532597409872,0.7633174040998499,6.348973042685211e-05,4.309224246195714e-05,1.1489066448161618
2013-03-14,6.195858588029715e-05,0.5528938627951261,0.00022607343996922753,0.7899734249146915,6.543608216691324e-05,4.5550508596827064e-05,1.0561261403437217
2013-03-15,6.386120353979619e-05,0.5122848182033252,0.00025337248282368855,0.8528569921530291,6.516430364065429e-05,4.820982398995826e-05,1.0204051917068249
2013-03-18,6.402550064969363e-05,0.46308189213150713,0.00027244935777954164,0.8301566601628445,6.116136718555542e-05,4.596515666759595e-05,0.955265738884122
2013-03-19,6.71640875084588e-05,0.4552244814061377,0.00028310216153439906,0.9038307488000688,6.277197048572887e-05,5.141420559905147e-05,0.9346061684798923
2013-03-20,6.839791392936718e-05,0.4493728020594793,0.00028488890782438404,0.8870427502354924,6.272865589114783e-05,5.023213221516998e-05,0.917113582673386
2013-03-21,6.814178529168062e-05,0.38961623267552314,0.00033421180019451075,0.7508535296841212,5.879693485175959e-05,4.089555839244879e-05,0.8628616729086207
2013-03-22,6.79733209422515e-05,0.3709209994618983,0.00036564512494008237,0.8009045831463462,5.847639073324655e-05,4.321661559873139e-05,0.8602844457596339
