Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_DIS,Predicted_Covariance,Future_Cov_45_DIS,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.7754989475350347,0.00012261654296357163,1.222670250195254,6.367275353929281e-05,6.696408975395658e-05,1.1581314665636915
2013-03-01,5.488021190183326e-05,0.7717259121549828,0.00012434060422068875,1.2162186029175612,6.374959928910317e-05,6.65473837185726e-05,1.1616135776431582
2013-03-04,5.501029900576039e-05,0.7625621422403397,0.00012683388429333568,1.227347687698591,6.369640035695581e-05,6.710187476256428e-05,1.157899548051645
2013-03-05,5.845535101370509e-05,0.7527450876399843,0.00012921308525347101,1.2180032826277694,6.542041797926775e-05,6.527861067052904e-05,1.1191519141494792
2013-03-06,5.9250468430820016e-05,0.7480215406134848,0.00013166371789118906,1.1986920847617963,6.606828836331529e-05,6.468650088777165e-05,1.115067781117303
2013-03-07,5.369174155549812e-05,0.7603693274958432,0.00013205758941085694,1.2014110589893523,6.402653773307897e-05,6.493858879737683e-05,1.1924839068015396
2013-03-08,4.524810700565277e-05,0.7848806019705546,0.00013368093691445334,1.1867372035797796,6.104337590293936e-05,6.388775059154174e-05,1.3490813194751619
2013-03-11,4.8373919939468494e-05,0.7886253933716895,0.00013528034578326592,1.143915873012458,6.37960441794342e-05,6.35517911106962e-05,1.3188107198933599
2013-03-12,5.1431479865635213e-05,0.7817564594471552,0.00013766177192121363,1.1220148343120735,6.577981782509657e-05,6.240883643403911e-05,1.2789796832007634
2013-03-13,5.5261000285198275e-05,0.7513786835020523,0.00014157431002024797,1.1576385730884242,6.64600200286586e-05,6.535320930310504e-05,1.202656840912451
2013-03-14,6.195858588029715e-05,0.7487554118399621,0.0001414210844646596,1.122254094323783,7.008866767917929e-05,6.47100815788076e-05,1.1312180012402044
2013-03-15,6.386120353979619e-05,0.7400342649500624,0.00014094261423070506,1.1333012926459736,7.020879829983108e-05,6.406262286497264e-05,1.0993967292846163
2013-03-18,6.402550064969363e-05,0.7445211947176424,0.00014233547909226635,1.1098147855265752,7.10738990166653e-05,6.144961901376131e-05,1.1100873604337118
2013-03-19,6.71640875084588e-05,0.737787254196276,0.00014080240941442254,1.0868755990395094,7.174716594695609e-05,6.182667007489753e-05,1.0682370386989937
2013-03-20,6.839791392936718e-05,0.7325824610731696,0.00013885969259353682,1.088988715508478,7.139471180251915e-05,6.166808208931024e-05,1.0438141706521442
2013-03-21,6.814178529168062e-05,0.7296433295470424,0.0001373916634651468,1.071619699517645,7.059883934255817e-05,5.836622492080286e-05,1.03605796414579
