Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_PM,Predicted_Covariance,Future_Cov_45_PM,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.5771884333859487,8.493597571679698e-05,0.6763873259537416,3.944221938801944e-05,3.704487092605051e-05,0.7174069416706612
2013-03-01,5.488021190183326e-05,0.5804799598900638,8.39630654485416e-05,0.6739014940817574,3.940390504689224e-05,3.6873618942842234e-05,0.7179984129320748
2013-03-04,5.501029900576039e-05,0.5847089485696872,8.39410760899633e-05,0.6662833445112132,3.973278520115537e-05,3.6427217802974666e-05,0.7222790262782386
2013-03-05,5.845535101370509e-05,0.5920307649816086,8.40440103371979e-05,0.6963323115114668,4.149634021199501e-05,3.7319772868262545e-05,0.7098809517415442
2013-03-06,5.9250468430820016e-05,0.5983516585169872,8.334281008598222e-05,0.7073552662804851,4.2047140205553865e-05,3.8171885542495396e-05,0.7096507642745051
2013-03-07,5.369174155549812e-05,0.574763972601563,8.340026017289142e-05,0.701769785657489,3.84615680460084e-05,3.793201269478144e-05,0.7163404823859709
2013-03-08,4.524810700565277e-05,0.6198702475841285,7.683766865138999e-05,0.714236000328543,3.655005954038287e-05,3.845074656364106e-05,0.8077699147903963
2013-03-11,4.8373919939468494e-05,0.640756134566303,7.74288366101497e-05,0.7249812639746319,3.921477978259989e-05,4.027731316110732e-05,0.8106595419943294
2013-03-12,5.1431479865635213e-05,0.6617185966455843,7.871970816710596e-05,0.7383834508143257,4.210460409398885e-05,4.107044808879554e-05,0.8186543378488654
2013-03-13,5.5261000285198275e-05,0.6775471373300657,8.014677163541323e-05,0.7524826017198502,4.509121132759446e-05,4.2480575639376186e-05,0.815968062374582
2013-03-14,6.195858588029715e-05,0.6615544023501881,8.307586975843038e-05,0.7301053598100631,4.74628443173637e-05,4.209846739111382e-05,0.766041439503817
2013-03-15,6.386120353979619e-05,0.6506886766848445,8.391965876412685e-05,0.7488449602976371,4.763472401429869e-05,4.233028991247156e-05,0.745910214244777
2013-03-18,6.402550064969363e-05,0.6462784690769524,8.372350648131428e-05,0.7297418075701105,4.7317292208693204e-05,4.040526098444461e-05,0.7390382227166485
2013-03-19,6.71640875084588e-05,0.6505885121009919,7.99440851980253e-05,0.7364655473451094,4.7672520962786555e-05,4.189367436114425e-05,0.7097918356559608
2013-03-20,6.839791392936718e-05,0.6474924992806054,8.142551117540227e-05,0.7215715811101334,4.8321056011699836e-05,4.086170486756211e-05,0.7064697332962492
2013-03-21,6.814178529168062e-05,0.6380932572805238,8.374700418815102e-05,0.7328994880981738,4.8203164415437746e-05,3.991768384430941e-05,0.7073950911192641
2013-03-22,6.79733209422515e-05,0.6315068120613648,8.529155281102274e-05,0.7078483890872707,4.8083967455849794e-05,3.819532610637581e-05,0.7073947070601534
