Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_GLD,Predicted_Covariance,Future_Cov_45_GLD,Beta_Predicted
2013-02-28,5.497886498863307e-05,-0.13219099783048432,0.0002991521784180201,0.9937931763247806,-1.6952972228678765e-05,5.442878441317689e-05,-0.3083543509343783
2013-03-01,5.488021190183326e-05,-0.13465952212046842,0.0002992776266856123,0.9973679207063942,-1.7257666984531144e-05,5.457261183854998e-05,-0.31446064777229216
2013-03-04,5.501029900576039e-05,3.9270466818524894,0.0002996525175974922,0.9802933675952904,0.0005041932557082876,5.359485616198583e-05,9.16543383368069
2013-03-05,5.845535101370509e-05,6.960145680201928,0.0002985975535473289,1.0153598735042115,0.0009195462734303211,5.44179829548254e-05,15.730745902367941
2013-03-06,5.9250468430820016e-05,7.544005619000227,0.0002952067807247399,1.0249085453815283,0.0009977254760311612,5.530840519722119e-05,16.83911541047293
2013-03-07,5.369174155549812e-05,2.3370885314601977,0.00030351308318528157,1.0178667798991423,0.0002983442128428037,5.501766591526489e-05,5.556612696841323
2013-03-08,4.524810700565277e-05,-0.45108395771511633,0.0002980564071095125,1.0200524503656785,-5.238498460260102e-05,5.4914311561711065e-05,-1.1577276502651626
2013-03-11,4.8373919939468494e-05,0.24404835411145573,0.0002961179663896383,0.975811763385657,2.9208812638066853e-05,5.421254028649212e-05,0.60381322569303
2013-03-12,5.1431479865635213e-05,0.687407791805015,0.00028494007374606364,0.9564253304878884,8.321578744098798e-05,5.3198398262164907e-05,1.6179932535168986
2013-03-13,5.5261000285198275e-05,0.4741075173190534,0.0002635612181683207,0.944776491982702,5.7217247986993636e-05,5.333631520283051e-05,1.035400150046132
2013-03-14,6.195858588029715e-05,0.24358000597561627,0.0002757663176416718,0.8561187974621994,3.183926218853007e-05,4.9364504442562066e-05,0.5138797429954735
2013-03-15,6.386120353979619e-05,0.5414574679435884,0.0002822542887712748,0.8680593914537471,7.269477092767937e-05,4.906917673169117e-05,1.1383244739880043
2013-03-18,6.402550064969363e-05,2.3184274584770392,0.0002878064909038475,0.9226427301635264,0.0003147170672257116,5.108604155734404e-05,4.915495607721071
2013-03-19,6.71640875084588e-05,1.6501362278133271,0.0002912357344034642,0.9235193946924664,0.00023078665322862673,5.253418972132503e-05,3.436161523069318
2013-03-20,6.839791392936718e-05,1.1083079957892343,0.00029405466536420717,0.8890296946823557,0.00015717951041012966,5.0344650418077996e-05,2.298016143773698
2013-03-21,6.814178529168062e-05,0.95759945933354,0.0003067326488644025,0.9646291039181096,0.00013844288744455183,5.253893640605854e-05,2.031688586554456
2013-03-22,6.79733209422515e-05,0.711332749573647,0.00031539399058038006,0.9791686928111178,0.00010415227371425309,5.28357033958914e-05,1.5322522464767958
2013-03-25,7.243408887933498e-05,0.6099563919098948,0.00032443581209458633,0.9253571445505928,9.350496693587289e-05,5.059855618629165e-05,1.290897260979413
2013-03-26,7.339742545776695e-05,-0.9172299165313461,0.0003295673538562036,0.95769684917125,-0.0001426562215985372,5.153682192325951e-05,-1.9436134266129255
2013-03-27,7.311742529462491e-05,-2.1081341779212632,0.00033356161514248704,0.9765473641759206,-0.0003292279731553262,5.796127688737636e-05,-4.5027292991883945
2013-03-28,6.422356192814954e-05,-1.3212793000898413,0.00034092192972858015,1.0105714088937885,-0.00019551014346031606,6.034796621263771e-05,-3.0442120865087503
2013-04-01,6.678777769649997e-05,-0.8823160026359363,0.00035496029521459764,1.0295265808341962,-0.00013585090661002828,6.169733814263397e-05,-2.0340683774113297
2013-04-02,6.451960799026473e-05,-0.5044770665703607,0.00034720439809279386,0.94597624249653,-7.550572761113642e-05,6.11173372495615e-05,-1.1702756722038574
2013-04-03,6.836168011312682e-05,-0.11855808586556114,0.00034435692463484057,0.9585594980792298,-1.8190387601649754e-05,6.073402627801348e-05,-0.2660904116392077
2013-04-04,6.901245142532413e-05,-0.03274688310278722,0.0003497887766009447,0.8327994958291761,-5.087877331919986e-06,5.510753787372083e-05,-0.07372404873090754
2013-04-05,6.697476452894188e-05,113.24609058855035,0.00034133250430799886,0.8777519305532248,0.017122518327712475,5.7443318607123484e-05,255.65626767247988
2013-04-08,7.273438811092278e-05,90.7374286923722,0.00035021136493767276,0.858963544692971,0.014481764497293662,5.819535245758296e-05,199.1047821177571
2013-04-09,7.022991067372413e-05,62.46032872022256,0.00035156028387126385,0.7971987220796134,0.009814433275992709,5.5395621791865325e-05,139.7471986200986
2013-04-10,6.636144982931065e-05,53.40305046834201,0.0003424697156126551,0.8254175224564313,0.008050726717740798,5.877008370847774e-05,121.31631750735106
2013-04-11,6.716170407401359e-05,35.51655659530578,0.0003461285139750163,0.7936478450456178,0.005415148810532539,5.726316080466183e-05,80.62852015435662
2013-04-12,6.98842565011876e-05,-11.738558868812383,0.0003022350718834888,0.7329531701507017,-0.001705991592051326,5.3552548833570365e-05,-24.41167263505672
2013-04-15,9.593981606210937e-05,-48.645013361580936,0.0007346162000478369,0.0141073985833178,-0.012914215179458285,8.5147016496329e-07,-134.607462360548
2013-04-16,8.836558039441448e-05,-32.946985417062514,0.0007929977884590764,0.0214599447865758,-0.008721541243823527,1.3164527935435889e-06,-98.69839823260878
2013-04-17,8.959564094882932e-05,-21.98656739124591,0.0008358449129934399,0.4719409463622246,-0.00601677433920092,3.353996489144417e-05,-67.15476640919702
2013-04-18,9.719405369416862e-05,-13.725809608345445,0.0008870678734919076,0.4940373598282866,-0.004030289506295924,3.4655073771184805e-05,-41.46642055878908
