Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_SPXU,Predicted_Covariance,Future_Cov_45_SPXU,Beta_Predicted
2013-02-28,5.497886498863307e-05,-0.932526304813354,0.0011339468862894926,-2.913156266315036,-0.0002328387894038921,-0.0001595498521810509,-4.235059953529992
2013-03-01,5.488021190183326e-05,-0.9302347469207979,0.001135417249281971,-2.9125292620551946,-0.00023220854182624392,-0.00015936378701049688,-4.231188870801117
2013-03-04,5.501029900576039e-05,-0.9373588401976602,0.001137996713761453,-2.913749787607155,-0.00023452999067692898,-0.00015930129277717648,-4.263383310321041
2013-03-05,5.845535101370509e-05,-0.9359145052174161,0.01673243094882382,-2.9078025791348674,-0.000925609568078283,-0.00015584302208166947,-15.834471130987993
2013-03-06,5.9250468430820016e-05,-0.9430974959311185,0.025128235545376583,-2.9100401415720367,-0.001150756622829974,-0.0001570380889256125,-19.421899156351493
2013-03-07,5.369174155549812e-05,-1.0429283610214442,0.01762613718234365,-2.909169928450206,-0.0010145811660450727,-0.00015724625498640145,-18.896410074468484
2013-03-08,4.524810700565277e-05,-1.0235064104257776,0.012352832604320291,-2.910958756883978,-0.0007651983988660585,-0.00015671085938915346,-16.911169317436055
2013-03-11,4.8373919939468494e-05,-1.0041695957612264,0.007672863018368571,-2.915565850459221,-0.0006117745847044036,-0.00016197819810814522,-12.64678540564694
2013-03-12,5.1431479865635213e-05,-0.976240735628803,0.005901083791321656,-2.9110150221550306,-0.000537820468327582,-0.0001619168078879197,-10.457028841725698
2013-03-13,5.5261000285198275e-05,-0.9651300219196923,0.004974393712503891,-2.9084276360515537,-0.0005060171940620533,-0.00016419207554108837,-9.156859113127393
2013-03-14,6.195858588029715e-05,-0.9722199747512626,0.0067674877718530745,-2.9087334345646765,-0.000629548260106375,-0.0001677199297322239,-10.160791295699529
2013-03-15,6.386120353979619e-05,-0.9477027758152092,0.006186524383818806,-2.945108763029049,-0.000595681437223377,-0.00016647946420475344,-9.327751501773186
2013-03-18,6.402550064969363e-05,-0.9407821415147282,0.007749510892984175,-2.941948077862635,-0.0006626782289176876,-0.0001628934763715106,-10.350223304671006
2013-03-19,6.71640875084588e-05,-0.9461972507982491,0.00902948824380951,-2.941918408146835,-0.0007368546180688927,-0.00016735035635035003,-10.970961497483184
2013-03-20,6.839791392936718e-05,-0.9572669041521421,0.009427901143174695,-2.944964501601448,-0.0007687090293913597,-0.00016676969196146717,-11.23877886371193
2013-03-21,6.814178529168062e-05,-0.9590492416160583,0.006224433137437453,-2.941506816260595,-0.0006245936479457098,-0.00016021042588263253,-9.166088696856699
2013-03-22,6.79733209422515e-05,-0.9681521902177983,-0.002136401852417029,-2.940415694744912,,-0.00015866411237285588,
2013-03-25,7.243408887933498e-05,-0.975805725983626,-0.01331028896479477,-2.9509484507008787,,-0.0001613579490523667,
2013-03-26,7.339742545776695e-05,-0.9880348829416763,-0.022405625446281965,-2.960467359146424,,-0.00015931249980615607,
2013-03-27,7.311742529462491e-05,-0.9850174673792137,-0.02990244430427441,-2.954758651450314,,-0.00017537458050138145,
2013-03-28,6.422356192814954e-05,-0.9642869759104682,-0.02519119311437122,-2.951386518512352,,-0.00017624699485074862,
2013-04-01,6.678777769649997e-05,-0.9524969810408446,-0.019321758031432303,-2.9523738737951337,,-0.00017692948643193075,
2013-04-02,6.451960799026473e-05,-0.9459342284400143,0.022032615500320613,-2.95844570921065,-0.0011278200949348205,-0.00019113833521565242,-17.48026886810899
2013-04-03,6.836168011312682e-05,-0.8655584803764987,0.020060853888731866,-2.953749604016962,-0.0010136254052094207,-0.0001871486396290551,-14.827391654682053
2013-04-04,6.901245142532413e-05,-0.7347792300899765,0.020410986530930805,-2.9588346094470146,-0.0008720725106925699,-0.00019579033262962314,-12.636451722573685
2013-04-05,6.697476452894188e-05,-0.7942908428226141,0.019301917022996464,-2.961608863028872,-0.0009030990294557554,-0.00019381858995333963,-13.484168788163462
2013-04-08,7.273438811092278e-05,-0.8241699422698898,0.018376352042478172,-2.958778915514721,-0.0009528319636446452,-0.00020045924288206046,-13.10015782619274
2013-04-09,7.022991067372413e-05,-0.8330394830857464,0.01773434233654586,-2.9607670216271056,-0.0009296814975289549,-0.00020573732195158093,-13.237685889251553
2013-04-10,6.636144982931065e-05,-0.8325044356514654,0.017250794881244667,-2.958753493838463,-0.0008907360810079263,-0.00021066452525523585,-13.422492777041533
2013-04-11,6.716170407401359e-05,-0.8316047296318041,0.016913186713217034,-2.958614469560081,-0.0008863199517387407,-0.00021346950941406476,-13.1968055897152
2013-04-12,6.98842565011876e-05,-0.8805631017241334,0.022046556572846907,-2.959064897675722,-0.0010930009548256717,-0.00021620135349424918,-15.64016002384024
2013-04-15,9.593981606210937e-05,-0.9541731477627892,0.01698807962263556,-2.9811644177480834,-0.0012181444060760723,-0.00017993200827006454,-12.696964160192593
2013-04-16,8.836558039441448e-05,-0.9719476611340081,0.01237074242235634,-2.9576103404728973,-0.0010162073420345527,-0.0001814335700138657,-11.500035845391068
2013-04-17,8.959564094882932e-05,-0.9797768953398037,0.009569901318608603,-2.946956610090548,-0.0009072445416561366,-0.00020943472271461647,-10.125989747361597
2013-04-18,9.719405369416862e-05,-1.0008860632392178,0.005853147716217402,-2.9378593707315788,-0.0007549170465205249,-0.0002060810406270818,-7.7671114417755565
2013-04-19,7.72897485213767e-05,-0.9857510837047242,0.03282110067497271,-2.936015737779631,-0.0015700185400939805,-0.00021306085022945964,-20.31341245287849
2013-04-22,7.797978274745508e-05,-0.9579736260120978,0.03444205034156887,-2.939831635624945,-0.0015699617144949891,-0.00021799001640663963,-20.132932654858237
2013-04-23,8.499754389235151e-05,-0.9379067549880293,0.03493015577461966,-2.9336843844390468,-0.0016160809583347327,-0.0002169703520458485,-19.013266552519237
