Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_VXX,Predicted_Covariance,Future_Cov_45_VXX,Beta_Predicted
2013-02-28,5.497886498863307e-05,-0.8892055611635067,0.0016008639194663656,-4.450479726257565,-0.00026380150161600094,-0.00024374709680691383,-4.798234770225652
2013-03-01,5.488021190183326e-05,-0.8892371492396021,0.0015911304353438374,-4.476410768888034,-0.000262771571914118,-0.00024493411332842025,-4.788093245415114
2013-03-04,5.501029900576039e-05,-0.8893234248568165,0.0015897639823256396,-4.408822438544872,-0.00026299534482549457,-0.00024104029696454953,-4.780838308076731
2013-03-05,5.845535101370509e-05,-0.8890885843884093,0.0016215473600188807,-4.386452107627754,-0.00027372974270025054,-0.00023509090939475083,-4.682714891850936
2013-03-06,5.9250468430820016e-05,-0.8894764026458615,0.0015701810907801958,-4.394654401214323,-0.0002713033750974823,-0.0002371541611389643,-4.578923716261453
2013-03-07,5.369174155549812e-05,-0.8838343877192703,0.0013673984350219433,-4.388356996882064,-0.00023948161575470706,-0.0002371991737418673,-4.460306349108986
2013-03-08,4.524810700565277e-05,-0.8747672726977266,0.0011641957092076343,-4.392867188445901,-0.00020077319545101189,-0.0002364890916629396,-4.437162319871849
2013-03-11,4.8373919939468494e-05,-0.8719462380982264,0.0012493803328936274,-4.239666476912491,-0.00021435947349471594,-0.00023554039652427295,-4.431302523404127
2013-03-12,5.1431479865635213e-05,-0.870202601944149,0.0013231312292639173,-4.189525863483785,-0.0002270054834048448,-0.00023303028298252742,-4.413745900329853
2013-03-13,5.5261000285198275e-05,-0.8693972944692352,0.0013869161428306694,-4.155903131617821,-0.0002406870682006232,-0.00023461692925405282,-4.355459853394864
2013-03-14,6.195858588029715e-05,-0.8675372388020515,0.001438779781584001,-4.1199660597372585,-0.00025902163325800497,-0.00023756058558927257,-4.180560766161287
2013-03-15,6.386120353979619e-05,-0.8618763878333369,0.001448853533140828,-4.207263066217133,-0.0002621656417915657,-0.00023782581812424833,-4.105241167717623
2013-03-18,6.402550064969363e-05,-0.8590412417219447,0.0015129552412206846,-4.13847174547266,-0.00026736437923777613,-0.00022914410167805533,-4.175904546231073
2013-03-19,6.71640875084588e-05,-0.856920659882862,0.0015158111679784672,-4.074079115364409,-0.0002734209098775646,-0.00023175305945525188,-4.070939098861864
2013-03-20,6.839791392936718e-05,-0.8558002879385037,0.00156211955927872,-3.997120096491797,-0.00027973769469546045,-0.00022635196005331692,-4.089857111495222
2013-03-21,6.814178529168062e-05,-0.8553961686749123,0.001525286690079536,-4.029544709521192,-0.00027577176256144613,-0.00021947087474241862,-4.047028726661714
2013-03-22,6.79733209422515e-05,-0.853887850810058,0.0014757252007200818,-4.107502010395672,-0.0002704411820968429,-0.00022163980477790524,-3.978637182176272
2013-03-25,7.243408887933498e-05,-0.8456429065335843,0.0014509691383513632,-4.136358494885929,-0.0002741495887241959,-0.00022617620552524615,-3.784814483977159
2013-03-26,7.339742545776695e-05,-0.8447936939993055,0.0013777133526624097,-4.133695740925406,-0.00026863989586762204,-0.00022244778341848147,-3.660072464288248
2013-03-27,7.311742529462491e-05,-0.8397803152913221,0.001380286813195814,-3.94450966664691,-0.0002667846297032856,-0.0002341195372191565,-3.648714771181881
2013-03-28,6.422356192814954e-05,-0.846858514655854,0.0013608215085834441,-3.9186556918398256,-0.0002503563637836759,-0.0002340090954571665,-3.898201162740918
2013-04-01,6.678777769649997e-05,-0.8509114048303853,0.0013505745463673754,-3.9253071328761777,-0.00025555955386847293,-0.0002352353071782972,-3.8264419431620884
