Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_MO,Predicted_Covariance,Future_Cov_45_MO,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.6858426278563964,9.928017563592881e-05,0.9716841181140532,5.067031778806047e-05,5.321789950110637e-05,0.9216326637251715
2013-03-01,5.488021190183326e-05,0.6909479970543458,9.816087102273127e-05,0.968810199192677,5.0713367958509975e-05,5.3010029546893777e-05,0.9240738364717558
2013-03-04,5.501029900576039e-05,0.681736126873818,9.840707587667882e-05,0.9648532448502408,5.015930094982457e-05,5.275070972072756e-05,0.9118165481080579
2013-03-05,5.845535101370509e-05,0.679136429143218,9.98503485564052e-05,0.959617992617956,5.188525503535491e-05,5.143050944607846e-05,0.8876048836519723
2013-03-06,5.9250468430820016e-05,0.6722797170498132,9.915769306202521e-05,0.9636553804611248,5.152987747444971e-05,5.200292503482382e-05,0.8696956975895515
2013-03-07,5.369174155549812e-05,0.6826130864832054,9.81164020982946e-05,0.970185755971348,4.954492355528628e-05,5.2440414454894584e-05,0.9227661856353551
2013-03-08,4.524810700565277e-05,0.6909121347296829,7.969760182843678e-05,0.9741335197620948,4.1490212052645955e-05,5.2442275480779996e-05,0.9169491233625011
2013-03-11,4.8373919939468494e-05,0.6824342695469575,8.18853791262602e-05,0.9451924138461792,4.29506410646447e-05,5.251144097334575e-05,0.887888372875093
2013-03-12,5.1431479865635213e-05,0.6703542052666251,8.376679734109741e-05,0.951366424074614,4.4000215563914306e-05,5.291701119558917e-05,0.8555113653907084
2013-03-13,5.5261000285198275e-05,0.6677071899317486,8.601738940406004e-05,0.9608439442369746,4.603504293991191e-05,5.424338550486726e-05,0.8330475869479049
2013-03-14,6.195858588029715e-05,0.6881180869808274,8.753155913346061e-05,0.9657087188505734,5.0675267975304787e-05,5.568354822161765e-05,0.8178893571458922
2013-03-15,6.386120353979619e-05,0.7085143927529646,8.754135036799285e-05,0.971150299357882,5.297535152715198e-05,5.489664202862954e-05,0.8295388841855994
2013-03-18,6.402550064969363e-05,0.7270645997254759,7.944297762316896e-05,0.9675217891591328,5.1853401188956696e-05,5.357096166558288e-05,0.8098866961254261
2013-03-19,6.71640875084588e-05,0.7387007754694295,8.128772180503687e-05,0.9583540094551364,5.458201825669025e-05,5.451574882157596e-05,0.8126667134399178
2013-03-20,6.839791392936718e-05,0.7392958771149981,8.452748816394227e-05,0.9492680435808576,5.6213249899073696e-05,5.375587350229741e-05,0.8218562039351627
2013-03-21,6.814178529168062e-05,0.734765571989419,8.689459502596902e-05,0.9527236840365474,5.653949622450521e-05,5.189050262409563e-05,0.8297331216446433
2013-03-22,6.79733209422515e-05,0.7371441986198273,8.897316135905545e-05,0.958296822106484,5.732594296527545e-05,5.170946235288818e-05,0.8433594558956181
2013-03-25,7.243408887933498e-05,0.7399103006020639,8.932123601723445e-05,1.0021056470072511,5.951520533019815e-05,5.479516658329967e-05,0.821646358102773
2013-03-26,7.339742545776695e-05,0.7424365280583342,9.199917788761231e-05,0.9814520234297948,6.100869251064892e-05,5.281516609508985e-05,0.8312102519965563
2013-03-27,7.311742529462491e-05,0.7521784056456388,9.168940244225696e-05,0.951610636602655,6.158725920506441e-05,5.648120062629391e-05,0.8423061801875549
2013-03-28,6.422356192814954e-05,0.7535341801440961,9.18761978400449e-05,0.9621051178408816,5.788308343691612e-05,5.745372037392489e-05,0.9012748857136441
2013-04-01,6.678777769649997e-05,0.7539983481549734,9.012233035663455e-05,0.9694546304779448,5.849720250356405e-05,5.809735393337308e-05,0.8758668804551287
2013-04-02,6.451960799026473e-05,0.750846306990212,0.00010215314474630035,0.940054993036744,6.095688692680978e-05,6.07347790161563e-05,0.9447808011481948
2013-04-03,6.836168011312682e-05,0.7522006353103537,0.00010343997053958899,0.9205876691319586,6.325345522462518e-05,5.832814321939357e-05,0.9252764870604642
2013-04-04,6.901245142532413e-05,0.754099995054401,0.00010360810179260791,0.9072536626374818,6.376605122360817e-05,6.003427694812393e-05,0.923978932882961
2013-04-05,6.697476452894188e-05,0.7596783143394958,0.00010324852716621552,0.8967594912473387,6.317238297462186e-05,5.868724337321067e-05,0.9432266528883892
2013-04-08,7.273438811092278e-05,0.7663568488242746,0.00010313742001582523,0.8552708949344531,6.637569316210486e-05,5.7945172976128506e-05,0.9125764976654418
2013-04-09,7.022991067372413e-05,0.7705087374426711,9.905792972196066e-05,0.876369720710211,6.426629296698285e-05,6.089704392859914e-05,0.9150843614988036
2013-04-10,6.636144982931065e-05,0.7591506772039734,9.688685687750402e-05,0.8573011198160727,6.087210919947496e-05,6.10402095960127e-05,0.9172811829163632
2013-04-11,6.716170407401359e-05,0.7489022813045187,9.568940272108559e-05,0.8580707322612163,6.003685430510741e-05,6.191139134312582e-05,0.8939149941601475
2013-04-12,6.98842565011876e-05,0.7435486954033969,9.572059462084011e-05,0.8682960796705491,6.081374999566404e-05,6.344125396032303e-05,0.870206725239047
2013-04-15,9.593981606210937e-05,0.7323875443288991,0.00011045795008645136,0.7839469405446783,7.539436365355211e-05,4.731612471610281e-05,0.7858506170654259
2013-04-16,8.836558039441448e-05,0.7372833408097604,0.00011275559212686742,0.8437473671656724,7.359444476484468e-05,5.175938659660982e-05,0.8328406200282993
2013-04-17,8.959564094882932e-05,0.739156331231198,0.00011133134813002038,0.8954810877098297,7.382245360427368e-05,6.364017463254346e-05,0.8239513978859287
2013-04-18,9.719405369416862e-05,0.7416764888394561,0.00011147177127332245,0.8628719936162822,7.71999130126571e-05,6.0527593711242514e-05,0.794286379448426
2013-04-19,7.72897485213767e-05,0.7469777760276207,0.00010776877005185663,0.8443477288629833,6.817342153728752e-05,6.127264329206486e-05,0.8820499851727711
2013-04-22,7.797978274745508e-05,0.7539755937514173,0.0001000210802237216,0.84193526938593,6.658770835309743e-05,6.24299299873857e-05,0.8539098982712999
2013-04-23,8.499754389235151e-05,0.7533383099960815,9.858509710687407e-05,0.8508053894224636,6.896025773054077e-05,6.292413248154984e-05,0.8113205931912363
2013-04-24,7.773768893068322e-05,0.7409374754084671,9.547554866619324e-05,0.8517244535418591,6.38327353729185e-05,6.356902275494081e-05,0.8211298309863132
2013-04-25,6.90805921567358e-05,0.745780442147492,9.680427393209626e-05,0.8541389783633938,6.098686113962239e-05,6.387121869106822e-05,0.8828363978300926
2013-04-26,7.034557142953508e-05,0.7518087768765811,9.771660813405949e-05,0.8693644024745754,6.233184244788621e-05,6.551739165891091e-05,0.8860805475199502
2013-04-29,6.776168711759701e-05,0.751203485763632,0.0001014848416936557,0.8486600019705863,6.22945838612736e-05,6.321653037077243e-05,0.919318666803034
2013-04-30,5.8041023931509805e-05,0.7283613757562617,9.706990632663533e-05,0.8512759736583789,5.4670965732980655e-05,6.33235472290906e-05,0.9419366170640628
2013-05-01,6.311211636341748e-05,0.7455935532325473,9.682609300522631e-05,0.8347319618479958,5.8284720771182904e-05,6.248111738566544e-05,0.9235107952261169
2013-05-02,6.214021471172626e-05,0.7869953939792288,9.79705392071566e-05,0.8467010496253878,6.140536461900636e-05,6.243355575133986e-05,0.9881743232441514
2013-05-03,7.476459886581012e-05,0.7533645305145827,9.447351500857753e-05,0.883447939235996,6.33152330819467e-05,6.420842013700893e-05,0.8468611353828955
2013-05-06,7.535412832838797e-05,0.7279943667716603,9.887102204438309e-05,0.8920846370712042,6.283708872393255e-05,6.475018580858982e-05,0.8338904598576597
2013-05-07,7.392273390092128e-05,0.7211068719937127,9.865360269036396e-05,0.8756185335948996,6.15807706019859e-05,6.649441423549559e-05,0.8330423856417793
2013-05-08,6.958015556766957e-05,0.7102706277510439,9.847608308947678e-05,0.878269986295968,5.8793854888863467e-05,6.638734561373398e-05,0.8449802161146941
2013-05-09,7.111722928104653e-05,0.7020882796297594,9.840475247095381e-05,0.8765772137134632,5.873367475017843e-05,6.622765826142161e-05,0.8258712458843156
