Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_TXN,Predicted_Covariance,Future_Cov_45_TXN,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.7727814309176547,0.00017655857788098265,1.3280250932243312,7.613756334900765e-05,7.273424009783425e-05,1.3848514945652146
2013-03-01,5.488021190183326e-05,0.7703139127615164,0.0001788779067899686,1.328050929195724,7.6322745350533e-05,7.26664717765259e-05,1.3907152087359824
2013-03-04,5.501029900576039e-05,0.7682073690916719,0.00018241638953885492,1.3273950108331811,7.695421272106867e-05,7.257168825925592e-05,1.3989055524495593
2013-03-05,5.845535101370509e-05,0.7668327750314433,0.00018601666459712614,1.317760130541963,7.996293558957027e-05,7.062505639000243e-05,1.3679318352022665
2013-03-06,5.9250468430820016e-05,0.765199053206883,0.000187185332399651,1.314317459813467,8.058537395495812e-05,7.092613575398088e-05,1.3600799468623346
2013-03-07,5.369174155549812e-05,0.7665223466100084,0.00018493296431104742,1.3117575735594282,7.638106886466262e-05,7.090303109318675e-05,1.4225850503603394
2013-03-08,4.524810700565277e-05,0.7641921561202768,0.00016569832070803965,1.3172307931175773,6.617010694920669e-05,7.091284585023716e-05,1.462383983067848
2013-03-11,4.8373919939468494e-05,0.7648142646000828,0.00017006968274230932,1.2646472594339402,6.937053931948434e-05,7.025918632338522e-05,1.434048334439083
2013-03-12,5.1431479865635213e-05,0.7667982067571604,0.0001768143773721408,1.278534955554966,7.312306501641937e-05,7.111481637883424e-05,1.4217569707784696
2013-03-13,5.5261000285198275e-05,0.7691318479939789,0.0001880482827293964,1.2757940915450543,7.840519723957114e-05,7.202354882661638e-05,1.4188161060228233
2013-03-14,6.195858588029715e-05,0.7625799310158539,0.0001850325633534265,1.2588387804968757,8.165075462088361e-05,7.258566539657227e-05,1.31782792426269
2013-03-15,6.386120353979619e-05,0.7583015535960734,0.00018264438187162095,1.2596011738955697,8.189618177723345e-05,7.120203205199735e-05,1.2824089938455114
2013-03-18,6.402550064969363e-05,0.7580059106136623,0.00018079553892125184,1.2441750536023064,8.15535628183158e-05,6.888904709808168e-05,1.2737668896105077
2013-03-19,6.71640875084588e-05,0.7571930463719952,0.00017932869822719443,1.273890920608136,8.309981832937079e-05,7.246499390495891e-05,1.2372656491299017
2013-03-20,6.839791392936718e-05,0.7561751558549358,0.00017945217294191567,1.258122091365767,8.37757247083555e-05,7.124589566797457e-05,1.224828651863105
2013-03-21,6.814178529168062e-05,0.7563081821472644,0.00018369942529633212,1.2125454935818205,8.461735610327448e-05,6.604180852307766e-05,1.241783668289145
2013-03-22,6.79733209422515e-05,0.7528176030080125,0.00018538651238701826,1.2222640088997292,8.450804930132344e-05,6.595306724962489e-05,1.2432532077271823
2013-03-25,7.243408887933498e-05,0.7492386944319336,0.0001823513153216759,1.2186224618373178,8.6108524874307e-05,6.663431245791935e-05,1.1887845378679605
2013-03-26,7.339742545776695e-05,0.7474205306593001,0.0001855136484633961,1.200923503693854,8.721543872675551e-05,6.462564934497303e-05,1.1882629149838435
2013-03-27,7.311742529462491e-05,0.7445414403118638,0.0001861912324087792,1.185218893578649,8.687182262841853e-05,7.034661398203943e-05,1.188113808416675
2013-03-28,6.422356192814954e-05,0.7403275262904787,0.00017782720557497371,1.1745298860496085,7.911706966122436e-05,7.01390216022866e-05,1.231900992189393
2013-04-01,6.678777769649997e-05,0.7371922900136176,0.00017931546214172667,1.1078360243617118,8.067484707765984e-05,6.639025652572564e-05,1.2079283045509632
2013-04-02,6.451960799026473e-05,0.7351725235758536,0.0001768678740343787,1.154877264299205,7.853434123485151e-05,7.461394913866889e-05,1.217216652133123
2013-04-03,6.836168011312682e-05,0.7319583166895299,0.00017630425404416476,1.0849333466238051,8.035707302305516e-05,6.874103330651751e-05,1.1754695450737611
2013-04-04,6.901245142532413e-05,0.728625105075405,0.00017351369396687027,1.0820026489930812,7.973238148899247e-05,7.159766817520119e-05,1.1553332745362332
2013-04-05,6.697476452894188e-05,0.7207154201480586,0.00017090092107897119,1.0695782139192498,7.710661067339964e-05,6.999713698000883e-05,1.1512785631382023
2013-04-08,7.273438811092278e-05,0.7171291833961649,0.00017276500189355122,1.1370000783477483,8.038873151313245e-05,7.703251286106398e-05,1.1052369257652446
2013-04-09,7.022991067372413e-05,0.7130073524150666,0.00016656193907544552,1.1462170138890315,7.711572578103111e-05,7.964815099949037e-05,1.098046758727877
2013-04-10,6.636144982931065e-05,0.7162468402206307,0.00016444722651454033,1.1475808344182798,7.48227952305931e-05,8.17082505109609e-05,1.127503926195796
2013-04-11,6.716170407401359e-05,0.7224151929291862,0.00016331201328622516,1.133490265635124,7.565833693631899e-05,8.178342038823517e-05,1.1265100845705454
2013-04-12,6.98842565011876e-05,0.7230052773509885,0.00016598442693539021,1.1424401208893782,7.786903873611742e-05,8.347133603471404e-05,1.1142572395371213
2013-04-15,9.593981606210937e-05,0.7282948054249807,0.00017190474242424937,1.2530646820971132,9.352992413521339e-05,7.563032867282655e-05,0.974881211724068
2013-04-16,8.836558039441448e-05,0.7305958010254692,0.0001690222754333169,1.2336138887062555,8.928750984278851e-05,7.567561175448023e-05,1.0104331284223909
2013-04-17,8.959564094882932e-05,0.735375778130374,0.0001885018545964794,1.1045868804973042,9.556757696566299e-05,7.850093423128056e-05,1.0666543143571507
2013-04-18,9.719405369416862e-05,0.7381202731523442,0.00018787517695106147,1.0911087585504908,9.974282923919498e-05,7.653764187610342e-05,1.0262235748808908
2013-04-19,7.72897485213767e-05,0.7386478215359048,0.00018266678685904567,1.1226926473288608,8.776637541658597e-05,8.147158303965585e-05,1.1355500191893064
2013-04-22,7.797978274745508e-05,0.7411367000098085,0.0001789586422830802,1.1465499369519032,8.755191868013578e-05,8.501726307671547e-05,1.122751508088718
2013-04-23,8.499754389235151e-05,0.7487058909988407,0.0001811138268679513,1.0675353469512934,9.289455145549339e-05,7.895311481971086e-05,1.0929086559623813
2013-04-24,7.773768893068322e-05,0.7537657003091751,0.00017699376638239327,1.0529040483625849,8.84160623318565e-05,7.858419601644222e-05,1.1373641736467741
2013-04-25,6.90805921567358e-05,0.7560697166736865,0.00016631341232554514,1.0459039210443968,8.104076021034255e-05,7.8211110560571e-05,1.1731335485149073
2013-04-26,7.034557142953508e-05,0.7519656739973635,0.00016333927935154678,1.0418739811652336,8.060495033290675e-05,7.851812828881937e-05,1.1458425696868273
2013-04-29,6.776168711759701e-05,0.7300303373171317,0.00014069574537077097,1.0396343065727287,7.128095271056858e-05,7.744217185132504e-05,1.051935920468805
2013-04-30,5.8041023931509805e-05,0.7274145438520433,0.0001430258749005763,1.0369987090031805,6.627608088527465e-05,7.71388348291635e-05,1.1418833851636123
2013-05-01,6.311211636341748e-05,0.728915888944369,0.00014825779393210986,1.094473848536142,7.050867537171204e-05,8.192324258739782e-05,1.1171971316205447
2013-05-02,6.214021471172626e-05,0.7280751373303977,0.00015106288218869282,1.075992011128823,7.054097512038803e-05,7.934088099280134e-05,1.1351903988042784
2013-05-03,7.476459886581012e-05,0.7299952764053281,0.00015573417269599957,1.0979319446685234,7.87698491485803e-05,7.979697778918948e-05,1.0535714809352341
2013-05-06,7.535412832838797e-05,0.7312938234986096,0.0001582119561800769,1.0982757802059748,7.984819087752204e-05,7.971615907531302e-05,1.0596392347549861
2013-05-07,7.392273390092128e-05,0.7320417023001248,0.00016037631986565406,1.1109660570006317,7.970672297234634e-05,8.43666897872588e-05,1.0782437115918542
2013-05-08,6.958015556766957e-05,0.729645165421351,0.00016315254888863654,1.1142425382889942,7.774121761314006e-05,8.422421993365047e-05,1.1172900804674621
2013-05-09,7.111722928104653e-05,0.7276727046465844,0.00016615589301567416,1.1195276456717826,7.910089058941284e-05,8.458318693645744e-05,1.1122605786119122
2013-05-10,7.562958883543677e-05,0.7293274807335881,0.00017004537117759478,1.1146629374452262,8.270863526243223e-05,8.452968301991168e-05,1.0936015458499826
2013-05-13,7.357910230951406e-05,0.7293223048064723,0.00017166928258008468,1.1152122250757643,8.196775385109267e-05,8.466767390083724e-05,1.1140086149229076
2013-05-14,7.590263764609063e-05,0.7274925912278959,0.00017278873175231366,1.1308760191881784,8.331337296366472e-05,8.404037301055163e-05,1.0976347535131512
2013-05-15,7.650099964197039e-05,0.7231610172885183,0.00017410354421694874,1.1230572960112324,8.345884461616322e-05,8.289235183710088e-05,1.0909510334081385
2013-05-16,7.639729836462006e-05,0.7179255368529186,0.0001737359137101067,1.123583875948634,8.27109870068639e-05,8.230783521798442e-05,1.0826428260867367
2013-05-17,7.425705624970095e-05,0.7215828233850059,0.00017323810482551194,1.1092370696666498,8.184209972148939e-05,7.928258237702019e-05,1.1021457603474416
2013-05-20,7.217439206379002e-05,0.7237117014785841,0.0001725372575203334,1.1049920877368402,8.076042713100489e-05,7.936327017161936e-05,1.118962346916982
2013-05-21,7.13709588975209e-05,0.7238403079836078,0.00017010112956427365,1.109377056569838,7.975485473350142e-05,7.976394247414341e-05,1.1174692895470084
2013-05-22,7.35750525384875e-05,0.7228606812554168,0.0001746950264755277,1.0845829499663184,8.195211450569596e-05,7.650552328250286e-05,1.1138573698309813
2013-05-23,7.454058968752127e-05,0.7210666350049113,0.00017419441125635137,1.098739826080116,8.216539003471908e-05,7.753523122878515e-05,1.1022905826095748
2013-05-24,7.630250921850573e-05,0.7048685808847326,0.0001755371401842897,1.0981988138700105,8.157593718915772e-05,7.746059830172923e-05,1.0691121173427023
2013-05-28,7.438631671877e-05,0.6963467633692954,0.00018069100346147391,1.102897709422964,8.073100401580361e-05,7.700760094777783e-05,1.0852937418721882
2013-05-29,7.273626036607267e-05,0.6892448596391388,0.00018345503149694357,1.1164750977482714,7.961847113559754e-05,7.975450678134304e-05,1.0946187050982212
2013-05-30,7.309916508279677e-05,0.6847795367171414,0.00018597614718648942,1.1116092857112851,7.984277178161806e-05,7.920671290789115e-05,1.0922528552984574
2013-05-31,7.696255068093324e-05,0.6791166406924004,0.00019080474891711863,1.1095862173892712,8.229599271897758e-05,7.328540569769248e-05,1.0692991850043458
2013-06-03,7.835861755638394e-05,0.6657217671628073,0.00019295488817170397,1.1122550835479,8.185854718678792e-05,7.398863437096046e-05,1.0446655357068488
2013-06-04,7.696792659140356e-05,0.6596767338855579,0.0001978476559349225,1.151681814164946,8.140508151985776e-05,7.621902385021309e-05,1.0576494018347349
