Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_TFCF.A,Predicted_Covariance,Future_Cov_45_TFCF.A,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.7235810418790026,0.00019148690346692217,1.3016245422645694,7.424284446758235e-05,7.12883156028684e-05,1.3503888172833711
2013-03-01,5.488021190183326e-05,0.7240639547279808,0.00019193353195443065,1.2949562005837043,7.431222168425377e-05,7.08556397445846e-05,1.3540804437340628
2013-03-04,5.501029900576039e-05,0.7248954892628288,0.00019130238400255948,1.2852435502640536,7.436311800287737e-05,7.026717254906439e-05,1.3518035594587563
2013-03-05,5.845535101370509e-05,0.730728181537914,0.000192217327192339,1.2242598772803206,7.745763992071918e-05,6.561393144697731e-05,1.325073557467116
2013-03-06,5.9250468430820016e-05,0.7344256494279776,0.00019216927585271736,1.1450756898803764,7.836744844541221e-05,6.179313317542446e-05,1.322646900874934
2013-03-07,5.369174155549812e-05,0.6943051769208167,0.00018296286273198497,1.140576223016356,6.881539743446142e-05,6.165034838353436e-05,1.2816756439783359
2013-03-08,4.524810700565277e-05,0.657680231081472,0.0001737509339760444,1.1211795162649425,5.831477027224697e-05,6.035846612662873e-05,1.2887781198219366
2013-03-11,4.8373919939468494e-05,0.6477974571364021,0.00017354911850968907,1.0960977055220686,5.935483277070179e-05,6.0895188240379866e-05,1.2270006822885966
2013-03-12,5.1431479865635213e-05,0.6541421639168903,0.00017777987279638213,1.0729533788297116,6.255009147815254e-05,5.9679934589981274e-05,1.2161830000140907
2013-03-13,5.5261000285198275e-05,0.6604965055039861,0.00017945152876397782,1.0999782578395834,6.577388223572708e-05,6.209805977842476e-05,1.19024052941989
2013-03-14,6.195858588029715e-05,0.6546993139488513,0.0001837023190372697,1.0996446320557165,6.984735322825495e-05,6.340640164106498e-05,1.1273232310885655
2013-03-15,6.386120353979619e-05,0.6646986134186614,0.00018748084202355853,1.0930137071862454,7.273137030803611e-05,6.178526872252662e-05,1.1388975822028211
2013-03-18,6.402550064969363e-05,0.6653495784965217,0.00018676144746271182,1.09040619721254,7.275619750955666e-05,6.0374979918079814e-05,1.1363628049959624
2013-03-19,6.71640875084588e-05,0.671798461547039,0.00019836607282542815,1.037053537139614,7.754276127712045e-05,5.899255346922718e-05,1.154527131294005
2013-03-20,6.839791392936718e-05,0.6777490706500461,0.00020504480150356714,1.0381651564262029,8.026288025775007e-05,5.879000689080548e-05,1.1734697105036793
2013-03-21,6.814178529168062e-05,0.6452544494490938,0.00021002964912572803,1.0395892218655356,7.719302590575223e-05,5.662167126636269e-05,1.1328295197334177
2013-03-22,6.79733209422515e-05,0.6250914351484819,0.00021274844332838365,1.0205376448081742,7.517024888197594e-05,5.5067961936797334e-05,1.1058787159426677
2013-03-25,7.243408887933498e-05,0.6092171446865641,0.00021645228676113614,1.048454162100103,7.628246296309433e-05,5.732950476708927e-05,1.0531293227166867
2013-03-26,7.339742545776695e-05,0.6023302691416942,0.00021968268812196383,1.0477746797661418,7.648442724729154e-05,5.6384206686631895e-05,1.0420587203198408
2013-03-27,7.311742529462491e-05,0.6025089777964574,0.0002267313414768887,1.0139241198434843,7.757642223464001e-05,6.0179709463073895e-05,1.0609840530085364
2013-03-28,6.422356192814954e-05,0.5840772735788021,0.00022338976624094775,1.0189064750712598,6.995989343276749e-05,6.084570866570069e-05,1.0893181775099223
2013-04-01,6.678777769649997e-05,0.5735612539480145,0.0002191301199803392,1.005834452032242,6.938719642774129e-05,6.0277519257696966e-05,1.0389205753042678
2013-04-02,6.451960799026473e-05,0.5695037538242239,0.00022019976108710919,1.0610544623477611,6.788141282390114e-05,6.855227489045338e-05,1.0521051652102982
2013-04-03,6.836168011312682e-05,0.570329955203083,0.0002225085672329246,1.0677670893324387,7.034057513223781e-05,6.765338468009648e-05,1.0289474310145137
2013-04-04,6.901245142532413e-05,0.5674148167855534,0.00022636508796102466,1.0733870256494942,7.092006466901318e-05,7.102756001340474e-05,1.027641580675528
2013-04-05,6.697476452894188e-05,0.5706985091124865,0.00022565244313597086,1.1018741372092071,7.015883286849703e-05,7.211070112801043e-05,1.0475413144331283
2013-04-08,7.273438811092278e-05,0.5783956879182747,0.0002261888919503975,1.0549107834066014,7.418747293755868e-05,7.147090843488095e-05,1.0199779617918816
2013-04-09,7.022991067372413e-05,0.5754937652698541,0.00022210905138015237,1.1047720006883617,7.187615054054746e-05,7.676822631718049e-05,1.0234407227779554
2013-04-10,6.636144982931065e-05,0.5705811674141399,0.00021818706488956177,1.182389175901643,6.865779729771677e-05,8.418661944192669e-05,1.0346036362121773
2013-04-11,6.716170407401359e-05,0.5712305939167189,0.00021403354297419588,1.1845185866278156,6.848780271164573e-05,8.54652081847215e-05,1.0197448628785648
2013-04-12,6.98842565011876e-05,0.5982750046548163,0.00021340284312469974,1.1685627207846672,7.306184480823058e-05,8.537995975519658e-05,1.0454693011864409
2013-04-15,9.593981606210937e-05,0.6455226628386882,0.00022230834399122515,1.0925562102064073,9.42733231910397e-05,6.594263365013173e-05,0.9826298096090696
2013-04-16,8.836558039441448e-05,0.6656976858700299,0.00022048974588822714,0.8147847153684735,9.292077275507375e-05,4.998268287038688e-05,1.051549396725823
2013-04-17,8.959564094882932e-05,0.6724404761278878,0.0002206559392196725,0.901993332928882,9.454859902652866e-05,6.410298778256834e-05,1.0552812394135125
2013-04-18,9.719405369416862e-05,0.6785492835261943,0.0002230241438303523,0.8672691966373048,9.990269051843556e-05,6.0836042843780856e-05,1.027868338867622
2013-04-19,7.72897485213767e-05,0.6455037064628073,0.00022450430285025626,0.8133619759277947,8.502996924326761e-05,5.9024068538047e-05,1.1001455027344296
2013-04-22,7.797978274745508e-05,0.6468877860199744,0.0002230617132363902,0.8079530953860544,8.531639149652119e-05,5.9910134439233306e-05,1.0940834725434723
2013-04-23,8.499754389235151e-05,0.6520979974310153,0.00021878238612284701,0.873311247798133,8.892466382248524e-05,6.458862783107174e-05,1.0462027459888414
2013-04-24,7.773768893068322e-05,0.6599274676607787,0.00021884300988356096,0.8931919554704612,8.607526279969678e-05,6.666397742335286e-05,1.107252659343243
2013-04-25,6.90805921567358e-05,0.6597617473049189,0.00021287741052459749,0.8957228608912288,8.000736123411004e-05,6.698079842251712e-05,1.1581742242825983
2013-04-26,7.034557142953508e-05,0.6296145272142252,0.0002079609453992909,0.7179902664086224,7.615247320465505e-05,5.410947280298305e-05,1.0825482209770194
