Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_MDT,Predicted_Covariance,Future_Cov_45_MDT,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.6959028971683083,0.0001000542215140921,0.9443954067726495,5.1613610256647037e-05,5.172333159512851e-05,0.938790028992381
2013-03-01,5.488021190183326e-05,0.6940986186704223,9.94091390272845e-05,0.9407153143680383,5.126751015556996e-05,5.1472772119265684e-05,0.9341711407250849
2013-03-04,5.501029900576039e-05,0.6890687665655003,9.793596573526768e-05,0.9533303017353176,5.057730367441406e-05,5.212072435183529e-05,0.9194151747678716
2013-03-05,5.845535101370509e-05,0.6918990650473907,9.998058311371725e-05,0.9582845582274429,5.289476753138764e-05,5.1359044331267485e-05,0.9048746883580642
2013-03-06,5.9250468430820016e-05,0.6836492531801964,9.776645128626195e-05,0.951736942859832,5.203243658127611e-05,5.1359755671917565e-05,0.8781776407730586
2013-03-07,5.369174155549812e-05,0.6996230932611901,9.858908254312525e-05,0.9562075984367994,5.090170086480818e-05,5.168486803513321e-05,0.9480359435201775
2013-03-08,4.524810700565277e-05,0.7008508618776987,9.587369314918023e-05,0.9657097752797056,4.61610360574139e-05,5.198878494815449e-05,1.0201760717116206
2013-03-11,4.8373919939468494e-05,0.7071609768577553,9.735987900439632e-05,0.9597639408007812,4.853040778522283e-05,5.332098183122717e-05,1.0032349630947865
2013-03-12,5.1431479865635213e-05,0.7089633660759934,0.00010023034195194093,0.949316565200426,5.090235916935639e-05,5.280299371268254e-05,0.9897121238264744
2013-03-13,5.5261000285198275e-05,0.7190978433264236,0.00010300138964369197,0.9579477710027408,5.425239301307083e-05,5.4079885238069766e-05,0.9817482986749771
2013-03-14,6.195858588029715e-05,0.729918190567492,0.00010249553284579133,0.9452639886560582,5.816709896869838e-05,5.450468849151255e-05,0.9388061096338794
2013-03-15,6.386120353979619e-05,0.7470143015340781,0.00010376983003075018,0.9254439299801768,6.0811122306832676e-05,5.2312977893618413e-05,0.9522389014941943
2013-03-18,6.402550064969363e-05,0.7522776018136504,0.0001024044879074183,0.913656673551536,6.091357909187703e-05,5.0588490288029e-05,0.9513955919713454
2013-03-19,6.71640875084588e-05,0.7573507529127305,0.0001019146601387831,0.953292909984044,6.265907093443733e-05,5.4227849334742295e-05,0.9329252173126883
2013-03-20,6.839791392936718e-05,0.7625388161414989,0.00010419606493907541,0.9507386161443636,6.437378465751793e-05,5.3839150205052034e-05,0.9411659063753777
2013-03-21,6.814178529168062e-05,0.7150237435801742,0.00010857690377587913,1.0081135803750074,6.150294951879288e-05,5.4907337000587214e-05,0.9025732046134359
2013-03-22,6.79733209422515e-05,0.6952647202885333,0.00011094408981835928,1.0334052543704562,6.037699897001255e-05,5.576229500446788e-05,0.8882455371175317
2013-03-25,7.243408887933498e-05,0.6739915357059975,0.00010379442861041257,1.0225643643382702,5.844037103123533e-05,5.5913849855449345e-05,0.8068075672020777
2013-03-26,7.339742545776695e-05,0.671330304646401,0.00010972633271836478,0.992575487338857,6.0246538272400636e-05,5.341375632658861e-05,0.8208263150465221
2013-03-27,7.311742529462491e-05,0.6640257862645395,0.00010968441336632036,1.0262887233015805,5.9465879734092175e-05,6.091358907908387e-05,0.8132928572700124
2013-03-28,6.422356192814954e-05,0.6601897974020721,0.00011442980737332697,1.0455197232933036,5.65959802177702e-05,6.243496340849036e-05,0.8812339041719184
2013-04-01,6.678777769649997e-05,0.6594187213788365,0.00011695772705717552,1.0635958722763412,5.828062885672647e-05,6.373903831193158e-05,0.8726241666786388
2013-04-02,6.451960799026473e-05,0.6644778951135225,0.00012072771901545526,1.0300093221356563,5.8644852148854914e-05,6.654652018006437e-05,0.9089461944298197
2013-04-03,6.836168011312682e-05,0.6614165133662104,0.00012228800822685517,1.041457411109159,6.047464577622081e-05,6.598641179862069e-05,0.8846278452511067
2013-04-04,6.901245142532413e-05,0.6599638400824179,0.0001231327809568301,1.0345854720699863,6.083740935488367e-05,6.846000552501819e-05,0.8815425057130976
2013-04-05,6.697476452894188e-05,0.6734832024209101,0.00013213595747252623,1.0064823717292763,6.335674748652806e-05,6.58679127202352e-05,0.9459793988398367
2013-04-08,7.273438811092278e-05,0.6763052543710447,0.000135130392674653,0.9800508979024836,6.704851689789722e-05,6.639910131481988e-05,0.9218269190035066
2013-04-09,7.022991067372413e-05,0.6821085526790145,0.00013716465571521076,0.9841968445292106,6.69477000853091e-05,6.838971847077598e-05,0.9532647762623021
2013-04-10,6.636144982931065e-05,0.675434279410907,0.00013559319051999462,1.0238273137226623,6.407077404708254e-05,7.28969464464967e-05,0.9654818303680827
