Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_F,Predicted_Covariance,Future_Cov_45_F,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.804922375466445,0.0002576711495042292,1.6352705809371308,9.580425158664651e-05,8.956168348448124e-05,1.7425651039986754
2013-03-01,5.488021190183326e-05,0.799145541478559,0.00023510276171719553,1.64659139967338,9.077424302750545e-05,9.009593295062712e-05,1.6540432312812035
2013-03-04,5.501029900576039e-05,0.7969187154706973,0.00023176997326544778,1.640925750462699,8.99838590447236e-05,8.971312310750463e-05,1.635763860060113
2013-03-05,5.845535101370509e-05,0.7858499551915016,0.00024044376621342418,1.6498869141851835,9.31662317363036e-05,8.842531630057171e-05,1.5938015959302068
2013-03-06,5.9250468430820016e-05,0.7614285962609422,0.00024815702607693406,1.643521085155822,9.232904962236179e-05,8.869135742656553e-05,1.558283876357262
2013-03-07,5.369174155549812e-05,0.7477944469476946,0.000250933479556257,1.6352274444424395,8.679911271317296e-05,8.838720254012086e-05,1.6166194315647897
2013-03-08,4.524810700565277e-05,0.7238551803618672,0.00024849148344855256,1.6304671624301217,7.675517189093796e-05,8.7775860659644e-05,1.6963178565978254
2013-03-11,4.8373919939468494e-05,0.7153428341950141,0.00025298169581725895,1.6150438441358128,7.913423740408206e-05,8.9725941774756e-05,1.635886392980034
2013-03-12,5.1431479865635213e-05,0.7051193055166373,0.000252389710085434,1.6581835143483763,8.033650576086002e-05,9.223167159642457e-05,1.5620103868436064
2013-03-13,5.5261000285198275e-05,0.7055910562245984,0.00025078385025037605,1.643639419698236,8.306388142330126e-05,9.278985126402494e-05,1.5031193969456615
2013-03-14,6.195858588029715e-05,0.7253581605133954,0.0002501884510570452,1.6984809151017148,9.031021559534223e-05,9.793578756556511e-05,1.4575900064894947
2013-03-15,6.386120353979619e-05,0.7290645682085072,0.0002486869998243531,1.7322675715421287,9.187790493004606e-05,9.792065433705622e-05,1.4387123924589174
2013-03-18,6.402550064969363e-05,0.7343632482394838,0.0002411787150537002,1.719880063103672,9.125505143366762e-05,9.522847956737156e-05,1.4252922742917167
2013-03-19,6.71640875084588e-05,0.7257939649962709,0.00024019053758145292,1.6629131401844264,9.218491491797421e-05,9.459443396489109e-05,1.372532827254807
2013-03-20,6.839791392936718e-05,0.7309602091248967,0.00024468126867144453,1.6661221221771123,9.456175551002432e-05,9.435043204580753e-05,1.3825239700683838
2013-03-21,6.814178529168062e-05,0.7410449221305281,0.00024015496099374104,1.6945678596509908,9.479754071974791e-05,9.229536269674057e-05,1.3911807610259614
2013-03-22,6.79733209422515e-05,0.7384454143184911,0.00024215360536878797,1.7743635955064003,9.473994144296341e-05,9.574422603269203e-05,1.3937812678514294
2013-03-25,7.243408887933498e-05,0.7274040286786287,0.00024472596507709105,1.684557434990221,9.684723538088654e-05,9.21116506479056e-05,1.337039464142642
2013-03-26,7.339742545776695e-05,0.7176351916577507,0.00024541672817405516,1.7310253998147511,9.631550850867054e-05,9.315217842900022e-05,1.3122464161102043
2013-03-27,7.311742529462491e-05,0.7170492403151365,0.0002460189102411639,1.671421771593271,9.617089776883393e-05,9.920434343771805e-05,1.315293821976302
