Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_WBA,Predicted_Covariance,Future_Cov_45_WBA,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.3415973773100961,0.0002086800747253856,0.5166408906536862,3.6589199183612154e-05,2.829576246479581e-05,0.6655139059559888
2013-03-01,5.488021190183326e-05,0.3416952061922066,0.00021005227154789811,0.5090058223906947,3.668685362331196e-05,2.7851083428886725e-05,0.6684896495832672
2013-03-04,5.501029900576039e-05,0.34388656343931395,0.00021131575500369867,0.5346937239227783,3.707687722019775e-05,2.9232915545123256e-05,0.6739988309519142
2013-03-05,5.845535101370509e-05,0.32398430329433103,0.00022555096839853186,0.6328269588325749,3.720132890273996e-05,3.391621784329051e-05,0.6364058765812212
2013-03-06,5.9250468430820016e-05,0.3251693480739255,0.00023341790886317315,0.682699401248984,3.824041364713731e-05,3.6841350657411794e-05,0.6454027227107286
2013-03-07,5.369174155549812e-05,0.3158069482827798,0.00023359181967724007,0.6942590496198082,3.536749016434963e-05,3.752604290162246e-05,0.6587137824127433
2013-03-08,4.524810700565277e-05,0.30127687111579693,0.00022820395306562044,0.6855891376074769,3.0614528938428845e-05,3.690854866571295e-05,0.6765924800921335
2013-03-11,4.8373919939468494e-05,0.3007421275385244,0.0002339344438434223,0.6759848759665043,3.1992412725613534e-05,3.755525265881599e-05,0.6613566311278153
2013-03-12,5.1431479865635213e-05,0.3124855709974177,0.00023325013734695193,0.6678414992440184,3.422594381183223e-05,3.7146755653847824e-05,0.6654668289002676
2013-03-13,5.5261000285198275e-05,0.3161091147865359,0.0002545443144741664,0.7112298361602039,3.7491091981361564e-05,4.0151696242450916e-05,0.6784367236907146
2013-03-14,6.195858588029715e-05,0.3224988093907002,0.0002530227592405582,0.7260777109154016,4.0379288095494103e-05,4.18662298881609e-05,0.6517141655477119
2013-03-15,6.386120353979619e-05,0.3183486177870571,0.00025131701427407875,0.7216031062446698,4.033039391510881e-05,4.079037759289466e-05,0.6315320050298809
2013-03-18,6.402550064969363e-05,0.3186457397408863,0.00025037385475940396,0.7156142727878896,4.034401307001692e-05,3.9623029893912395e-05,0.6301241327381948
2013-03-19,6.71640875084588e-05,0.30930393855691685,0.00027688537324214524,0.7844718572054217,4.2179751493927935e-05,4.4624502326984775e-05,0.6280104898114743
2013-03-20,6.839791392936718e-05,0.3132445975309215,0.00027971220312837295,0.7257094757163711,4.3327210058690975e-05,4.109602871373271e-05,0.6334580628209495
2013-03-21,6.814178529168062e-05,0.34838188065277037,0.00026245278348310824,0.7214587517997257,4.658948445310608e-05,3.9294559252296566e-05,0.6837138806046832
2013-03-22,6.79733209422515e-05,0.36524993956766766,0.0002479517144135506,0.6693533844567524,4.7417969696486327e-05,3.611814506309471e-05,0.6975967782532134
2013-03-25,7.243408887933498e-05,0.3749718953860283,0.00023605015164290574,0.6927569374333706,4.90311817506225e-05,3.7879969943052634e-05,0.6769075515300753
2013-03-26,7.339742545776695e-05,0.38169248766781666,0.00023330054476742112,0.6134816990671174,4.994728684064643e-05,3.301347091760863e-05,0.6805046161923788
2013-03-27,7.311742529462491e-05,0.3793011668549625,0.00022766266651539808,0.71050379927003,4.893735953977929e-05,4.217072202511641e-05,0.6692981781372549
2013-03-28,6.422356192814954e-05,0.39765297059163335,0.00021404984816384112,0.7249665586620817,4.662393100419558e-05,4.329259367759284e-05,0.7259630204932631
2013-04-01,6.678777769649997e-05,0.40741659604004654,0.0002051348347264925,0.7156822376323532,4.768775969041011e-05,4.288931421479364e-05,0.7140192612354161
2013-04-02,6.451960799026473e-05,0.411534031460162,0.0001960077652426188,0.5916889233308886,4.627945684389477e-05,3.8227652925624407e-05,0.7172929018861648
2013-04-03,6.836168011312682e-05,0.41410411902903393,0.00019265014328411666,0.4883478049208561,4.752264258981533e-05,3.094156228831381e-05,0.6951649302821923
2013-04-04,6.901245142532413e-05,0.41407909509496554,0.00018780175529681806,0.5535077586033453,4.7140790006979714e-05,3.662640278169509e-05,0.6830765902873202
2013-04-05,6.697476452894188e-05,0.3983714482500257,0.00018252128895554436,0.5736929156742626,4.404540074015332e-05,3.7544576993360214e-05,0.6576417408846571
2013-04-08,7.273438811092278e-05,0.39592877143289396,0.0001802707817566474,0.5428656952573495,4.533667107787343e-05,3.677951255070373e-05,0.6233182440296774
2013-04-09,7.022991067372413e-05,0.39520293832067765,0.00018083969894447464,0.5323043909221422,4.4537733328803346e-05,3.698868538166981e-05,0.6341704396538087
2013-04-10,6.636144982931065e-05,0.3851947866161457,0.00018412559857886897,0.601362808055062,4.257899625340623e-05,4.281729137925651e-05,0.6416224534413331
2013-04-11,6.716170407401359e-05,0.3830540970190339,0.00018580428325500742,0.5814402024008326,4.279064431403521e-05,4.195198666035567e-05,0.637128627154532
