Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_SCHW,Predicted_Covariance,Future_Cov_45_SCHW,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.7965384415896368,0.00023454550709183324,1.9338502015493977,9.045200206957397e-05,0.000105914508385708,1.6452140670469462
2013-03-01,5.488021190183326e-05,0.797220970122106,0.00023345599960465389,1.930601248652424,9.023792980008027e-05,0.0001056359948724915,1.6442707976691666
2013-03-04,5.501029900576039e-05,0.7946382590771339,0.00023323840455066684,1.8850959825744225,9.001015400498833e-05,0.00010306246209280018,1.6362418607388944
2013-03-05,5.845535101370509e-05,0.7907463398836264,0.00023062130275661484,1.881351542876266,9.181191317042078e-05,0.0001008306107655632,1.570633168362895
2013-03-06,5.9250468430820016e-05,0.7872764211647644,0.00022817476402112083,1.8551738750972195,9.153916439423319e-05,0.00010011303823891882,1.5449525854991846
2013-03-07,5.369174155549812e-05,0.7754172196933753,0.0002375815673988342,1.8767354836170211,8.757810792484663e-05,0.00010144117863753748,1.631128091353157
2013-03-08,4.524810700565277e-05,0.7694049700437512,0.000248833760252205,1.8787322479547564,8.164128768325653e-05,0.00010114115991607658,1.8043028335540583
2013-03-11,4.8373919939468494e-05,0.761268025888315,0.0002601196660668123,1.935835753811752,8.539448505001165e-05,0.00010754796952583398,1.7653000864281398
2013-03-12,5.1431479865635213e-05,0.7570163847631177,0.00027399983984074613,1.951594932126388,8.986590334153682e-05,0.00010855183477075057,1.7472937503706207
2013-03-13,5.5261000285198275e-05,0.7477473918281908,0.00028714976222772104,1.9342871955746628,9.41929737831893e-05,0.00010919805100088977,1.7045108357985876
2013-03-14,6.195858588029715e-05,0.7481495478716971,0.00029990055310476,1.9760767671227375,0.0001019830038455207,0.00011394218961040935,1.645986627947739
2013-03-15,6.386120353979619e-05,0.76020472812658,0.0003066291241945863,1.996671105207498,0.00010637897886675675,0.00011286670969875427,1.6657841219742264
2013-03-18,6.402550064969363e-05,0.7640685506614201,0.0003119920697887306,2.00064959695275,0.00010798926705367708,0.00011077447977452422,1.6866602518975198
2013-03-19,6.71640875084588e-05,0.7677267581384015,0.0003160261257352581,1.962080128521696,0.00011185019113219492,0.00011161247972981097,1.6653273390799548
2013-03-20,6.839791392936718e-05,0.7715189439563129,0.00032153782499523765,1.958967715623308,0.00011441528777811897,0.00011093391527106794,1.6727891423161354
2013-03-21,6.814178529168062e-05,0.7789227318892165,0.0003251528489199221,1.9535964929660232,0.00011594310159886169,0.00010640346791335656,1.7014978563089846
2013-03-22,6.79733209422515e-05,0.7887695980795735,0.00033206692594175724,2.0205616476774586,0.00011850378399467957,0.00010902901276725466,1.7433867045477671
2013-03-25,7.243408887933498e-05,0.7933182570915213,0.00033608550770252067,1.970566931294648,0.00012377810877778957,0.00010775065841241658,1.7088377957509278
2013-03-26,7.339742545776695e-05,0.7964166753584013,0.000339933980215314,2.0023049814255027,0.00012579924876885435,0.00010775062625827736,1.7139463405462299
2013-03-27,7.311742529462491e-05,0.7968614440174709,0.0003423885373744188,1.9180424306012125,0.0001260819356106301,0.000113842085371484,1.7243760307831677
2013-03-28,6.422356192814954e-05,0.7887753106004669,0.00034618883817009213,1.8800566022344745,0.00011761346183283963,0.0001122707324895401,1.831313279765148
2013-04-01,6.678777769649997e-05,0.7827134287539392,0.00034488947593922995,1.851935184216648,0.00011879311008044651,0.00011098253644531844,1.7786654112114872
2013-04-02,6.451960799026473e-05,0.7773592955675681,0.00034722791418821333,1.8944790977526853,0.00011635229981100415,0.00012239791310617436,1.8033634027745549
2013-04-03,6.836168011312682e-05,0.7740220129700756,0.0003395641123547432,1.8516117728615764,0.00011792898706041975,0.0001173175356302805,1.7250744403190146
2013-04-04,6.901245142532413e-05,0.7775588658798138,0.00034003349334256597,1.895434142760972,0.00011911264084424725,0.00012542359755554996,1.7259586985275361
2013-04-05,6.697476452894188e-05,0.7770627549526729,0.00034179894669559657,1.886980539114025,0.00011757014429110901,0.00012349095517847505,1.7554394572048595
2013-04-08,7.273438811092278e-05,0.7754657522270408,0.0003409390721205962,1.9120901988754595,0.00012211553165076934,0.00012954538494881196,1.6789243000785048
2013-04-09,7.022991067372413e-05,0.775955748135312,0.00034026057771317027,1.8893413571967137,0.00011995098819722591,0.00013128626070294465,1.7079758047037423
2013-04-10,6.636144982931065e-05,0.7740826592997713,0.00034577311982773997,1.855762007323287,0.00011725756891000009,0.0001321310555521418,1.7669530911636222
2013-04-11,6.716170407401359e-05,0.7728088152415581,0.00034640340827567066,1.8693952639919151,0.00011787562241552531,0.00013488032794102656,1.7551017211478723
2013-04-12,6.98842565011876e-05,0.7766961260945047,0.0003535190104182868,1.8887170330973904,0.00012208075317979782,0.0001379973718197402,1.746899220108655
2013-04-15,9.593981606210937e-05,0.7687631949930058,0.00035697207776015676,1.9041885577423645,0.00014226862931421603,0.00011492974667203138,1.482894539031786
2013-04-16,8.836558039441448e-05,0.7514893169144136,0.0003587635576147108,1.8381345710856207,0.0001338038282637382,0.00011275972119594561,1.5142075417432082
2013-04-17,8.959564094882932e-05,0.7240669704168918,0.0003625024916905804,1.4528078034156748,0.0001304901334279007,0.00010324834726923367,1.4564339519868765
2013-04-18,9.719405369416862e-05,0.7189411669695942,0.0003583065890723631,1.4473119148184852,0.0001341654209075833,0.00010152410577892797,1.3803871307780722
2013-04-19,7.72897485213767e-05,0.7129328888181018,0.0003526771321570001,1.433314344212675,0.00011770590405875363,0.00010401278470495513,1.5229174154473886
2013-04-22,7.797978274745508e-05,0.7114797269248379,0.00034921988887425676,1.4467907626139307,0.00011740944227858309,0.00010728027355625789,1.5056395150371822
2013-04-23,8.499754389235151e-05,0.7087028159812182,0.0003478560470022528,1.4087583816317846,0.00012186166996549084,0.00010418939529810163,1.4337081330235537
2013-04-24,7.773768893068322e-05,0.7086740783059808,0.00034656584446520074,1.385971815957168,0.00011632022662937317,0.00010344293103234008,1.4963170146863132
2013-04-25,6.90805921567358e-05,0.7123503612352498,0.0003415445675626449,1.37013794823893,0.00010941966120262713,0.00010245683986531313,1.5839421433210457
2013-04-26,7.034557142953508e-05,0.7009948333404383,0.0003401804015962423,1.35812416653363,0.00010843958396143728,0.00010235150264600148,1.5415268048545292
2013-04-29,6.776168711759701e-05,0.6944954141889158,0.00034043176225791,1.3636465892105496,0.00010548155514381182,0.00010157778830351533,1.5566547946298013
2013-04-30,5.8041023931509805e-05,0.6892022455417455,0.0003407633601136116,1.3680933282455263,9.692608304829615e-05,0.0001017678463455913,1.6699581861731438
2013-05-01,6.311211636341748e-05,0.6780893529136954,0.0003508971730140986,1.2849789261181344,0.00010090977362055471,9.618287401281267e-05,1.5988970016389181
2013-05-02,6.214021471172626e-05,0.6742350327855995,0.0003502689375945237,1.2870255206060903,9.947146214113016e-05,9.490194872169966e-05,1.6007582626256882
2013-05-03,7.476459886581012e-05,0.6726770940912181,0.0003998508039503257,1.1309343698921006,0.00011630640444759318,8.219557253392135e-05,1.5556347016098302
2013-05-06,7.535412832838797e-05,0.6668465985894698,0.0003802121939031929,1.133402684460134,0.00011287362843002769,8.226577542652011e-05,1.4979090188414415
2013-05-07,7.392273390092128e-05,0.6647541814000503,0.00035266796598406246,0.995647935134196,0.00010733295702904763,7.560943914665776e-05,1.4519614111256505
2013-05-08,6.958015556766957e-05,0.6584401538351652,0.0003380719722459981,1.0096902257287943,0.00010098656240607295,7.632123950969e-05,1.45137017274788
