Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_USO,Predicted_Covariance,Future_Cov_45_USO,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.6468114435463657,0.00022430328477504135,1.1597992086795272,7.182793759268516e-05,6.352072301929408e-05,1.3064645406473134
2013-03-01,5.488021190183326e-05,0.6246209511418128,0.000235597253023846,1.1707364484502305,7.102472295085817e-05,6.405875348513914e-05,1.294177272454839
2013-03-04,5.501029900576039e-05,0.778143510409059,0.00017512475850170928,1.1830596559458648,7.637574812547429e-05,6.468054787211779e-05,1.3883899834370401
2013-03-05,5.845535101370509e-05,0.8030273087557065,0.000191109665523468,1.195762296945775,8.487577976958307e-05,6.408661006924047e-05,1.4519762228385833
2013-03-06,5.9250468430820016e-05,0.806093534566741,0.00019501393861033815,1.201195465816276,8.664912046408837e-05,6.482159393031489e-05,1.4624208509888597
2013-03-07,5.369174155549812e-05,0.7133378509689992,0.00020691146435805748,1.1948568982267436,7.518674639932933e-05,6.458432374588565e-05,1.4003409876659159
2013-03-08,4.524810700565277e-05,0.666139063495734,0.00019290715851451643,1.1975699319611883,6.223565742458712e-05,6.447092827146085e-05,1.3754311847081717
2013-03-11,4.8373919939468494e-05,0.66756379697215,0.0001939818392878125,1.1265484903706484,6.466644006430842e-05,6.258692271448694e-05,1.336803801412562
2013-03-12,5.1431479865635213e-05,0.6630592392045102,0.0002003838127551501,1.1365122973914064,6.731287796308417e-05,6.321521597052826e-05,1.3087875001640847
2013-03-13,5.5261000285198275e-05,0.7107037943648619,0.00020051387655087977,1.1018995776071971,7.481182024576354e-05,6.220652576757704e-05,1.3537905549965583
2013-03-14,6.195858588029715e-05,0.748430455326434,0.00021080536436512146,1.099907137369745,8.553483643069745e-05,6.342153791044586e-05,1.380516278985921
2013-03-15,6.386120353979619e-05,0.7629054149368406,0.00021509095605483011,1.1322479110488315,8.941292903369716e-05,6.400307789804413e-05,1.4001134347237596
2013-03-18,6.402550064969363e-05,0.7602315922668366,0.00020933823988935154,1.1597435056387506,8.801297252011585e-05,6.421413510126509e-05,1.3746549675834048
2013-03-19,6.71640875084588e-05,0.773975270447645,0.00024304357318851252,1.1717012760432128,9.888666144989486e-05,6.665195932660432e-05,1.4723145228086492
2013-03-20,6.839791392936718e-05,0.7848237040593186,0.0002528384215519158,1.148234187319508,0.00010320840702449076,6.502307977388818e-05,1.50894085938164
2013-03-21,6.814178529168062e-05,0.7598116562252962,0.00025363124915993133,1.1479534777013565,9.988817672542642e-05,6.252377677294829e-05,1.4658872863083277
2013-03-22,6.79733209422515e-05,0.7261733290146738,0.0002685221056028145,1.136417530683887,9.810690165670385e-05,6.132081226241503e-05,1.4433148225912504
2013-03-25,7.243408887933498e-05,0.6470553388419774,0.00025402355424059236,1.2062627203133789,8.777077232676317e-05,6.595848142378305e-05,1.211732951773259
2013-03-26,7.339742545776695e-05,0.6327086652676626,0.0002809217806203241,1.180015366335776,9.085250409510633e-05,6.35005136063489e-05,1.2378159523780992
2013-03-27,7.311742529462491e-05,0.6158079404201939,0.0002729111620612581,1.1819454677118957,8.698940872110491e-05,7.01523254610794e-05,1.1897219899440272
2013-03-28,6.422356192814954e-05,0.6298702235837789,0.0002519034345490951,1.199926035006958,8.011527296250553e-05,7.165559522164808e-05,1.2474436259411292
2013-04-01,6.678777769649997e-05,0.6199464691801608,0.00024244672587338,1.1888490035060493,7.888798244127471e-05,7.124519204779872e-05,1.18117393873713
2013-04-02,6.451960799026473e-05,0.6164413976865265,0.00023423116272888343,1.0882206156911356,7.578094097294428e-05,7.030741723026339e-05,1.1745412492955438
2013-04-03,6.836168011312682e-05,0.6687138719085417,0.0002853502584639164,1.0417187513668094,9.339762470828959e-05,6.60029702345942e-05,1.3662277544046986
2013-04-04,6.901245142532413e-05,0.631155345281547,0.00027851858314976454,1.0707597361133858,8.750383366080783e-05,7.08537084941115e-05,1.267942695174255
2013-04-05,6.697476452894188e-05,0.6484671416603794,0.00026282376143027904,1.077348541289234,8.603514319152877e-05,7.050565581689064e-05,1.2845904542799895
2013-04-08,7.273438811092278e-05,0.6436892692263374,0.0002543476092484064,1.0547320352433471,8.755077481539232e-05,7.145879812772506e-05,1.2037053873591947
2013-04-09,7.022991067372413e-05,0.6463073429720627,0.00024655358302421603,1.0042745176075492,8.504637504805392e-05,6.978487271965268e-05,1.2109708560383123
2013-04-10,6.636144982931065e-05,0.6109324047982264,0.00022744351918406924,0.9995161775285608,7.505642546911447e-05,7.116598306093219e-05,1.1310244978397594
2013-04-11,6.716170407401359e-05,0.5727725290625855,0.00023090496496319034,0.971052418930917,7.13279380361013e-05,7.006322912878395e-05,1.0620328804864219
