Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_NFLX,Predicted_Covariance,Future_Cov_45_NFLX,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.21672865561187005,0.002098346981618066,1.407264529367393,7.361272151240501e-05,7.707408292388613e-05,1.3389276320568733
2013-03-01,5.488021190183326e-05,0.21561905507449056,0.002088456885552315,1.3976318580057918,7.299746613341735e-05,7.647370573751812e-05,1.3301236202220073
2013-03-04,5.501029900576039e-05,0.20997085300857643,0.0020439808166186745,1.4386060457330545,7.040758093577346e-05,7.865184713425196e-05,1.2798981683120965
2013-03-05,5.845535101370509e-05,0.20723972367283514,0.00203433717319915,1.479368446895614,7.146552827724306e-05,7.928641758240382e-05,1.2225660617534857
2013-03-06,5.9250468430820016e-05,0.1986179258575628,0.002033605073838615,1.4124554196771804,6.89441854258369e-05,7.622207564425703e-05,1.1636057444226813
2013-03-07,5.369174155549812e-05,0.2115294307445443,0.0019761901321544363,1.4147819830175612,6.89031234481886e-05,7.647169946179848e-05,1.2833095267913286
2013-03-08,4.524810700565277e-05,0.23132991615469417,0.0019712455268736545,1.3962429012776665,6.908795985064612e-05,7.516644626372112e-05,1.5268696178166101
2013-03-11,4.8373919939468494e-05,0.23424774520530978,0.0019578921315484103,1.437169675295858,7.209006887720993e-05,7.984390211712249e-05,1.4902672549054956
2013-03-12,5.1431479865635213e-05,0.2356409211251478,0.00196715814976714,1.4943412332595578,7.495228206383282e-05,8.311841764580168e-05,1.4573230686662277
2013-03-13,5.5261000285198275e-05,0.2379410874243088,0.0019552204440924127,1.5490208926523137,7.821259181136686e-05,8.744826664017587e-05,1.415330728863339
2013-03-14,6.195858588029715e-05,0.23476431367286105,0.0018843214264005446,1.5674957951639352,8.021587452360946e-05,9.038307927993318e-05,1.2946692275802592
2013-03-15,6.386120353979619e-05,0.24531220948679358,0.0018385568105996103,1.5300605486290149,8.40574557416994e-05,8.64904086172375e-05,1.3162522953285334
2013-03-18,6.402550064969363e-05,0.23585575572492568,0.0018042208241979296,1.5584683532128902,8.016186564370566e-05,8.62912332750164e-05,1.252030282157415
2013-03-19,6.71640875084588e-05,0.23522782746615933,0.0017793165910053742,1.6242572342389363,8.131747241892894e-05,9.239550158895945e-05,1.2107284627173358
2013-03-20,6.839791392936718e-05,0.23453643413706687,0.0017712088074413109,1.6490203608679506,8.163316364153059e-05,9.338198048587312e-05,1.193503704306408
2013-03-21,6.814178529168062e-05,0.2571233020546594,0.0017579817936454606,1.6636769626833954,8.899290366571102e-05,9.061287679131389e-05,1.305996068121451
2013-03-22,6.79733209422515e-05,0.2615224126781579,0.0017838005713125508,1.5693387878170346,9.106496139266546e-05,8.468113750932908e-05,1.3397162317555746
2013-03-25,7.243408887933498e-05,0.2681548725439084,0.0017718598410946577,1.5280071888663478,9.606647961260045e-05,8.355147853368528e-05,1.3262606198116706
2013-03-26,7.339742545776695e-05,0.2749852012964087,0.0017614116367865942,1.444564173212681,9.887355879688401e-05,7.773675627731947e-05,1.3470984599286264
2013-03-27,7.311742529462491e-05,0.274948841812011,0.0017343120909021697,1.2332333885102968,9.790975538751022e-05,7.319643114138359e-05,1.3390755349082002
