Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_VNQ,Predicted_Covariance,Future_Cov_45_VNQ,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.7804670052049584,5.328346154652646e-05,0.7172917009413647,4.2242406165737226e-05,3.928515135944059e-05,0.7683390003498778
2013-03-01,5.488021190183326e-05,0.7729603775368844,4.982967881267792e-05,0.7184524817848021,4.04211966065991e-05,3.931129886864155e-05,0.7365349951436474
2013-03-04,5.501029900576039e-05,0.7701860879874222,5.046974857522068e-05,0.7154583744595008,4.058198098105648e-05,3.91157279408172e-05,0.7377160588930256
2013-03-05,5.845535101370509e-05,0.7646021264638669,5.157681616227761e-05,0.7087537856422361,4.1983138598680385e-05,3.798549896711764e-05,0.7182086476366769
2013-03-06,5.9250468430820016e-05,0.7617202054497182,5.2217213213626576e-05,0.7183350527148522,4.236900012105222e-05,3.876440131361214e-05,0.7150829561882983
2013-03-07,5.369174155549812e-05,0.7571961187038921,5.139875259443155e-05,0.7204192027235633,3.9777585165691885e-05,3.894004971683387e-05,0.7408510883294044
2013-03-08,4.524810700565277e-05,0.7562407071061578,4.781362735306475e-05,0.7231785563346391,3.517516186521148e-05,3.893216720676651e-05,0.7773841646196847
2013-03-11,4.8373919939468494e-05,0.7671983651479698,4.764484789280453e-05,0.7081215077052555,3.6831659062044163e-05,3.934064663353562e-05,0.7613949646448447
2013-03-12,5.1431479865635213e-05,0.7778122455405663,4.781785495045963e-05,0.7110809235883301,3.857308121890141e-05,3.955182382129391e-05,0.749989720686117
2013-03-13,5.5261000285198275e-05,0.7864268640280911,4.7877577054950606e-05,0.7187634555275194,4.0451422018509287e-05,4.0576998417730584e-05,0.7320066920566447
2013-03-14,6.195858588029715e-05,0.7816925326138738,4.8475003067288346e-05,0.7083925439387413,4.283962241675725e-05,4.084648881206885e-05,0.691423501813334
2013-03-15,6.386120353979619e-05,0.7764863053102835,4.911020372678445e-05,0.7227784880636796,4.3484874198479494e-05,4.085681892026473e-05,0.6809278840380946
2013-03-18,6.402550064969363e-05,0.7812157147146976,5.151902491400076e-05,0.714629161591553,4.486743886691267e-05,3.95684850198573e-05,0.7007745103376614
2013-03-19,6.71640875084588e-05,0.7767344155432262,5.3195498384345595e-05,0.7816441869390335,4.642784744618218e-05,4.446365095007005e-05,0.6912600046912712
2013-03-20,6.839791392936718e-05,0.7735232916782928,5.39736649442922e-05,0.818245952189274,4.699869269671878e-05,4.633625475659115e-05,0.6871363466618756
2013-03-21,6.814178529168062e-05,0.7647907148331262,5.434883911460816e-05,0.835743784499007,4.6541941560374997e-05,4.5519142401159944e-05,0.6830161751875506
2013-03-22,6.79733209422515e-05,0.7569915637292686,5.4724233099115436e-05,0.8352370612783603,4.616896362788509e-05,4.5069187729301646e-05,0.6792218327409534
2013-03-25,7.243408887933498e-05,0.754179705028248,5.674333140926726e-05,0.8966964987999061,4.8350810336508245e-05,4.9031391224209765e-05,0.6675145789029514
2013-03-26,7.339742545776695e-05,0.7581378038614306,6.195083623661508e-05,0.8792943732428654,5.112250813062991e-05,4.731772645086588e-05,0.6965163670494944
2013-03-27,7.311742529462491e-05,0.7639544592191548,6.465114401105676e-05,0.8806184301097331,5.2524995315723416e-05,5.2267581207173975e-05,0.7183649465784004
2013-03-28,6.422356192814954e-05,0.7489845786833917,6.849566084236081e-05,0.8820761284425381,4.967656982537385e-05,5.267465507904444e-05,0.7734944673568522
2013-04-01,6.678777769649997e-05,0.73949323422232,7.19582459369748e-05,0.915824095158298,5.12652389006772e-05,5.4883390026092846e-05,0.7675841399251074
2013-04-02,6.451960799026473e-05,0.7340462872988365,7.434703203514821e-05,0.8865656273218243,5.083948287872574e-05,5.7278954803239154e-05,0.7879694942721419
2013-04-03,6.836168011312682e-05,0.7332323520774775,7.688454233076975e-05,0.9382637433025232,5.315786128312656e-05,5.944809368185135e-05,0.7775973497895231
2013-04-04,6.901245142532413e-05,0.7257690252584744,8.649097767385524e-05,0.8833553151652241,5.607219529637853e-05,5.84528889969514e-05,0.8124938925992539
