Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_BHC,Predicted_Covariance,Future_Cov_45_BHC,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.39302668360132237,0.00037427928009029946,1.0940265830810347,5.6379057886842106e-05,5.991844022617999e-05,1.0254678392960372
2013-03-01,5.488021190183326e-05,0.3960802695513461,0.00037419460867647934,1.091929487908407,5.675966998088928e-05,5.9746702156298674e-05,1.034246552881718
2013-03-04,5.501029900576039e-05,0.39546685554213834,0.0003781267075137223,1.0639085180262429,5.703622453909221e-05,5.8166285601830324e-05,1.0368281134614388
2013-03-05,5.845535101370509e-05,0.3909875057417104,0.0003751562472441534,1.0663184527545062,5.790033910339569e-05,5.7149096493391766e-05,0.9905053703265031
2013-03-06,5.9250468430820016e-05,0.4014293003167702,0.0003769378762767943,1.088336170702264,5.999151813113124e-05,5.8731228450812653e-05,1.0125070690567868
2013-03-07,5.369174155549812e-05,0.42206393088484706,0.00037409077038488153,1.0902467691578912,5.981642889484145e-05,5.89299441687929e-05,1.1140713108181188
2013-03-08,4.524810700565277e-05,0.43642962709469774,0.00037061069177734423,1.0740641499311951,5.6516258718463034e-05,5.7822020176944266e-05,1.249030345322569
2013-03-11,4.8373919939468494e-05,0.45197475956130434,0.0003689178975328514,1.108144068590314,6.0378828950558244e-05,6.156444020848167e-05,1.248169034597812
2013-03-12,5.1431479865635213e-05,0.4730950284372257,0.0003666805194549896,1.0818899339844026,6.496909445204855e-05,6.0177004674865255e-05,1.2632165090676055
2013-03-13,5.5261000285198275e-05,0.4833654772372364,0.00037239110195255455,1.0891235236903172,6.934012938654312e-05,6.148526772978536e-05,1.2547751403102263
2013-03-14,6.195858588029715e-05,0.5010931779469996,0.0003874661552871891,1.1622122372754198,7.764010702045938e-05,6.70141005199868e-05,1.2530968213260814
2013-03-15,6.386120353979619e-05,0.5085010680476325,0.00039795674586278016,1.1943683549574668,8.106406062700698e-05,6.751458767584747e-05,1.2693788424530794
2013-03-18,6.402550064969363e-05,0.5045738512930794,0.00041001942384950326,1.2430139563001343,8.175295271424345e-05,6.882475800427345e-05,1.2768811158782347
2013-03-19,6.71640875084588e-05,0.49501000025800596,0.00042001281991994985,1.266758095611643,8.314072461950994e-05,7.205924478505043e-05,1.23787469916924
2013-03-20,6.839791392936718e-05,0.5061707584045345,0.0004318606750671369,1.2211810262727705,8.699420228309566e-05,6.915396890860696e-05,1.271883852670308
2013-03-21,6.814178529168062e-05,0.5141479734742163,0.00042631437315470046,1.1187177514838953,8.763142416194218e-05,6.0931440449811e-05,1.2860159707708896
2013-03-22,6.79733209422515e-05,0.5183810506469897,0.0004214376842955964,1.248322597554287,8.773745755674296e-05,6.735918232578705e-05,1.2907631456065327
2013-03-25,7.243408887933498e-05,0.5203225881941081,0.00041673787836978633,1.2716851873599164,9.040150671353145e-05,6.953578386770336e-05,1.2480519616133732
2013-03-26,7.339742545776695e-05,0.5194605490727966,0.0004127476625265968,1.2854934459299197,9.041391911372816e-05,6.917663649383128e-05,1.2318404705591826
2013-03-27,7.311742529462491e-05,0.5199145117668257,0.0004101044445919091,1.1810578361661546,9.003049181969011e-05,7.009964162854442e-05,1.2313137594344221
