Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_GDX,Predicted_Covariance,Future_Cov_45_GDX,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.2883510810703976,0.0008481274992932561,1.3478268352837897,6.226586723283546e-05,7.381875624791054e-05,1.1325418821525142
2013-03-01,5.488021190183326e-05,0.28851343936570994,0.0008482752455468593,1.3544049058711274,6.225042697380808e-05,7.410847257648205e-05,1.1342964033221712
2013-03-04,5.501029900576039e-05,0.2860712944176515,0.000850821344590164,1.3628084181898867,6.188928596179846e-05,7.45078193565666e-05,1.125049074089158
2013-03-05,5.845535101370509e-05,0.2884479601299886,0.0008425931067581836,1.4538669820600283,6.401600372523493e-05,7.791967233772874e-05,1.0951264959511768
2013-03-06,5.9250468430820016e-05,0.2755347677108639,0.0008784420485028598,1.4670796446245409,6.286064880520127e-05,7.916983013473037e-05,1.060930832616057
2013-03-07,5.369174155549812e-05,0.27623216654277255,0.0008560288532058937,1.4701050944296212,5.922051731627356e-05,7.946202051477893e-05,1.102972554076322
2013-03-08,4.524810700565277e-05,0.25882435026691897,0.0008288904202071384,1.4655917793881383,5.012494395728711e-05,7.889982869679939e-05,1.1077799111247921
2013-03-11,4.8373919939468494e-05,0.2609037766265682,0.0007935802773538714,1.3979924238131245,5.1118892868770693e-05,7.766735700461786e-05,1.0567448933792642
2013-03-12,5.1431479865635213e-05,0.25751489219581475,0.000793359022807477,1.3763612010953123,5.20177714927261e-05,7.655611890905161e-05,1.0113994702976188
2013-03-13,5.5261000285198275e-05,0.23440795992006722,0.0007891831100149116,1.3328334166190243,4.895201993958133e-05,7.524364103563986e-05,0.8858330411491518
2013-03-14,6.195858588029715e-05,0.21362806076178678,0.0007994230956646402,1.1679906843223722,4.7544183361587684e-05,6.734729046484737e-05,0.7673542364805125
2013-03-15,6.386120353979619e-05,0.20277538356090197,0.000802668358614593,1.1773606412013735,4.590942493156819e-05,6.655318512630301e-05,0.7188938257788855
2013-03-18,6.402550064969363e-05,0.19072807412664508,0.0007909448488050184,1.234057203889968,4.292044499754883e-05,6.832882928681274e-05,0.6703648477874762
2013-03-19,6.71640875084588e-05,0.18465201457097682,0.0007899172961213328,1.145103093794726,4.2531766531735414e-05,6.513892780770519e-05,0.6332516097442531
2013-03-20,6.839791392936718e-05,0.17649494807252158,0.0007862051988440124,1.1188884978547795,4.092810741928988e-05,6.336126972837887e-05,0.5983823930881184
2013-03-21,6.814178529168062e-05,0.1927483282515285,0.0008326665345081529,1.3067432171097717,4.591271013752846e-05,7.117232779305269e-05,0.6737820258303961
2013-03-22,6.79733209422515e-05,0.2040622053722444,0.0008571332552583119,1.3126191795441111,4.925564299711962e-05,7.082861017854154e-05,0.7246319925867096
2013-03-25,7.243408887933498e-05,0.21242413656742987,0.0008772102746669649,1.1062320007830264,5.3546022659210735e-05,6.0488798704718135e-05,0.7392378849192248
2013-03-26,7.339742545776695e-05,0.21196333037405268,0.0008884410739757205,1.1874904726218198,5.412718758850736e-05,6.390277369716437e-05,0.7374534903768835
2013-03-27,7.311742529462491e-05,0.21624519932177994,0.0008944160786319529,1.1677416020292826,5.5300202135391584e-05,6.930927962233944e-05,0.7563204244755712
2013-03-28,6.422356192814954e-05,0.2290925919484586,0.0009175518181285925,1.217669971592639,5.561264359708118e-05,7.271520414797227e-05,0.8659227536974378
2013-04-01,6.678777769649997e-05,0.241937941173335,0.0009196468098270442,1.2300212121323597,5.9960191524543365e-05,7.371255493573726e-05,0.8977719216383748
2013-04-02,6.451960799026473e-05,0.25112126639607424,0.0009463647819897528,1.1563685384414304,6.205240779079393e-05,7.471029691209866e-05,0.9617604589314449
