Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_MMM,Predicted_Covariance,Future_Cov_45_MMM,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.6845414395276243,9.533576790412875e-05,0.8136124262255411,4.9559345607516744e-05,4.456051459991017e-05,0.9014254044306513
2013-03-01,5.488021190183326e-05,0.6926613983406603,9.648923877965838e-05,0.8164486845768827,5.040438442544882e-05,4.467332087235339e-05,0.9184436917920331
2013-03-04,5.501029900576039e-05,0.7067518028561743,9.829240982353265e-05,0.8273852377203875,5.1969545552203676e-05,4.523502277175596e-05,0.94472392427392
2013-03-05,5.845535101370509e-05,0.7063017666657443,9.964060710328819e-05,0.8117526103955859,5.3903952558060217e-05,4.3505697702617026e-05,0.9221388910216658
2013-03-06,5.9250468430820016e-05,0.7134345112889402,3.2180481299600645e-05,0.7809266167175907,3.1152741796993496e-05,4.2142107158090755e-05,0.5257805148556249
2013-03-07,5.369174155549812e-05,0.6951692529923794,4.476107682041901e-05,0.7836215299962207,3.407960588192702e-05,4.235625760928406e-05,0.6347271460118472
2013-03-08,4.524810700565277e-05,0.689614559030948,0.0003094564445034129,0.773753682518731,8.160305066062803e-05,4.165486860859193e-05,1.803457781127363
2013-03-11,4.8373919939468494e-05,0.691026595646307,0.0002843675698728079,0.7491884683003266,8.10476518010205e-05,4.1622177087708066e-05,1.6754410620937372
2013-03-12,5.1431479865635213e-05,0.6970231847639093,0.0002670774008371311,0.748603971620948,8.169214602231774e-05,4.1638935056868675e-05,1.5883685679614614
2013-03-13,5.5261000285198275e-05,0.7035296367987147,0.0005051348303477448,0.7501219607072959,0.00011754263595127858,4.2347308253709e-05,2.12704502894716
2013-03-14,6.195858588029715e-05,0.6775392360334209,0.0004373419580404246,0.7281832569224964,0.00011153104493267124,4.198763737918833e-05,1.8000902271744417
2013-03-15,6.386120353979619e-05,0.6713878720002557,0.0003740844837805287,0.7488612151972341,0.00010377121194126684,4.233120876036252e-05,1.624949205296453
2013-03-18,6.402550064969363e-05,0.670154952248066,0.00033278343515839935,0.7334636172304602,9.782110695331178e-05,4.061133481645045e-05,1.5278460294832519
2013-03-19,6.71640875084588e-05,0.6668121167456195,0.00029050540213790374,0.7527305933930354,9.31427698404096e-05,4.2818907788637524e-05,1.386794242215812
2013-03-20,6.839791392936718e-05,0.6601118429508555,0.00025679620986808515,0.756308650097892,8.748493175666422e-05,4.282882205745775e-05,1.2790584789911537
2013-03-21,6.814178529168062e-05,0.649844719924112,0.00023045819962430117,0.7556167183375101,8.143524941676043e-05,4.115498749813694e-05,1.1950853513475936
2013-03-22,6.79733209422515e-05,0.6466480179930102,0.00021116689799360603,0.7476997065221727,7.747295391205722e-05,4.034569345715478e-05,1.1397553163229495
