Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_LLY,Predicted_Covariance,Future_Cov_45_LLY,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.5567025770867252,0.00012155140311537332,0.7749894249088225,4.550939948682536e-05,4.244518209196152e-05,0.8277617134554246
2013-03-01,5.488021190183326e-05,0.5618455463266557,0.00011988354019039206,0.7693590440431274,4.5572684522365227e-05,4.209673441803348e-05,0.830402852741953
2013-03-04,5.501029900576039e-05,0.5632399432778367,0.00011703207557019501,0.762094606870939,4.519265981761893e-05,4.166543627370066e-05,0.8215308884775666
2013-03-05,5.845535101370509e-05,0.561018561124522,0.0001172582267685413,0.7400162660369303,4.644735926552817e-05,3.96610045387263e-05,0.7945783997540004
2013-03-06,5.9250468430820016e-05,0.5647122749904298,0.00011491701862829889,0.7336462473699996,4.659778757260064e-05,3.9590658214148915e-05,0.7864543320363373
2013-03-07,5.369174155549812e-05,0.5557993233079327,0.00011363004981021216,0.7354659300690342,4.341285600403379e-05,3.975335439929282e-05,0.8085574195644293
2013-03-08,4.524810700565277e-05,0.5208121422625128,0.00011570652763511592,0.7389916412903142,3.768428143565645e-05,3.978346134727531e-05,0.8328366406786613
2013-03-11,4.8373919939468494e-05,0.5120577900133227,0.00011781869722515444,0.6896430483390547,3.865731857785881e-05,3.831405086946473e-05,0.7991355388653987
2013-03-12,5.1431479865635213e-05,0.512901491787875,0.00011024313494181794,0.7121699775378784,3.862106538434493e-05,3.9612399303655577e-05,0.7509226933629463
2013-03-13,5.5261000285198275e-05,0.5088723307525006,0.00011146233784703134,0.7366515551871474,3.9937629358748467e-05,4.1586851361704135e-05,0.7227091285469512
2013-03-14,6.195858588029715e-05,0.4942232070822267,0.00011540140058968259,0.7180307451087505,4.1790678566506795e-05,4.140223531113622e-05,0.6744937440509959
2013-03-15,6.386120353979619e-05,0.4946199419986782,0.00011484031640260777,0.7449935314456627,4.235818686279724e-05,4.211257849218447e-05,0.6632851326768532
2013-03-18,6.402550064969363e-05,0.4908043867706604,0.00011822882027971306,0.7351157160581108,4.270184161508845e-05,4.070281029943768e-05,0.6669505303632918
2013-03-19,6.71640875084588e-05,0.4933822264073571,0.00012042812042079417,0.7340259506316028,4.4372716177099675e-05,4.175489845960143e-05,0.660661341844498
2013-03-20,6.839791392936718e-05,0.4907165572661536,0.00012244676782579463,0.7222896229994572,4.490821599459723e-05,4.090236669035597e-05,0.6565728896494245
2013-03-21,6.814178529168062e-05,0.4817511448944146,0.0001245851174065359,0.7458459302989946,4.438769489787359e-05,4.062281735180052e-05,0.6514019952349686
2013-03-22,6.79733209422515e-05,0.47235909379594176,0.00012628154556624597,0.7421187051761693,4.376344173399811e-05,4.004454398828975e-05,0.6438326262031316
2013-03-25,7.243408887933498e-05,0.4817296782656263,0.00012757986621096573,0.7822002887811871,4.6309061008355065e-05,4.277073505500389e-05,0.6393268932463478
2013-03-26,7.339742545776695e-05,0.4806191625235509,0.00012866092597719532,0.7659311044494553,4.6705156534659124e-05,4.121727556027336e-05,0.6363323542122521
2013-03-27,7.311742529462491e-05,0.481159167154715,0.00012911989201240038,0.79185941744426,4.6751525515974026e-05,4.699944378949247e-05,0.6394033341243879
2013-03-28,6.422356192814954e-05,0.4758371003718832,0.0001316640772148705,0.7819541693586463,4.375615422983832e-05,4.669570440741245e-05,0.6813099883620711
2013-04-01,6.678777769649997e-05,0.47512793734154024,0.00013416982881477095,0.7996306732008136,4.497658704616875e-05,4.792016539652404e-05,0.6734254170059885
2013-04-02,6.451960799026473e-05,0.47977899757572046,0.00013587937161331625,0.8019094470987196,4.492249382041581e-05,5.180951478506245e-05,0.6962611091374594
2013-04-03,6.836168011312682e-05,0.48615628275768735,0.0001374661738860116,0.8712311297221605,4.712812797741691e-05,5.520092851074689e-05,0.6893939396958643
2013-04-04,6.901245142532413e-05,0.4777741412568852,0.00014338869303827124,0.8685402899786001,4.752737419401035e-05,5.747255751781305e-05,0.6886782488148243
2013-04-05,6.697476452894188e-05,0.49366913597937273,0.00014626005308153821,0.863566534974913,4.886010963967824e-05,5.651497408356365e-05,0.7295301444257302
2013-04-08,7.273438811092278e-05,0.5025995669692042,0.00014929790928078934,0.8644177211687619,5.2374376746057024e-05,5.856487654779084e-05,0.7200772304041941
2013-04-09,7.022991067372413e-05,0.5050343459454564,0.00015082426930150303,0.8454858834021926,5.197776332215685e-05,5.875099260712505e-05,0.7401086349609135
2013-04-10,6.636144982931065e-05,0.502068691768198,0.00015096423491836301,0.7790597788898617,5.025255045675282e-05,5.546939236643348e-05,0.757255162236633
2013-04-11,6.716170407401359e-05,0.5088324883376242,0.00015147680343704104,0.747317899296459,5.1322612102563596e-05,5.392036947716447e-05,0.7641648289031651
2013-04-12,6.98842565011876e-05,0.5165969829478537,0.0001512562155844385,0.7499121877325435,5.311267255893627e-05,5.479164384564883e-05,0.7600091239152511
2013-04-15,9.593981606210937e-05,0.5325250834295392,0.000148220262662901,0.7639251639154078,6.350286203304335e-05,4.6107684666103845e-05,0.6619031038368154
