Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_QCOM,Predicted_Covariance,Future_Cov_45_QCOM,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.49252550943310464,0.0001699345523482456,0.9965840011064288,4.760663221045281e-05,5.458163432600962e-05,0.8659078760592006
2013-03-01,5.488021190183326e-05,0.49410628928087097,0.00017212508315859378,0.9900354944769502,4.802311790262684e-05,5.4171406182997014e-05,0.8750534343513101
2013-03-04,5.501029900576039e-05,0.49204612566252,0.00017399176293813728,0.9852446854734326,4.8138456782115644e-05,5.386555591194128e-05,0.875080805815559
2013-03-05,5.845535101370509e-05,0.4954158446812545,0.0001820497513788156,0.9420102882679046,5.1106609935683464e-05,5.048682851067987e-05,0.8742845445184533
2013-03-06,5.9250468430820016e-05,0.4948252030287393,0.00018795004047179458,0.935059629765816,5.221784170969829e-05,5.045977723544037e-05,0.8813068165134775
2013-03-07,5.369174155549812e-05,0.49912191689688173,0.0001849740433655865,0.9406872661515284,4.974114533225247e-05,5.0845964090700175e-05,0.9264207844857828
2013-03-08,4.524810700565277e-05,0.4869619180872007,0.00016522761436227936,0.94582295646825,4.210527643382158e-05,5.091818219258844e-05,0.9305422750295705
2013-03-11,4.8373919939468494e-05,0.4860828286693752,0.0001758208524113514,0.945989707485205,4.482818038868285e-05,5.2555735698156164e-05,0.9267014218566013
2013-03-12,5.1431479865635213e-05,0.4789654104347918,0.0001804657960381884,0.9593306340938468,4.614409279954569e-05,5.335999738901276e-05,0.8971955098336111
2013-03-13,5.5261000285198275e-05,0.47305262542569976,0.00018981630442335836,0.9405227821140048,4.844908561310084e-05,5.309617670207001e-05,0.8767319694370062
2013-03-14,6.195858588029715e-05,0.4867118346224156,0.00019609104121368922,0.9732925419712676,5.3647752343548066e-05,5.6120837615616364e-05,0.8658646994815946
2013-03-15,6.386120353979619e-05,0.4984589625794895,0.00021435268951984854,0.9266252670879428,5.831931675567563e-05,5.237975585822718e-05,0.9132198192809342
2013-03-18,6.402550064969363e-05,0.5043072875359211,0.00022314717515309335,0.9264556084713926,6.027919339126797e-05,5.129715779261095e-05,0.9414872633495981
2013-03-19,6.71640875084588e-05,0.5080409978939112,0.00022975078289235094,0.93561117201222,6.310965699605983e-05,5.322202771090536e-05,0.9396339522681919
2013-03-20,6.839791392936718e-05,0.5091028510896561,0.00023009611932775224,0.9401795216707224,6.386774820645945e-05,5.324120176397465e-05,0.9337674870086548
2013-03-21,6.814178529168062e-05,0.5141365470836022,0.0002246692526108223,0.9490199456786578,6.361463661173237e-05,5.1688776931537325e-05,0.9335628108278964
2013-03-22,6.79733209422515e-05,0.5139451076759505,0.00021911532513268177,0.928091820222628,6.272235517219627e-05,5.007960783208442e-05,0.9227496067976976
2013-03-25,7.243408887933498e-05,0.5169075130870842,0.0002139089107843836,0.9043304808612674,6.434262627466346e-05,4.9448817590377424e-05,0.888292063448872
2013-03-26,7.339742545776695e-05,0.5209223415053658,0.00021406803752979634,0.8787377656831286,6.529641101168808e-05,4.7287773564718205e-05,0.889628084424566
2013-03-27,7.311742529462491e-05,0.5205735168143379,0.00021115516927922313,0.857536599409131,6.468347959429919e-05,5.0897599136274593e-05,0.8846520420222492
2013-03-28,6.422356192814954e-05,0.5201571733812451,0.00020390365422131906,0.8436734134992002,5.952429917912889e-05,5.0381372562363234e-05,0.9268296150519029
2013-04-01,6.678777769649997e-05,0.5220410600405498,0.00020061167140033497,0.7966063195927022,6.042703116232796e-05,4.773892231771839e-05,0.9047618179021198
2013-04-02,6.451960799026473e-05,0.5307966305862645,0.00019363877888615533,0.7735075128112213,5.9329431240584794e-05,4.9974531496467436e-05,0.9195565981978212
2013-04-03,6.836168011312682e-05,0.5329264005217884,0.00019199140291579792,0.7705649313622416,6.10540517010677e-05,4.882275005781818e-05,0.8931034404074586
2013-04-04,6.901245142532413e-05,0.5358565294580607,0.00018995167890908783,0.6887405843822247,6.13527201475758e-05,4.557495294977604e-05,0.8890094306237383
2013-04-05,6.697476452894188e-05,0.5216543054507838,0.00019142194416050878,0.6787665807809992,5.9065550396668554e-05,4.4420984565759716e-05,0.8819075484937986
2013-04-08,7.273438811092278e-05,0.5241642707545734,0.00016091303780238006,0.6513391646459574,5.670651084805566e-05,4.412866237477841e-05,0.7796382470637687
2013-04-09,7.022991067372413e-05,0.5227609832416977,0.00015999400308877983,0.6544279015788689,5.541356313159659e-05,4.547478504649e-05,0.7890308075292635
2013-04-10,6.636144982931065e-05,0.525799999653391,0.00017113379684490719,0.6310125179130942,5.6033326695824294e-05,4.4928363512911925e-05,0.8443656194966884
