Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_VGK,Predicted_Covariance,Future_Cov_45_VGK,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.8428176650518121,0.0001719797034484085,1.1820456589873438,8.195399188505249e-05,6.473913272124074e-05,1.4906453944074065
2013-03-01,5.488021190183326e-05,0.8455924250993804,0.00016961177892642698,1.185086171188095,8.158249410228425e-05,6.484392195978746e-05,1.4865557415888733
2013-03-04,5.501029900576039e-05,0.8465995244906289,0.00017525564770895377,1.1812370881062535,8.312583754058204e-05,6.458090396506057e-05,1.5110959046391939
2013-03-05,5.845535101370509e-05,0.846958623324301,0.000185576626082537,1.187013186052638,8.821368568303514e-05,6.361770344817268e-05,1.5090780254206853
2013-03-06,5.9250468430820016e-05,0.8490613210983644,0.0001806225867410301,1.1994059981877254,8.783568246123213e-05,6.472502667937992e-05,1.4824470554825704
2013-03-07,5.369174155549812e-05,0.8511788154741144,0.00015871049221823988,1.1983974340289787,7.857373014340027e-05,6.47756965461136e-05,1.463423011939053
2013-03-08,4.524810700565277e-05,0.8458361638575318,0.00014902260611025884,1.2061210510011284,6.945644228258788e-05,6.493127598690635e-05,1.5350132166614352
2013-03-11,4.8373919939468494e-05,0.8424950035777807,0.00014016559696670202,1.1744414841236168,6.937351347383344e-05,6.524768265886904e-05,1.4341098170386495
2013-03-12,5.1431479865635213e-05,0.8449908613306176,0.00013788675399568621,1.170659438372088,7.115866575652447e-05,6.511455212098115e-05,1.3835624785136758
2013-03-13,5.5261000285198275e-05,0.8484761248360917,0.00013489430025065817,1.1664871741192873,7.325643786110934e-05,6.585274731838277e-05,1.3256444415236392
2013-03-14,6.195858588029715e-05,0.8521932574840869,0.00013801211352893193,1.141955868954743,7.8803851809405e-05,6.584610188834788e-05,1.271879444789986
2013-03-15,6.386120353979619e-05,0.8553115963033092,0.00013308692106353193,1.1583158574877883,7.885161607810129e-05,6.547663222328812e-05,1.2347342628606048
2013-03-18,6.402550064969363e-05,0.8553558951640631,0.00012793247163797188,1.1363332503862131,7.741297177267925e-05,6.29179266842896e-05,1.2090959225173927
2013-03-19,6.71640875084588e-05,0.8551747403615451,0.000124708126024958,1.1352675178896008,7.826557863917093e-05,6.457943332000086e-05,1.1652890933612996
2013-03-20,6.839791392936718e-05,0.8552958442852043,0.0001250501190736749,1.1354854940675203,7.910061222308887e-05,6.430113706612739e-05,1.1564769695282535
2013-03-21,6.814178529168062e-05,0.8531487707729324,0.00012795041979597697,1.1230719985584203,7.966221555975864e-05,6.116859637763394e-05,1.1690655772924772
2013-03-22,6.79733209422515e-05,0.8530298891791983,0.0001339008953406938,1.129931525380231,8.138141436418901e-05,6.097082900114023e-05,1.197255235378726
2013-03-25,7.243408887933498e-05,0.857183707436932,0.00014211262697350828,1.1004883274874253,8.696845249593922e-05,6.017473447808434e-05,1.200656401446789
2013-03-26,7.339742545776695e-05,0.858616495061665,0.00014323505546491724,1.1150593637232138,8.803681071576863e-05,6.000501715317859e-05,1.199453661578705
2013-03-27,7.311742529462491e-05,0.8625922065832341,0.00014581953619917444,1.1302878540433068,8.906843701798642e-05,6.708627730097512e-05,1.218156091507425
2013-03-28,6.422356192814954e-05,0.8645210396192042,0.0001410943215716649,1.132201438471684,8.229577304142533e-05,6.761130737864534e-05,1.2813953410664791
2013-04-01,6.678777769649997e-05,0.8614444133227542,0.00013258180947206706,1.1284845240403534,8.106207683266037e-05,6.762767719123086e-05,1.2137262180069281
2013-04-02,6.451960799026473e-05,0.8623940521794788,0.00012647130146700134,1.110285622689659,7.790182042374657e-05,7.173298630225577e-05,1.2074131082058197
2013-04-03,6.836168011312682e-05,0.8668067185302704,0.00012284722264300306,1.1276014474487177,7.943489098548297e-05,7.144447066426712e-05,1.161979794148299
2013-04-04,6.901245142532413e-05,0.8680865563549071,0.00011852758141651942,1.1056452676833557,7.851207745771123e-05,7.316213418584755e-05,1.1376508997462045
2013-04-05,6.697476452894188e-05,0.8732344446094398,0.00011616545305098277,1.1039346836135016,7.702380179296958e-05,7.224555087255243e-05,1.1500421440031372
2013-04-08,7.273438811092278e-05,0.8696161413462242,0.00011301347632072808,1.1102051203067185,7.884290254935093e-05,7.521713660101408e-05,1.083983856839662
2013-04-09,7.022991067372413e-05,0.863535009998461,0.000107669915302405,1.0824761495157342,7.509105282089827e-05,7.521893565115319e-05,1.0692175470613676
2013-04-10,6.636144982931065e-05,0.8556266959105323,9.275219360416016e-05,1.0481006055783928,6.712809982197606e-05,7.462521529884215e-05,1.01155264079729
2013-04-11,6.716170407401359e-05,0.854785127704633,9.308132410605388e-05,1.0497914119327196,6.758480841866218e-05,7.57443931941889e-05,1.0062997857258404
2013-04-12,6.98842565011876e-05,0.8612712723800185,9.585285511641663e-05,1.0553995159125376,7.049075511892236e-05,7.711179433634411e-05,1.0086786158728676
2013-04-15,9.593981606210937e-05,0.860190378983436,0.00011134907233769853,1.0628018602715048,8.89072798651747e-05,6.414677163504623e-05,0.9266984607060123
2013-04-16,8.836558039441448e-05,0.8561584681268282,0.00011855383050735697,1.0933776977902812,8.763014273316875e-05,6.707287176035268e-05,0.9916773289106103
2013-04-17,8.959564094882932e-05,0.8507954308195638,0.00014256135493165314,1.063368416926697,9.615447397927604e-05,7.557161472278346e-05,1.0732048229242834
2013-04-18,9.719405369416862e-05,0.8510232178032653,0.00013453748719821713,1.0850174183053831,9.731570037977795e-05,7.611035466520704e-05,1.001251585678195
