Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_WMT,Predicted_Covariance,Future_Cov_45_WMT,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.24634494371670168,7.775735730980739e-05,0.2823676459948125,1.6106911915849363e-05,1.5464915734222226e-05,0.2929655226454653
2013-03-01,5.488021190183326e-05,0.24847228384188902,8.077882374671859e-05,0.2700461892803589,1.654377458767844e-05,1.4776017515821876e-05,0.301452454616448
2013-03-04,5.501029900576039e-05,0.24131696368690544,8.669257617121529e-05,0.2360870395310135,1.6664826994371948e-05,1.2907412559989301e-05,0.30294012749552396
2013-03-05,5.845535101370509e-05,0.2398375750830173,8.68006535908177e-05,0.2132895418523345,1.7084050973107975e-05,1.1431204793336424e-05,0.29225811969040355
2013-03-06,5.9250468430820016e-05,0.2378684191524926,8.577355349116815e-05,0.2113050787503679,1.6957404573021294e-05,1.140291684406388e-05,0.2861986583755116
2013-03-07,5.369174155549812e-05,0.23392089944865038,8.17719816648015e-05,0.21559431236352,1.5499762085870557e-05,1.1653289099407172e-05,0.2886805612339717
2013-03-08,4.524810700565277e-05,0.23413995777040877,8.525021010361666e-05,0.2248299452813413,1.4541977625862807e-05,1.2103673354400466e-05,0.32138311607259284
2013-03-11,4.8373919939468494e-05,0.2280108346671139,8.984046964803978e-05,0.2274250949427178,1.5031320393790426e-05,1.2634908272640448e-05,0.3107319070399814
2013-03-12,5.1431479865635213e-05,0.22680961675341393,9.585717543132686e-05,0.25633188294953,1.5925324445923298e-05,1.425772108051913e-05,0.30964157530617864
2013-03-13,5.5261000285198275e-05,0.22295352685843386,9.856349892881777e-05,0.2983526042382623,1.64543895116382e-05,1.6843167327165603e-05,0.297757721118297
2013-03-14,6.195858588029715e-05,0.22419180367903482,9.826293547470036e-05,0.2724876951974602,1.749304230725802e-05,1.5711861578080018e-05,0.2823344345052396
2013-03-15,6.386120353979619e-05,0.2252657723648908,9.948349873402208e-05,0.2497272760654153,1.7955160160539802e-05,1.4116444064335106e-05,0.28115912581182
2013-03-18,6.402550064969363e-05,0.23350715251579987,0.00010085520680215753,0.2405714268359339,1.8764018030285403e-05,1.3320260927728522e-05,0.29307100826825305
2013-03-19,6.71640875084588e-05,0.2416561152192225,0.0001018013938431871,0.2583834208843895,1.9982195846137596e-05,1.4698081850360656e-05,0.297513099446501
2013-03-20,6.839791392936718e-05,0.25351009646694866,0.00010130611342127245,0.2637863025007312,2.1102529485065973e-05,1.4937891573151032e-05,0.3085259223966688
2013-03-21,6.814178529168062e-05,0.24866869017836485,9.524383460921423e-05,0.2664630831137615,2.0033014102952136e-05,1.4513025702223234e-05,0.2939901562191378
2013-03-22,6.79733209422515e-05,0.24601837568256046,9.490953417257673e-05,0.2273469557999007,1.9760217110390498e-05,1.2267586180800601e-05,0.29070548321713313
2013-03-25,7.243408887933498e-05,0.24192781460159496,9.118152500068017e-05,0.2899111529751431,1.9661232048677776e-05,1.5852350467309972e-05,0.2714361753266563
2013-03-26,7.339742545776695e-05,0.23179804730350803,8.83323058457121e-05,0.29045688292932,1.8664225378831483e-05,1.5630441579573936e-05,0.25428991905950327
2013-03-27,7.311742529462491e-05,0.22272653389235184,8.615229087719021e-05,0.3271122094767831,1.7677295374358843e-05,1.941517845652552e-05,0.24176583493098402
2013-03-28,6.422356192814954e-05,0.23474606215390637,8.396929400969629e-05,0.3437572412161778,1.7238749578910664e-05,2.052804007286494e-05,0.26841783702680033
2013-04-01,6.678777769649997e-05,0.24024836109367528,8.344503859075995e-05,0.3504690862991376,1.7935322494213155e-05,2.1002866879276854e-05,0.2685419864651831
2013-04-02,6.451960799026473e-05,0.23977087301667865,8.006072849259451e-05,0.3615292630572295,1.7232649440201544e-05,2.3357569570184023e-05,0.26709166371255316
2013-04-03,6.836168011312682e-05,0.24300871291452192,7.921389370032613e-05,0.3835138350135386,1.7882527011365845e-05,2.4299315149833912e-05,0.2615870028614472
2013-04-04,6.901245142532413e-05,0.24500491846220218,7.821603710647138e-05,0.4010759566571927,1.8000577323364432e-05,2.6539771676637176e-05,0.26083086387450244
2013-04-05,6.697476452894188e-05,0.2660999728579341,7.885001748851639e-05,0.4140882898870491,1.9337544447571728e-05,2.7099462546859212e-05,0.2887288157499288
2013-04-08,7.273438811092278e-05,0.2862231492178765,8.092843475027309e-05,0.4013237285458854,2.1959640244536015e-05,2.7189950000342627e-05,0.3019155149974824
2013-04-09,7.022991067372413e-05,0.29588567299083895,8.211266741920453e-05,0.395464884742382,2.2469327535256205e-05,2.748000289062764e-05,0.3199395716113718
2013-04-10,6.636144982931065e-05,0.2961009367933368,8.114866779791862e-05,0.4317513338487774,2.1728933534747287e-05,3.074088124035277e-05,0.32743307433211033
2013-04-11,6.716170407401359e-05,0.30767198601613266,7.863184620412104e-05,0.4230815053718243,2.2358777009517683e-05,3.052611359915232e-05,0.3329096144564445
2013-04-12,6.98842565011876e-05,0.34562446008176684,8.049501338759833e-05,0.432689601023725,2.592260445992367e-05,3.1614067490610085e-05,0.3709362560004219
2013-04-15,9.593981606210937e-05,0.3499326950487268,8.229874280842404e-05,0.5501979681504195,3.109428413740999e-05,3.320790519504292e-05,0.32410197781993055
2013-04-16,8.836558039441448e-05,0.35864231520954953,8.473133269790754e-05,0.6115142922427134,3.103309673803936e-05,3.7513129988028714e-05,0.3511898705301882
2013-04-17,8.959564094882932e-05,0.3586186538589606,8.706200867043412e-05,0.6725384666413818,3.167310625874089e-05,4.77960573948264e-05,0.35351168788256476
2013-04-18,9.719405369416862e-05,0.35287700443685127,9.313477850834932e-05,0.6384926292979333,3.357369563407939e-05,4.478812933978981e-05,0.34542952328876597
2013-04-19,7.72897485213767e-05,0.4132263897958748,9.29175208507778e-05,0.5337247261437844,3.5018521258945434e-05,3.8731346864876806e-05,0.45308106092828154
2013-04-22,7.797978274745508e-05,0.4532848950399129,8.998181436405234e-05,0.5358519752726062,3.796991549291896e-05,3.9733697489915644e-05,0.4869199958646735
2013-04-23,8.499754389235151e-05,0.4677273281870978,8.193663464424033e-05,0.5185888925681451,3.9033275314978e-05,3.8353960359335564e-05,0.45922827328296956
2013-04-24,7.773768893068322e-05,0.4818058847293445,8.187808601248207e-05,0.5220023975516017,3.843897105068211e-05,3.8959997156475464e-05,0.4944702058863262
2013-04-25,6.90805921567358e-05,0.495149805488762,8.048801972075597e-05,0.5235818421883561,3.692157848049025e-05,3.9152656876943336e-05,0.5344710768651127
2013-04-26,7.034557142953508e-05,0.5118637424077463,7.847944422874608e-05,0.527769292200398,3.803213517359461e-05,3.97739628218225e-05,0.5406471850426472
2013-04-29,6.776168711759701e-05,0.5252791193303664,8.030924534292168e-05,0.546530670276545,3.87494029177864e-05,4.0710970984695115e-05,0.5718482606629725
2013-04-30,5.8041023931509805e-05,0.5301955962213959,8.162548665396606e-05,0.5523637047583208,3.649358598189668e-05,4.108847216206724e-05,0.6287550341110493
2013-05-01,6.311211636341748e-05,0.5328084584546872,8.066350097663054e-05,0.5849495486775467,3.801596475710382e-05,4.3784475839046916e-05,0.6023560442530101
2013-05-02,6.214021471172626e-05,0.5369654858026932,8.017046117792534e-05,0.610152484375487,3.790006348324389e-05,4.499107349273949e-05,0.609912013646324
2013-05-03,7.476459886581012e-05,0.5396431729047492,7.64101262151976e-05,0.5973267417233595,4.078778763180904e-05,4.3413318078269594e-05,0.5455494746252335
2013-05-06,7.535412832838797e-05,0.5424468056976605,7.46172609407023e-05,0.6012542694178467,4.0675259540472867e-05,4.3640843082813966e-05,0.5397880705780705
2013-05-07,7.392273390092128e-05,0.5443947385515182,6.905832009391341e-05,0.6190569277604888,3.889653670227985e-05,4.7011142650052037e-05,0.5261782762852484
2013-05-08,6.958015556766957e-05,0.547175482354299,6.971524438319919e-05,0.6303499678308743,3.810949590765704e-05,4.7647377030930686e-05,0.5477063912367081
2013-05-09,7.111722928104653e-05,0.5485601539482755,6.945633049609011e-05,0.6257179988360262,3.855383549616985e-05,4.7274600738684995e-05,0.5421166697005284
2013-05-10,7.562958883543677e-05,0.5704201661630351,7.12804332946675e-05,0.6118654739404185,4.1881854719210116e-05,4.640038959360575e-05,0.5537760467049648
2013-05-13,7.357910230951406e-05,0.5858258527154125,7.306709773261059e-05,0.6104174566981019,4.295430578327039e-05,4.634331027314737e-05,0.5837840424116758
2013-05-14,7.590263764609063e-05,0.5966773394276239,7.395093087346549e-05,0.6151553929777163,4.4703322356534656e-05,4.571490402848227e-05,0.5889561119729692
2013-05-15,7.650099964197039e-05,0.6040882616801329,7.598307532166318e-05,0.6022313343629031,4.6056654214899574e-05,4.445042281692909e-05,0.6020399005300282
2013-05-16,7.639729836462006e-05,0.6131980916314461,8.107759593064574e-05,0.5787921920819807,4.826032323983779e-05,4.239926666010417e-05,0.6317019616257448
2013-05-17,7.425705624970095e-05,0.6065544495634295,8.078812965966263e-05,0.6097831712218941,4.6979937448087316e-05,4.3584176752269066e-05,0.6326663056788832
2013-05-20,7.217439206379002e-05,0.5984419465537817,7.923954235945031e-05,0.6115503651529742,4.5256876140447005e-05,4.392306279096776e-05,0.6270489414091295
2013-05-21,7.13709588975209e-05,0.5925655090975186,7.837959995662114e-05,0.6089118358445587,4.4319888226112026e-05,4.3780613956723485e-05,0.6209793018158748
2013-05-22,7.35750525384875e-05,0.5995386979552404,7.837505145687207e-05,0.6083259993960406,4.552725126793462e-05,4.291077866528395e-05,0.618786527459414
2013-05-23,7.454058968752127e-05,0.5860792448423902,7.882667082565236e-05,0.5984970613960207,4.492513038762996e-05,4.223439156714892e-05,0.6026935200802525
2013-05-24,7.630250921850573e-05,0.5913946832994953,7.935365284290355e-05,0.604157919636065,4.601826995610599e-05,4.261380847682908e-05,0.603102970366604
2013-05-28,7.438631671877e-05,0.5849545490122058,7.582533613983118e-05,0.6104423596809797,4.393147877489929e-05,4.262290259042023e-05,0.590585482824612
2013-05-29,7.273626036607267e-05,0.5789929308363617,7.75215181337634e-05,0.5752645175710922,4.34770311223204e-05,4.109356129860943e-05,0.5977353097822989
2013-05-30,7.309916508279677e-05,0.5763320920663026,7.822039842620199e-05,0.5868684814994024,4.3580180370512864e-05,4.1816782143079504e-05,0.5961789073945123
2013-05-31,7.696255068093324e-05,0.5765953461543076,7.89478838486381e-05,0.5730623048448624,4.494497113095301e-05,3.78493377463039e-05,0.583984947656987
2013-06-03,7.835861755638394e-05,0.5967066860271407,7.802432484841656e-05,0.5799809729695937,4.665726705465243e-05,3.858107801519703e-05,0.5954324937021713
2013-06-04,7.696792659140356e-05,0.6100869549033188,7.542411620566037e-05,0.5977728102606639,4.648381323067452e-05,3.956097901511264e-05,0.6039374488732328
2013-06-05,8.390672708275947e-05,0.6189599875720584,7.416014342381248e-05,0.5905135990286782,4.8825449047995424e-05,3.614517918613587e-05,0.5819014844880979
2013-06-06,8.864935953499249e-05,0.6292271638935456,7.402588125001001e-05,0.5949876158706607,5.097263176596199e-05,3.576238212385594e-05,0.5749915400780939
2013-06-07,8.584609796353898e-05,0.6366961853911971,7.417323104584692e-05,0.5838707285186644,5.080613133211682e-05,3.325906020545595e-05,0.5918280799867628
2013-06-10,7.344670994631798e-05,0.638801687077816,7.386765076705667e-05,0.577861325671658,4.705213898760305e-05,3.2983814335063255e-05,0.6406296350373399
2013-06-11,7.540176794643908e-05,0.6361253979096904,7.161189359708035e-05,0.5824741689846542,4.674402212297476e-05,3.207376158761057e-05,0.6199327070975169
2013-06-12,7.564969572692771e-05,0.632465502630171,6.964258509526542e-05,0.6845585007671933,4.590689049040648e-05,3.9834279186228245e-05,0.6068350976072175
2013-06-13,7.668406692361186e-05,0.6362793939070015,6.832018426015635e-05,0.7345540582115889,4.605480438112249e-05,3.938272984565151e-05,0.6005785325261839
2013-06-14,7.978958283363962e-05,0.6332048850382684,6.781428555932651e-05,0.7495272310668137,4.657769034096813e-05,4.020564416607545e-05,0.58375653420926
2013-06-17,6.406673037804978e-05,0.6440244898699721,6.611834769293013e-05,0.7469782445006893,4.191598328625619e-05,3.948241580815999e-05,0.6542550718432985
2013-06-18,5.269216623890948e-05,0.6551465655995362,6.723552514956696e-05,0.7040427333723597,3.899517700669182e-05,3.683833633776883e-05,0.7400564408357272
2013-06-19,5.313666894497608e-05,0.6661930929855239,6.946336887770248e-05,0.6328790262750582,4.047391446959338e-05,3.1462755828039985e-05,0.7616946126507254
2013-06-20,6.610900161714408e-05,0.6835374025450254,7.249557090024848e-05,0.579048898515493,4.732039052577355e-05,2.0150616496979357e-05,0.7157934527557882
2013-06-21,6.524441916700448e-05,0.6881329073272558,6.876873773297686e-05,0.6041489669032454,4.60934842228825e-05,2.1199861274494715e-05,0.7064739760330793
2013-06-24,5.5679700730278476e-05,0.6148129709703671,6.563429111621397e-05,0.665452543886351,3.716694517976003e-05,2.4978059747894377e-05,0.6675133790643516
2013-06-25,5.683904438603972e-05,0.5770012492575072,6.49942867823032e-05,0.6687320548672301,3.507015848236477e-05,2.4039234975569274e-05,0.6170082354688282
2013-06-26,5.616484134519195e-05,0.5600395032293395,6.225436738666412e-05,0.65008194926966,3.3115845065894876e-05,2.2137636247457624e-05,0.5896187770274863
2013-06-27,5.600093181678947e-05,0.5564650056172703,6.0767391808371706e-05,0.6220431887816669,3.246166435948582e-05,2.095619092078553e-05,0.5796629324970194
2013-06-28,5.651835513949762e-05,0.5499813177510453,6.128000573102858e-05,0.5843981923118988,3.2366973547807666e-05,1.96319769267479e-05,0.5726807418213086
2013-07-01,4.0959150997653995e-05,0.5349960670904392,6.042488821291904e-05,0.5845931857660426,2.661546083676335e-05,2.005059027520392e-05,0.6498049932306409
2013-07-02,4.708768430286185e-05,0.5254408822599927,5.974264175904551e-05,0.5864243902202275,2.7868894289189954e-05,2.0086887877755483e-05,0.5918510264794687
2013-07-03,4.5307854285029834e-05,0.5216699982881472,5.940865325886002e-05,0.5866652963994481,2.7064964515798803e-05,2.009490024459592e-05,0.5973570133234347
2013-07-05,5.048108536897671e-05,0.5274925795895076,5.963592406262975e-05,0.6299049088270295,2.8942408777357018e-05,2.12556220573805e-05,0.5733317452628238
2013-07-08,5.858594159480322e-05,0.522558720010188,6.390323273197927e-05,0.5836856014871388,3.197372392892968e-05,1.9958575421086825e-05,0.5457576179293816
2013-07-09,6.185296409698371e-05,0.5257274291373966,6.08801541557725e-05,0.5794848867117923,3.226106991598661e-05,1.9326775063154916e-05,0.5215767811127395
2013-07-10,6.043816195282401e-05,0.5327632480896953,5.881255791339569e-05,0.5774559326542517,3.176324878928813e-05,1.939262784576668e-05,0.5255495495392704
2013-07-11,6.428746384905295e-05,0.5388510429500104,5.906983846503069e-05,0.5411744511933222,3.3205862554268514e-05,1.609303725718171e-05,0.5165215823762456
2013-07-12,6.999194674271863e-05,0.5429841059855028,5.7464334090099075e-05,0.5556777989849448,3.4435813176978903e-05,1.6900934067626713e-05,0.49199679076737945
2013-07-15,7.060701256657018e-05,0.5534165957949413,5.756282088133421e-05,0.5891123771113536,3.5281507323104455e-05,1.7979410498302808e-05,0.49968843094501564
2013-07-16,3.5042919617133015e-05,0.5353611995663781,5.585318624933943e-05,0.6923185928677521,2.368487026855328e-05,2.2728315472074892e-05,0.6758817623453208
2013-07-17,3.792838595062833e-05,0.5297936314303775,5.436539897507339e-05,0.6978089399448321,2.4057483909496533e-05,2.294182443841998e-05,0.6342870466676949
2013-07-18,3.7451029819475974e-05,0.48587120725660743,5.307552955182087e-05,0.6711023417629375,2.1662082906550837e-05,2.399082294674578e-05,0.5784108744397123
2013-07-19,4.0860668714576163e-05,0.4489607752962173,5.129794708296446e-05,0.6276267450773984,2.055469925845254e-05,2.2729829191235055e-05,0.5030436335252657
2013-07-22,3.950888193740232e-05,0.44195207803934106,5.012155610160786e-05,0.6417820464633528,1.966685080041089e-05,2.327458827818723e-05,0.49778302589202483
2013-07-23,3.3171208880188284e-05,0.46704215448832026,5.027478404222535e-05,0.6777786491224927,1.9072685059480673e-05,2.463934177420718e-05,0.5749770871592188
2013-07-24,3.471216593235655e-05,0.487350826466135,5.043256489874395e-05,0.6723230797658031,2.0390979663260182e-05,2.4443875148501416e-05,0.5874303465533093
2013-07-25,3.488954269695917e-05,0.5027753324675781,5.091335958100893e-05,0.6751049696149575,2.1190318194533983e-05,2.479725468043628e-05,0.607354426470624
2013-07-26,3.343176772700175e-05,0.5027641064550228,5.099038379436504e-05,0.6772468989269084,2.0758122742771957e-05,2.5282265446807567e-05,0.6209101149624912
2013-07-29,3.360094972876798e-05,0.5001246088924877,5.014685463727869e-05,0.6403740629444171,2.0529380782861605e-05,2.468000743157034e-05,0.6109762059875663
2013-07-30,3.816574763863081e-05,0.5200432077859916,4.936906708728695e-05,0.6381326299880282,2.2573753374203722e-05,2.4608970010488733e-05,0.591466295588951
2013-07-31,3.750748633018741e-05,0.528778858661565,5.065448302021271e-05,0.6396848397030478,2.304846496755165e-05,2.589924462958215e-05,0.6145030558606481
2013-08-01,4.226173154810077e-05,0.5273090463986211,4.9865739536349474e-05,0.6179928347846417,2.420694579390473e-05,2.3945482319733264e-05,0.5727864171006165
2013-08-02,4.130983358011611e-05,0.5221106068048055,5.1220867765836504e-05,0.6373017251935303,2.4016665245078725e-05,2.5639387017092696e-05,0.5813788912632851
