Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_KO,Predicted_Covariance,Future_Cov_45_KO,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.6118176603273527,0.0001477868106119493,0.9219003588719008,5.5149011458677015e-05,5.0491306520171104e-05,1.0030947614156662
2013-03-01,5.488021190183326e-05,0.6112381703211903,0.0001479687666010022,0.9219266089017164,5.508119879099638e-05,5.0444717467542e-05,1.0036622834023061
2013-03-04,5.501029900576039e-05,0.6072744552904245,0.00014909300943552028,0.9402362458711548,5.4996576578038345e-05,5.140484269455339e-05,0.9997505480251869
2013-03-05,5.845535101370509e-05,0.596405708396133,0.00014933003305712893,0.9669660028133288,5.572210426316291e-05,5.182432439189052e-05,0.9532421463023742
2013-03-06,5.9250468430820016e-05,0.5844418403907042,0.00015065662650776544,0.9768049825187964,5.521808145039716e-05,5.271253324529813e-05,0.931943373829508
2013-03-07,5.369174155549812e-05,0.5858864795825228,0.00015035292894099322,0.9741658851337374,5.264088328392041e-05,5.26555481255089e-05,0.9804279347040458
2013-03-08,4.524810700565277e-05,0.5147397973210741,0.00011261879846442838,0.9770038155576348,3.6744589453619466e-05,5.259679725810051e-05,0.8120690982504313
2013-03-11,4.8373919939468494e-05,0.5259146945275558,7.46156395962063e-05,0.9687723717860298,3.159627458244936e-05,5.3821457379924826e-05,0.6531675461072118
2013-03-12,5.1431479865635213e-05,0.5368043875151475,6.287120032873696e-05,0.9636656004239283,3.0525054157537867e-05,5.3601117378132236e-05,0.5935091550405432
2013-03-13,5.5261000285198275e-05,0.5350483130902814,0.00010102308075582961,0.9457797686439712,3.9977227743902445e-05,5.3392954080591535e-05,0.7234256987311609
2013-03-14,6.195858588029715e-05,0.5588258463372301,0.00010678656425140744,0.895807840955915,4.545540586937413e-05,5.165300689067341e-05,0.7336417580154773
2013-03-15,6.386120353979619e-05,0.5778608334227789,0.0001264865551118788,0.9033886380379756,5.1935461061602786e-05,5.106624866191429e-05,0.813255281498701
2013-03-18,6.402550064969363e-05,0.6005544832646149,0.00013137862910803016,0.9114725947491176,5.507966217597939e-05,5.046755946961258e-05,0.8602769461708685
2013-03-19,6.71640875084588e-05,0.5928315265855018,9.603749056188583e-05,0.921593370908715,4.761241960831593e-05,5.2424628298527604e-05,0.7088969920468214
2013-03-20,6.839791392936718e-05,0.6081748092606634,6.75027494534116e-05,0.914316450635747,4.132478350125288e-05,5.1776608086416e-05,0.6041819278863966
2013-03-21,6.814178529168062e-05,0.5863517817772305,7.636210872315721e-05,0.960809340075086,4.229645404482842e-05,5.233089133586546e-05,0.6207124433822598
2013-03-22,6.79733209422515e-05,0.570215963603043,8.100728366734183e-05,0.986747511810692,4.231269140980415e-05,5.3244654617159416e-05,0.6224896889435783
2013-03-25,7.243408887933498e-05,0.5624422248561867,8.486423290257108e-05,1.0701536635486266,4.409727604917828e-05,5.8516034151687846e-05,0.6087917544270923
2013-03-26,7.339742545776695e-05,0.569385365794177,9.452209574458937e-05,1.0338451029845466,4.742566019124309e-05,5.56346102786654e-05,0.6461488246414301
2013-03-27,7.311742529462491e-05,0.5880980256477923,0.00010931943755700671,1.0477185232088917,5.257858095347807e-05,6.218551772446724e-05,0.7190978175395801
2013-03-28,6.422356192814954e-05,0.5985850956354978,0.00011009084353375322,1.0717392595772917,5.033252210280005e-05,6.400070698272171e-05,0.7837080440837247
2013-04-01,6.678777769649997e-05,0.6043502457032989,0.00012103425021166868,1.03550841673193,5.4336460084275815e-05,6.205581684436602e-05,0.8135689187203384
2013-04-02,6.451960799026473e-05,0.6142365843503796,0.0003068427853172665,1.0510587995280842,8.642502183418745e-05,6.790647823284282e-05,1.3395156065924643
2013-04-03,6.836168011312682e-05,0.6370016913822665,0.0005663562517118506,1.0270060929201756,0.00012534060850242056,6.50707808540626e-05,1.833492218081876
2013-04-04,6.901245142532413e-05,0.640540424540917,0.000836923550983226,1.032581278493922,0.00015394059649752312,6.832738515966955e-05,2.2306206100227675
2013-04-05,6.697476452894188e-05,0.6360984757632318,0.0007102639214916166,1.022716022611058,0.00013873621120355276,6.693030261343824e-05,2.071469936166786
2013-04-08,7.273438811092278e-05,0.6280300892822777,0.0006055044363082466,0.990059641392703,0.0001317980579769358,6.70772003548428e-05,1.8120460128974842
2013-04-09,7.022991067372413e-05,0.612238073267757,0.0005260598856417939,0.9974728402778203,0.00011767900419294903,6.931223881486542e-05,1.675625144102277
