Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_WFC,Predicted_Covariance,Future_Cov_45_WFC,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.5719248112519578,8.428071208397947e-05,0.6998975367721706,3.893148059296451e-05,3.83324951788923e-05,0.7081172119688834
2013-03-01,5.488021190183326e-05,0.5806784698085581,8.746495949945691e-05,0.696111893416255,4.023098475872145e-05,3.808889715311604e-05,0.7330690491990893
2013-03-04,5.501029900576039e-05,0.6021919697329117,9.384424496659416e-05,0.6957603389736808,4.326739863395037e-05,3.80387917771808e-05,0.7865326932583958
2013-03-05,5.845535101370509e-05,0.6207780235583742,9.354352924683124e-05,0.7116754014773502,4.5904508925438765e-05,3.814208230753173e-05,0.7852918189589909
2013-03-06,5.9250468430820016e-05,0.6289086366059258,9.122287405925348e-05,0.733776148218052,4.6236540120767016e-05,3.9597668213989065e-05,0.7803573768324233
2013-03-07,5.369174155549812e-05,0.6039353371426364,9.502225023894607e-05,0.7325813557206514,4.3137685762157296e-05,3.9597437582926105e-05,0.8034324183276549
2013-03-08,4.524810700565277e-05,0.5760073884294893,7.102641632033917e-05,0.7334027672306535,3.2654137179079595e-05,3.948258547439094e-05,0.7216685810745667
2013-03-11,4.8373919939468494e-05,0.5681607636265535,8.070336382432138e-05,0.744007919784956,3.549953774475999e-05,4.1334364718935955e-05,0.7338569582366171
2013-03-12,5.1431479865635213e-05,0.5676031535956445,9.099726795405523e-05,0.743023381799364,3.883054506921066e-05,4.132853085655852e-05,0.7549956791182266
2013-03-13,5.5261000285198275e-05,0.5740624166168112,9.150893382214504e-05,0.7381687782182312,4.082255976508579e-05,4.1672504515127616e-05,0.7387227801596664
2013-03-14,6.195858588029715e-05,0.5742305534150234,9.468431820550885e-05,0.7627499243239765,4.398211129621842e-05,4.398077946596774e-05,0.7098630588695335
2013-03-15,6.386120353979619e-05,0.5380874820409446,0.0001435730418019507,0.8649806661534585,5.152380040551147e-05,4.889514426645217e-05,0.8068091039562626
2013-03-18,6.402550064969363e-05,0.5398515219072735,0.00013600992437812564,0.8442996835604488,5.037744310151807e-05,4.674824535123862e-05,0.78683403628737
2013-03-19,6.71640875084588e-05,0.5352265336575873,0.00013331931291461703,0.8657467061394094,5.064688366131749e-05,4.924780353539299e-05,0.7540768517839077
2013-03-20,6.839791392936718e-05,0.5353028139348084,0.00012699740180962507,0.8824134024627975,4.989055928650038e-05,4.996997798491833e-05,0.7294163874357501
2013-03-21,6.814178529168062e-05,0.5879336075428732,0.00012070453144886825,0.8730737328165052,5.332082093400268e-05,4.755233399026727e-05,0.7824981500816736
2013-03-22,6.79733209422515e-05,0.6180497868563193,0.00011550174552807114,0.8914927996446068,5.476296817879637e-05,4.810473362497616e-05,0.8056538568318837
2013-03-25,7.243408887933498e-05,0.6401871432349246,0.00011161116139465385,0.8635324629705157,5.7561521179089604e-05,4.721798075868337e-05,0.7946744698477399
2013-03-26,7.339742545776695e-05,0.6574606545136487,0.00010686057567367467,0.8864476563307266,5.822626542115482e-05,4.770266817536326e-05,0.793301196302292
2013-03-27,7.311742529462491e-05,0.6752468883779967,0.00010718747793715725,0.9143405879471158,5.977850681704849e-05,5.4269101460420155e-05,0.8175685423299908
2013-03-28,6.422356192814954e-05,0.7015309256680252,0.00010266032244920333,0.9141729993883416,5.6963324417806736e-05,5.4591373547746175e-05,0.8869536772428592
2013-04-01,6.678777769649997e-05,0.72230080464284,9.901344960693347e-05,0.9244475061632343,5.873726099763395e-05,5.540017270525719e-05,0.8794612281389338
2013-04-02,6.451960799026473e-05,0.7358910620110869,9.675921126009999e-05,0.9529732492927628,5.814408598529874e-05,6.156939767654846e-05,0.9011847374223355
2013-04-03,6.836168011312682e-05,0.7531225666998621,9.622171759834653e-05,1.00073623059852,6.108134301235202e-05,6.34063306955064e-05,0.8935026598420769
2013-04-04,6.901245142532413e-05,0.7648863036187652,0.00010574790384694331,0.982435677912355,6.534261265642335e-05,6.500917880016882e-05,0.9468235268693248
2013-04-05,6.697476452894188e-05,0.7802535810312272,0.00010607521759570353,0.9750185235869456,6.576553143951058e-05,6.380880263396414e-05,0.9819449445184872
2013-04-08,7.273438811092278e-05,0.7864767002632218,0.00010705019872803403,1.0187210866147731,6.939840590046176e-05,6.901903236499884e-05,0.9541347319046183
2013-04-09,7.022991067372413e-05,0.7964814923069247,0.00010909489472664719,1.0192254419961109,6.971704330395512e-05,7.08237802466328e-05,0.9926973085278193
2013-04-10,6.636144982931065e-05,0.7893168173272496,0.00010482334099532361,1.0570381930930508,6.583218772705278e-05,7.52615753858259e-05,0.9920245548640182
2013-04-11,6.716170407401359e-05,0.7934845134473951,0.00010629388147311903,1.091880378624258,6.704300029446538e-05,7.878119003400275e-05,0.9982325674849258
2013-04-12,6.98842565011876e-05,0.8052279657788449,0.00011002016520094007,1.089461109678818,7.060649783906792e-05,7.960047333768185e-05,1.0103348218045083
2013-04-15,9.593981606210937e-05,0.845392443236514,0.00011755624692525063,1.1466232527348894,8.978021858229464e-05,6.920591946068772e-05,0.9357972765360824
2013-04-16,8.836558039441448e-05,0.8594812747207362,0.00011833002537934996,1.1099936592203192,8.788716696442492e-05,6.809217209218153e-05,0.994585975355402
2013-04-17,8.959564094882932e-05,0.8750616540024262,0.00012109875815620969,1.0144005777408875,9.11490062632087e-05,7.209156150900403e-05,1.0173375099271467
2013-04-18,9.719405369416862e-05,0.8803599227424057,0.00011964050821092118,0.987664595890548,9.493344390376923e-05,6.928137872745245e-05,0.9767412747541877
2013-04-19,7.72897485213767e-05,0.8700321693465516,0.00011999691242853092,1.0588349782318285,8.37878977074773e-05,7.683755839993276e-05,1.084075175691681
2013-04-22,7.797978274745508e-05,0.8581816633406264,0.00011982488542717926,1.0674406730198065,8.295522630541403e-05,7.915127077514973e-05,1.0638042757065944
