Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_EWJ,Predicted_Covariance,Future_Cov_45_EWJ,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.5007373892452313,0.00012271065175011739,0.7842101192473375,4.112908396831026e-05,4.2950187757372354e-05,0.7480889970502981
2013-03-01,5.488021190183326e-05,0.5030430492476219,0.00013811352568636614,0.7760672956040032,4.379566733389342e-05,4.24637873389732e-05,0.7980229269564908
2013-03-04,5.501029900576039e-05,0.5068622613950012,0.00015056200789167695,0.7700950620409973,4.612853463374014e-05,4.210283925758636e-05,0.8385436085142858
2013-03-05,5.845535101370509e-05,0.5079114867600983,0.00016119085404402755,0.7962471361232845,4.930266206155113e-05,4.2674685313143214e-05,0.843424275221475
2013-03-06,5.9250468430820016e-05,0.5038101650198701,0.00016897615997079802,0.8077616952643396,5.041102616574369e-05,4.359024163257724e-05,0.8508122804902862
2013-03-07,5.369174155549812e-05,0.5036690582805395,0.00016329626456732053,0.8072801234826643,4.7161449270213234e-05,4.3635050294306315e-05,0.878374362684159
2013-03-08,4.524810700565277e-05,0.4784325293691277,0.00014548545122220087,0.8068482590123259,3.881777965078766e-05,4.343650825263239e-05,0.8578873729665247
2013-03-11,4.8373919939468494e-05,0.4812389856217324,0.00013936552916004756,0.7925096160947394,3.9513375123680144e-05,4.402894195587604e-05,0.8168321933207858
2013-03-12,5.1431479865635213e-05,0.48629394584208774,0.00013970629822881043,0.7799766598036213,4.1221269798724056e-05,4.3383950278961505e-05,0.8014793645140031
2013-03-13,5.5261000285198275e-05,0.487257636168828,0.00013514942074935993,0.8114254705329587,4.2109018546473994e-05,4.580813031146315e-05,0.7620024670047991
2013-03-14,6.195858588029715e-05,0.49582151549561415,0.00013195934557771254,0.8320990638648275,4.483283409265368e-05,4.7979507115798765e-05,0.7235935658581669
2013-03-15,6.386120353979619e-05,0.4981548380510275,0.0001305370776582277,0.8651754440732452,4.548307776465048e-05,4.890615456397741e-05,0.7122176727581861
2013-03-18,6.402550064969363e-05,0.4999796669185443,0.00013119686453269785,0.8598088025021429,4.582374319664681e-05,4.7606973728833646e-05,0.7157108141545798
2013-03-19,6.71640875084588e-05,0.5005721029192287,0.00013276179198561425,0.8909008957942315,4.72684928209058e-05,5.06786938655876e-05,0.7037762973397457
2013-03-20,6.839791392936718e-05,0.5038828402994814,0.00013363647969330162,0.962753588881713,4.8174088960766186e-05,5.451954322888762e-05,0.7043210266692398
2013-03-21,6.814178529168062e-05,0.5173730610580181,0.00013470580749198627,1.0138432071198835,4.956826586802978e-05,5.521940356996272e-05,0.7274283415947062
2013-03-22,6.79733209422515e-05,0.52567650261052,0.00013297362514514183,1.003421596787177,4.9977043787587765e-05,5.414438416803583e-05,0.7352449916349837
