Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_GOOG.L,Predicted_Covariance,Future_Cov_45_GOOG.L,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.5446763838485292,0.0001425818242631287,0.9977166547055591,4.822458665473096e-05,5.464366831862541e-05,0.8771477305815869
2013-03-01,5.488021190183326e-05,0.5446725403445625,0.0001422771035935207,1.0031697657628065,4.812944773899699e-05,5.489006924983945e-05,0.876990923888711
2013-03-04,5.501029900576039e-05,0.5545629323305683,0.0001405362837236482,0.9655522795201792,4.876037901556198e-05,5.278892752758619e-05,0.8863863657686363
2013-03-05,5.845535101370509e-05,0.5519569499724326,0.00013839688953617263,0.9461822479042052,4.964557067133771e-05,5.071042374454784e-05,0.8492904380934794
2013-03-06,5.9250468430820016e-05,0.5653628007857889,0.0001369041948475998,0.946119880014628,5.0919191775582575e-05,5.105663517471741e-05,0.8593888474491148
2013-03-07,5.369174155549812e-05,0.5747263166016892,0.00013936680250857834,0.9521410882680784,4.9715807463755867e-05,5.1465065304243624e-05,0.9259488707842983
2013-03-08,4.524810700565277e-05,0.6115272624625167,0.0001439371018827749,0.9599542945981722,4.935173298582019e-05,5.167893984242509e-05,1.0906916609716901
2013-03-11,4.8373919939468494e-05,0.6167655588976133,0.00014932639749977447,0.9629221485117504,5.241964177660921e-05,5.3496440325568336e-05,1.0836343600477951
2013-03-12,5.1431479865635213e-05,0.6179584427289482,0.00015311384678424358,0.9954272729712008,5.4837925128038985e-05,5.536776873269243e-05,1.0662326900043146
2013-03-13,5.5261000285198275e-05,0.6251320380016141,0.00015619215914955252,1.0182807449630824,5.807787828516909e-05,5.748591676360004e-05,1.050974068247645
2013-03-14,6.195858588029715e-05,0.6253660271338217,0.00015529679136847775,1.0194903835540503,6.134317839551814e-05,5.878464264222036e-05,0.9900674381760751
2013-03-15,6.386120353979619e-05,0.6188352187003221,0.00015390404506750014,1.0092965359653945,6.135056812784987e-05,5.705295119845279e-05,0.9606860617592061
2013-03-18,6.402550064969363e-05,0.6222585511424826,0.0001529399769809314,0.999831810682004,6.157548982106029e-05,5.535994351985217e-05,0.9617338278690202
2013-03-19,6.71640875084588e-05,0.6314817372897406,0.00015235616946107346,1.0556273118954207,6.387918654034399e-05,6.004911840166947e-05,0.9510914077750093
2013-03-20,6.839791392936718e-05,0.6267893271735777,0.00015414796908225697,1.0718545231289174,6.435939079848336e-05,6.0697793998029493e-05,0.9409554634216725
