Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_UNH,Predicted_Covariance,Future_Cov_45_UNH,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.3738941884683019,0.00017489423981071833,0.4787502450759168,3.66635364062178e-05,2.6220540146349987e-05,0.6668660113990716
2013-03-01,5.488021190183326e-05,0.3790572650130509,0.00017516810468655198,0.4893648469862635,3.716552140462679e-05,2.6776395438002444e-05,0.6772116964691473
2013-03-04,5.501029900576039e-05,0.3734361225714177,0.00017465966734538538,0.5038105950696131,3.6604513754745855e-05,2.7544465022625546e-05,0.6654120122290705
2013-03-05,5.845535101370509e-05,0.3752148156746695,0.00017608184273276622,0.5536001190999414,3.806706574480567e-05,2.9670073272641307e-05,0.6512161005735932
2013-03-06,5.9250468430820016e-05,0.37764155569116786,0.00017532414534929345,0.5692175145926716,3.848987825455335e-05,3.071738750185454e-05,0.649613062544705
2013-03-07,5.369174155549812e-05,0.3671453214884995,0.00017676626384548067,0.5777877231595502,3.5767734674648406e-05,3.123054269035418e-05,0.6661682716638521
2013-03-08,4.524810700565277e-05,0.4113569647499622,0.00018092918561152087,0.5861553010712782,3.7219743547247065e-05,3.155554875147582e-05,0.8225701805071595
2013-03-11,4.8373919939468494e-05,0.36919833790016393,0.00015338034144278545,0.5124500112368885,3.180169206951213e-05,2.846985240534899e-05,0.6574139972387267
2013-03-12,5.1431479865635213e-05,0.3686328318111769,0.00016244351999886912,0.5169275103791908,3.3694554503448705e-05,2.8752600640337867e-05,0.6551348433192231
2013-03-13,5.5261000285198275e-05,0.37239742587620994,0.00016956182406227782,0.495423590891115,3.604790926218679e-05,2.7968592600386494e-05,0.6523209691490559
2013-03-14,6.195858588029715e-05,0.3471264568727488,0.0001741424568730406,0.5093740352246485,3.605710027505978e-05,2.9370920133175783e-05,0.5819548616671374
2013-03-15,6.386120353979619e-05,0.31655467483381683,0.00017686224733268384,0.5154040311837472,3.364223581045773e-05,2.913447137761742e-05,0.5268024081239403
2013-03-18,6.402550064969363e-05,0.2974129828362562,0.00017926593966199463,0.5317615947781098,3.1862900340013116e-05,2.9443243892052498e-05,0.4976595265431257
2013-03-19,6.71640875084588e-05,0.30635626349853246,0.000182626596927142,0.5624390859430909,3.392949038251251e-05,3.1994218873402325e-05,0.5051731012982102
2013-03-20,6.839791392936718e-05,0.3098634484484203,0.00018522244136596406,0.5853168450071395,3.487695653330707e-05,3.3145767933235524e-05,0.5099125767099218
2013-03-21,6.814178529168062e-05,0.2924445913816608,0.00018932297056922608,0.618014430846344,3.3216357238998435e-05,3.366042010175424e-05,0.4874594508614055
2013-03-22,6.79733209422515e-05,0.2896340175697845,0.0001951538844105596,0.6949463280445429,3.33585690456006e-05,3.749913404523852e-05,0.4907597360726459
2013-03-25,7.243408887933498e-05,0.28514119765302537,0.00019583013290166493,0.7055914323629005,3.3960277438746666e-05,3.858176050752698e-05,0.4688438546568829
2013-03-26,7.339742545776695e-05,0.2960426083338243,0.00020143300268524866,0.7030011535492859,3.5996472891354356e-05,3.78308076231718e-05,0.4904323641715037
2013-03-27,7.311742529462491e-05,0.28639622930524766,0.00019513294699327407,0.8518268059364904,3.4209209802113505e-05,5.0558704237186144e-05,0.4678667180124069
2013-03-28,6.422356192814954e-05,0.3111486545125426,0.00020066025319373905,0.8412388645455431,3.532204174905444e-05,5.023598938933325e-05,0.5499857169020175
2013-04-01,6.678777769649997e-05,0.34082101155506384,0.00021558098567022328,0.9121454050023038,4.0895929568783385e-05,5.466293394977436e-05,0.6123265510438828
2013-04-02,6.451960799026473e-05,0.38350680164581286,0.0002432675692695651,0.8358101481905222,4.804642057774401e-05,5.399976067977551e-05,0.7446793629774326
2013-04-03,6.836168011312682e-05,0.3780246663028592,0.00023846235056069947,0.855516348355169,4.826545591124993e-05,5.420524493929544e-05,0.7060308616081247
2013-04-04,6.901245142532413e-05,0.38275964853727,0.00023080646065202394,0.8541700544312256,4.830742129755495e-05,5.6521658407466165e-05,0.6999812396148057
2013-04-05,6.697476452894188e-05,0.42530159618937474,0.00022485161047135782,0.8574780369656669,5.21916000824265e-05,5.611652035328971e-05,0.7792726178211927
2013-04-08,7.273438811092278e-05,0.4482052940287372,0.00021757092632576478,0.8231733490431701,5.638288669599848e-05,5.5770542856250345e-05,0.7751888502865024
2013-04-09,7.022991067372413e-05,0.4713493562037397,0.00021442205186898057,0.8057608862227752,5.7841387203149254e-05,5.5990588132700606e-05,0.8236004666426278
2013-04-10,6.636144982931065e-05,0.48152743850720925,0.00021178721684852753,0.7952652335850193,5.708589885347943e-05,5.6623227732241996e-05,0.8602268184361702
2013-04-11,6.716170407401359e-05,0.502938342806734,0.0001967497946823421,0.7906718239449853,5.781396347902949e-05,5.704843537460158e-05,0.8608173999771851
2013-04-12,6.98842565011876e-05,0.5011583905505443,0.00019799478497103886,0.7999073715045341,5.895105152188905e-05,5.844449593692534e-05,0.8435526751420365
2013-04-15,9.593981606210937e-05,0.44114769780679036,0.00020719248511527743,0.7942019872505905,6.219714609473371e-05,4.793508123447294e-05,0.6482933639821512
