Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_BLK,Predicted_Covariance,Future_Cov_45_BLK,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.800115918308665,0.00024749472550661714,1.948441778825185,9.333268710918047e-05,0.00010671367045756808,1.697610293127679
2013-03-01,5.488021190183326e-05,0.7885937850330689,0.0002548416325802277,1.9663409175277191,9.32602186106542e-05,0.00010759154912311188,1.6993414452821902
2013-03-04,5.501029900576039e-05,0.7806429202538415,0.000259226760741043,1.9445052840338128,9.322112606060639e-05,0.00010631050300754254,1.694612240715957
2013-03-05,5.845535101370509e-05,0.7754959026402857,0.00026195918144330995,1.9559252819466024,9.596402523139945e-05,0.00010482737345779135,1.64166365554627
2013-03-06,5.9250468430820016e-05,0.7646039625412631,0.0002668823667648951,1.9546244278724976,9.614847021099484e-05,0.00010547981120102257,1.6227461614629495
2013-03-07,5.369174155549812e-05,0.7854886991974742,0.0002742101946288922,1.9538629443559528,9.530934507567737e-05,0.0001056100668964191,1.7751211324959817
2013-03-08,4.524810700565277e-05,0.7929648238965856,0.00026470252640804944,1.9649528679380608,8.67827030142738e-05,0.00010578282906466757,1.9179300253032063
2013-03-11,4.8373919939468494e-05,0.7988371004514309,0.00027402258817517524,1.9648931506960765,9.19723004491227e-05,0.00010916229244990534,1.9012786345247596
2013-03-12,5.1431479865635213e-05,0.7992919791977277,0.0002635013268741865,1.9894871145705737,9.304892680187068e-05,0.0001106594780424528,1.8091823732266907
2013-03-13,5.5261000285198275e-05,0.7989121694079041,0.00027083534846187283,1.999864108466691,9.773746725967608e-05,0.00011290012331716595,1.7686517934032977
2013-03-14,6.195858588029715e-05,0.8128730211985407,0.00025856181781116013,2.0018383461771405,0.00010288585109549467,0.00011542762315940763,1.6605584138777514
2013-03-15,6.386120353979619e-05,0.8104992026980781,0.0002608138369240309,2.04721058338768,0.00010460114912480315,0.00011572357711032333,1.6379451580429294
