Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_HEDJ,Predicted_Covariance,Future_Cov_45_HEDJ,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.8111359631016835,0.00011307674304274243,1.0573939164284514,6.395554253555205e-05,5.791211580857131e-05,1.1632750612217062
2013-03-01,5.488021190183326e-05,0.814241099155996,0.00011169128405794493,1.0598775447196176,6.374858531320646e-05,5.799292782889274e-05,1.1615951014773132
2013-03-04,5.501029900576039e-05,0.8144115052711614,0.0001098713737320409,1.0556609138084498,6.331522877193456e-05,5.7715370420369886e-05,1.150970453101964
2013-03-05,5.845535101370509e-05,0.8182946639850488,0.00011086232087025912,1.053743795337894,6.587397014599904e-05,5.6475160570950325e-05,1.1269108645084456
2013-03-06,5.9250468430820016e-05,0.8162702010221088,0.00010040708516976987,1.051080784443544,6.295960812898381e-05,5.6720770046244176e-05,1.0626010189690658
2013-03-07,5.369174155549812e-05,0.8039008225258554,8.675120875592174e-05,1.057135479088656,5.486482343981455e-05,5.714021497138929e-05,1.0218484603093734
2013-03-08,4.524810700565277e-05,0.8269446321058368,0.0001310716404719546,1.0496030131067615,6.368409878784632e-05,5.650515996230617e-05,1.4074422777485558
2013-03-11,4.8373919939468494e-05,0.8174219273243,0.00016993876093985148,1.042032199952142,7.411364073195618e-05,5.7891506066422395e-05,1.5320991316125807
2013-03-12,5.1431479865635213e-05,0.812025824322963,0.00015992744071231945,1.0424850649583923,7.364543725875534e-05,5.798522257845754e-05,1.4319136344346715
2013-03-13,5.5261000285198275e-05,0.8067058773983002,0.00015777525751772378,1.0401837430865473,7.532584996126653e-05,5.8722426373770896e-05,1.3630924082538305
2013-03-14,6.195858588029715e-05,0.8085892929157008,0.00014395472473714084,1.0379060971905376,7.636453234150875e-05,5.9846507631420605e-05,1.2325092843313699
2013-03-15,6.386120353979619e-05,0.8113030159098543,0.0001356193515404626,1.0382774021841727,7.550269813573935e-05,5.8691165427026675e-05,1.1822936924245182
2013-03-18,6.402550064969363e-05,0.8074677385461843,0.00012565847526386335,1.0498415501200389,7.242651092884939e-05,5.8128945587153523e-05,1.1312135038993398
2013-03-19,6.71640875084588e-05,0.8094399974032513,0.00011799529194575126,1.0370026350696633,7.205855678147277e-05,5.898965791661001e-05,1.0728733085579039
2013-03-20,6.839791392936718e-05,0.8113432415968385,0.00011337383396827394,1.0312462655402332,7.144674828588176e-05,5.839819866997917e-05,1.0445749611554387
2013-03-21,6.814178529168062e-05,0.8146678364510707,0.000113594331614836,1.013377503081589,7.167466216337889e-05,5.5194038800485435e-05,1.0518459687631576
2013-03-22,6.79733209422515e-05,0.8150395535755013,0.00010895375238406077,1.02908547454831,7.014052717322812e-05,5.5529200740839834e-05,1.0318831888884437
2013-03-25,7.243408887933498e-05,0.8172168713189799,0.00010912428880338116,1.0290158655793935,7.265567434434522e-05,5.626661813519659e-05,1.003059132356581
2013-03-26,7.339742545776695e-05,0.813553217937618,0.00010984142116682705,1.0381676447457946,7.304818878581533e-05,5.586722048845975e-05,0.9952418402992546
2013-03-27,7.311742529462491e-05,0.8142580314959312,0.000111793734157444,1.037422070653793,7.361752752173365e-05,6.157438962213744e-05,1.0068397133117528
2013-03-28,6.422356192814954e-05,0.8155233328746258,0.0001447944934526992,1.0329759454127418,7.864291599858159e-05,6.168589067889119e-05,1.224518130691097
2013-04-01,6.678777769649997e-05,0.8141316060524679,0.0001707472486597038,1.034337248590787,8.694006665768997e-05,6.198563122879151e-05,1.3017361807240682
2013-04-02,6.451960799026473e-05,0.8139914432599354,0.00014604183153873418,1.032485742311129,7.901405221237067e-05,6.670651596033535e-05,1.224651771354423
2013-04-03,6.836168011312682e-05,0.8060409364638249,0.0001315918610092326,1.0547129139526816,7.645008581340833e-05,6.682627626153619e-05,1.118317830791996
2013-04-04,6.901245142532413e-05,0.7975335548542121,0.00012428490671946378,1.0450110479464811,7.386214010635597e-05,6.914988084356325e-05,1.0702726621192338
2013-04-05,6.697476452894188e-05,0.8119369952711916,0.00012610163952818542,1.019532505200246,7.46170876757768e-05,6.672196151095209e-05,1.1141075030361987
2013-04-08,7.273438811092278e-05,0.8211042985438798,0.00011317227103341169,1.0458605658281512,7.449690599398957e-05,7.085775016402064e-05,1.0242322500930219
2013-04-09,7.022991067372413e-05,0.8165339248247855,0.00010284559778555112,1.0418917226484037,6.939499433876465e-05,7.239881125918542e-05,0.988111670270544
2013-04-10,6.636144982931065e-05,0.8131597184075439,8.649331149879746e-05,0.9951449634717596,6.160628946339572e-05,7.085475073421656e-05,0.9283445377075734
2013-04-11,6.716170407401359e-05,0.8119784679631002,8.506393023748139e-05,0.99583243882303,6.137310398117663e-05,7.185115342377541e-05,0.9138110002918062
2013-04-12,6.98842565011876e-05,0.8332743073315183,8.671970379642243e-05,0.9928213136757252,6.486890375766738e-05,7.253957558120198e-05,0.928233439194778
2013-04-15,9.593981606210937e-05,0.8459541352614312,8.245219306977355e-05,1.0201559007599004,7.52397535313085e-05,6.157281996238969e-05,0.7842390846632425
2013-04-16,8.836558039441448e-05,0.8496263698240837,8.388108766461998e-05,1.0523671380985098,7.314785189412314e-05,6.455709334582532e-05,0.8277866966711708
2013-04-17,8.959564094882932e-05,0.8598432912352372,9.298732321123373e-05,1.0151394022297764,7.84828237925614e-05,7.214406839065808e-05,0.8759669885880411
2013-04-18,9.719405369416862e-05,0.8651781379362605,9.124326578057978e-05,1.0297282699626418,8.147526753793327e-05,7.223200523181682e-05,0.8382741993075402
2013-04-19,7.72897485213767e-05,0.8781925210097712,9.042748372599428e-05,1.114715448527151,7.34177218736176e-05,8.089269351352984e-05,0.949902455088359
