Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_BK,Predicted_Covariance,Future_Cov_45_BK,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.8804638324085831,0.00019487830281062965,1.580704694451269,9.113624903693112e-05,8.657317949531489e-05,1.6576597035201368
2013-03-01,5.488021190183326e-05,0.876647045846041,0.00019392302506117702,1.5776327985961602,9.043725085934166e-05,8.632275066614858e-05,1.6479027271452757
2013-03-04,5.501029900576039e-05,0.8743570290031633,0.0001979253456379943,1.5676188699807263,9.123500800435715e-05,8.570527010656784e-05,1.6585077640607535
2013-03-05,5.845535101370509e-05,0.8768574031278885,0.0002004913352494657,1.568931927388846,9.492681584181138e-05,8.408655207859463e-05,1.6239200380398948
2013-03-06,5.9250468430820016e-05,0.876303387274531,0.00019925483958827672,1.5716783373056464,9.521487986582232e-05,8.48144185265194e-05,1.6069894869606614
2013-03-07,5.369174155549812e-05,0.8761715301895179,0.00019657831212260832,1.5699859535639038,9.001412905643646e-05,8.486077391522285e-05,1.6764985908194827
2013-03-08,4.524810700565277e-05,0.8519424301722256,0.00017229315889388233,1.5500184831553243,7.522193008985251e-05,8.344492273891195e-05,1.6624326423303224
2013-03-11,4.8373919939468494e-05,0.8493748769175175,0.00018057640191931754,1.639129533700412,7.938446997922517e-05,9.106405478470609e-05,1.6410592748853299
2013-03-12,5.1431479865635213e-05,0.8605851374779365,0.0001801512667378703,1.646807890479305,8.283750539651668e-05,9.159893535473721e-05,1.6106381852696001
2013-03-13,5.5261000285198275e-05,0.8511365482084121,0.0001906633886264231,1.6530832856185411,8.736596220081836e-05,9.332299430233395e-05,1.5809696123835717
2013-03-14,6.195858588029715e-05,0.8580175519909765,0.00019620301416461958,1.673251315336519,9.460187802345338e-05,9.648102837398444e-05,1.526856636241222
2013-03-15,6.386120353979619e-05,0.8598098741017018,0.0002019978537384687,1.690759708104673,9.765497098436088e-05,9.557432100224088e-05,1.5291752358457438
2013-03-18,6.402550064969363e-05,0.8631051160171935,0.00021125156042281647,1.673097894934671,0.00010037837142090863,9.263818572004378e-05,1.567787372255229
2013-03-19,6.71640875084588e-05,0.8659780128619636,0.00021279696544977865,1.6602616974098234,0.00010352807530279558,9.444360724857434e-05,1.5414201121954798
2013-03-20,6.839791392936718e-05,0.8496053150930438,0.00021303450304342334,1.6765763407135543,0.00010255660190410906,9.494244149246538e-05,1.4994112541212399
2013-03-21,6.814178529168062e-05,0.8531601007576128,0.0002174085437640241,1.6824753394831264,0.000103842609768904,9.163673841772192e-05,1.5239197112961769
2013-03-22,6.79733209422515e-05,0.8638019477892591,0.0002030633193632101,1.695105807493863,0.00010148437088818053,9.146749515884989e-05,1.4930029823671438
2013-03-25,7.243408887933498e-05,0.8606973794910903,0.00020150388848096828,1.667508824396368,0.00010398332421597428,9.117943211356844e-05,1.4355578405796736
2013-03-26,7.339742545776695e-05,0.8436298569525588,0.00020475309721474367,1.700163632923214,0.00010342072898970352,9.149140509983789e-05,1.409051180537825
2013-03-27,7.311742529462491e-05,0.8389722311992139,0.00020774894699748754,1.6411633592832875,0.0001034016448134663,9.74084077991518e-05,1.414186076667933
2013-03-28,6.422356192814954e-05,0.8347722456249345,0.00021151546652379942,1.6356170007653246,9.729404516229616e-05,9.767361181042006e-05,1.5149275786220702
2013-04-01,6.678777769649997e-05,0.8340191013379195,0.00021393033356870915,1.6451728181995071,9.969208473215689e-05,9.859170764224445e-05,1.4926695897141862
2013-04-02,6.451960799026473e-05,0.8300211039390187,0.00021689366643974726,1.6793061383204446,9.818800361934575e-05,0.0001084960858320557,1.5218319930611048
2013-04-03,6.836168011312682e-05,0.8294751022826539,0.0002326965599086224,1.6561980237680458,0.00010461758728387259,0.000104936182363933,1.5303542439382485
2013-04-04,6.901245142532413e-05,0.8327455526454929,0.00023376647632048604,1.624481265867839,0.00010577113495632662,0.00010749425681968002,1.5326384264262474
