Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_SO,Predicted_Covariance,Future_Cov_45_SO,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.614890941748317,3.893672893600743e-05,0.4840011597860786,2.844957035511368e-05,2.6508126046052147e-05,0.5174637628658878
2013-03-01,5.488021190183326e-05,0.6200966159562354,4.0270767852540956e-05,0.4827824464832839,2.9151587253406513e-05,2.641622866287624e-05,0.5311857633777233
2013-03-04,5.501029900576039e-05,0.6292867211990291,4.0547020238317285e-05,0.4926154047891368,2.9720084668159267e-05,2.6932398642680348e-05,0.5402640088367295
2013-03-05,5.845535101370509e-05,0.6429318958622036,4.110520194184234e-05,0.4708031364444583,3.151559429358897e-05,2.523258769887398e-05,0.5391395953845186
2013-03-06,5.9250468430820016e-05,0.6413079047385315,4.006288863444707e-05,0.4943057223330382,3.1245222168228865e-05,2.6674829969266483e-05,0.5273413526630651
2013-03-07,5.369174155549812e-05,0.5991305707716921,4.017196121902755e-05,0.4915399990168376,2.782510059105814e-05,2.6568686574658993e-05,0.5182379968490481
2013-03-08,4.524810700565277e-05,0.5197229274100104,3.4948039372366646e-05,0.4968804912762311,2.0667288006834128e-05,2.674945792943982e-05,0.45675475449729197
2013-03-11,4.8373919939468494e-05,0.5278269933896551,3.6627306826055774e-05,0.5146457441470189,2.2217732344766086e-05,2.8591839312368505e-05,0.4592915433061388
2013-03-12,5.1431479865635213e-05,0.5403741425724566,3.761995623366695e-05,0.5226657912703906,2.3769399649194444e-05,2.907177595121589e-05,0.46215663463878587
2013-03-13,5.5261000285198275e-05,0.5535025762279739,3.3770334545830597e-05,0.5352474791143188,2.391094271750854e-05,3.0216806302674323e-05,0.4326910948789524
2013-03-14,6.195858588029715e-05,0.5593448059007904,3.840851554638733e-05,0.5414534652259223,2.7286266674934223e-05,3.122064609352947e-05,0.44039524607050895
2013-03-15,6.386120353979619e-05,0.5728307245774273,4.100962057728151e-05,0.563367000369996,2.9314853560535665e-05,3.184569532697775e-05,0.45904010472129014
2013-03-18,6.402550064969363e-05,0.59355366100586,4.477695659162085e-05,0.5601461844280583,3.178072245808015e-05,3.101487750389301e-05,0.49637600855265196
2013-03-19,6.71640875084588e-05,0.6031938630274415,4.739316070362839e-05,0.6049613547845092,3.403167384385471e-05,3.4413088419114475e-05,0.5066945015752456
2013-03-20,6.839791392936718e-05,0.6247437385680517,4.937163580629446e-05,0.6014314070503244,3.630463699695826e-05,3.405831562152655e-05,0.5307857347001717
2013-03-21,6.814178529168062e-05,0.6040721674688436,5.3026942844799335e-05,0.5994603609011971,3.631147367287244e-05,3.2649864752592306e-05,0.5328811612058788
2013-03-22,6.79733209422515e-05,0.612229096121166,5.48135778001942e-05,0.5780346840053501,3.737036029621392e-05,3.1190610301237984e-05,0.5497798221152513
2013-03-25,7.243408887933498e-05,0.5801718502080011,5.662573445730928e-05,0.6151747432987982,3.71565239207764e-05,3.363777326029996e-05,0.5129701290600058
2013-03-26,7.339742545776695e-05,0.5849406768850298,5.7876834878863484e-05,0.5897632991509112,3.8124540937050845e-05,3.1737105694266786e-05,0.5194261338088458
2013-03-27,7.311742529462491e-05,0.5626786453529351,5.7552703045501014e-05,0.5620681659914054,3.650091413262394e-05,3.3360582183434706e-05,0.49920951107816475
2013-03-28,6.422356192814954e-05,0.5645119634362724,6.145213056459518e-05,0.5579445071911978,3.546408969485843e-05,3.331859181070467e-05,0.5521974899887065
2013-04-01,6.678777769649997e-05,0.5744661880820222,6.196990706778625e-05,0.5552997113275931,3.69575685389181e-05,3.327793055379385e-05,0.5533582612504694
2013-04-02,6.451960799026473e-05,0.5682820845680713,6.179360951725645e-05,0.5340459282866455,3.588241022594675e-05,3.450347232792106e-05,0.5561473688953752
2013-04-03,6.836168011312682e-05,0.5977576002198128,6.213305056383644e-05,0.5918446528809562,3.895765515321618e-05,3.7499089803606955e-05,0.5698756246006237
2013-04-04,6.901245142532413e-05,0.6110822079442547,6.449665238668202e-05,0.5597285677980224,4.076917781911544e-05,3.703804265421854e-05,0.5907510453128924
2013-04-05,6.697476452894188e-05,0.6058369024932407,6.454918319054542e-05,0.5667706409497633,3.9834254761646185e-05,3.7091557844504606e-05,0.5947651334321984
2013-04-08,7.273438811092278e-05,0.6023174477907036,6.323746113592756e-05,0.5393729616248626,4.084910554894684e-05,3.654287751998679e-05,0.5616202543238608
2013-04-09,7.022991067372413e-05,0.6155151020182388,6.311670428410018e-05,0.545985124355032,4.097999752802427e-05,3.793933007551302e-05,0.5835120269255384
2013-04-10,6.636144982931065e-05,0.5895015108689773,6.237496880320367e-05,0.5990396599774218,3.7926959339449096e-05,4.265188223385351e-05,0.571520957378141
2013-04-11,6.716170407401359e-05,0.604554566209554,6.153738360696897e-05,0.5917597816931355,3.8865644404522e-05,4.269656340448781e-05,0.578687586034018
2013-04-12,6.98842565011876e-05,0.5893645822753504,6.28626436068068e-05,0.5960783547263094,3.906339889082567e-05,4.3551916411728366e-05,0.5589728051290327
2013-04-15,9.593981606210937e-05,0.6220145356184907,6.748178643337274e-05,0.6504931077748526,5.0048752856468125e-05,3.926134719405291e-05,0.5216682177508829
2013-04-16,8.836558039441448e-05,0.648797022505014,7.29187289494216e-05,0.6897768407697729,5.207987823766252e-05,4.231411860486492e-05,0.5893683717710798
2013-04-17,8.959564094882932e-05,0.632732670715407,7.278114112176393e-05,0.7789227780553748,5.109437959018266e-05,5.535659245186958e-05,0.5702775162841254
2013-04-18,9.719405369416862e-05,0.6247499770072293,7.234911625550407e-05,0.7755677982706578,5.2389314030261975e-05,5.440349546230011e-05,0.5390176871839351
2013-04-19,7.72897485213767e-05,0.630613055200213,7.618161342388185e-05,0.7140818880623858,4.838926078072255e-05,5.181950908719843e-05,0.6260760541527588
2013-04-22,7.797978274745508e-05,0.6265747154175876,7.545084953070523e-05,0.7448600932622989,4.806134750071266e-05,5.523175612619132e-05,0.6163308720205581
2013-04-23,8.499754389235151e-05,0.6268023695534567,7.513700224580383e-05,0.7664706431978836,5.0091120863863004e-05,5.6686876805682976e-05,0.5893243330337036
