Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_OXY,Predicted_Covariance,Future_Cov_45_OXY,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.48416806338570834,0.0001734457698517012,0.9693946187638106,4.727982716368363e-05,5.309250654257422e-05,0.8599636819250229
2013-03-01,5.488021190183326e-05,0.48557235432093343,0.00017282673915344372,0.960266259841708,4.728978181623552e-05,5.254253397570851e-05,0.8616909479290078
2013-03-04,5.501029900576039e-05,0.4859478992608417,0.00024003418605030429,0.9795140767967536,5.584036666139194e-05,5.355225057100987e-05,1.0150893136491521
2013-03-05,5.845535101370509e-05,0.4914794656187866,0.00029551522373654523,0.9713124341317412,6.459627030576395e-05,5.205727039613167e-05,1.1050531591302755
2013-03-06,5.9250468430820016e-05,0.48669791254406564,0.0003158369090907701,0.9887470416222676,6.657893104261574e-05,5.33569773244896e-05,1.1236861548251273
2013-03-07,5.369174155549812e-05,0.4884302142387054,0.0003424348601236219,0.9960910944979208,6.622855078633293e-05,5.3840648049921715e-05,1.2334960436676508
2013-03-08,4.524810700565277e-05,0.510680572963494,0.0003654686389619676,0.989326340028664,6.567114710052398e-05,5.32601778007248e-05,1.451356784767146
2013-03-11,4.8373919939468494e-05,0.5131152228941249,0.00040469546047836686,0.967435053070225,7.179343063552119e-05,5.374716083270452e-05,1.484135061317299
2013-03-12,5.1431479865635213e-05,0.5199601336439358,0.0004219576408287963,0.9709297292377626,7.659827419197039e-05,5.400516357530769e-05,1.4893266612604468
2013-03-13,5.5261000285198275e-05,0.5326129851109935,0.0004421119533403629,0.9587929628361186,8.32505765317003e-05,5.412759961116707e-05,1.50649782128535
2013-03-14,6.195858588029715e-05,0.5108381037336872,0.0003814561885972684,0.9787786107340466,7.853375534944277e-05,5.6437168791400834e-05,1.2675201383899972
2013-03-15,6.386120353979619e-05,0.5121941037948233,0.0003552421998960102,0.9622731206297248,7.71463529155247e-05,5.4394837824701504e-05,1.2080316160569953
2013-03-18,6.402550064969363e-05,0.5147183918319554,0.00033515084172192555,0.9341715199835092,7.53991301227732e-05,5.1724382072686174e-05,1.1776421794076823
2013-03-19,6.71640875084588e-05,0.5310605186833787,0.00035451882377469696,0.9470323695675418,8.194684253279003e-05,5.38717199238294e-05,1.220099097191925
2013-03-20,6.839791392936718e-05,0.5365366361645163,0.000349939237366279,1.0171909896996425,8.300746114588417e-05,5.7602265808617354e-05,1.213596385872293
2013-03-21,6.814178529168062e-05,0.5342527912710586,0.00032484630333430543,1.030245656583607,7.948634332290582e-05,5.611276999004888e-05,1.1664846024016668
2013-03-22,6.79733209422515e-05,0.5353644803382381,0.0003051957674051274,1.0708691819496268,7.710952915591925e-05,5.778383938201072e-05,1.1344087369429787
2013-03-25,7.243408887933498e-05,0.5372125087459969,0.00028953559205820503,0.9751180286336356,7.779802937837758e-05,5.33194828079561e-05,1.0740527089113825
2013-03-26,7.339742545776695e-05,0.5419348670051156,0.00027744603068916154,1.0020756217753877,7.733512018274122e-05,5.3924989852235355e-05,1.0536489488618375
2013-03-27,7.311742529462491e-05,0.5471853583962102,0.0002612643804695994,1.1033490088393267,7.562841786201149e-05,6.548736881668302e-05,1.0343419172279191
2013-03-28,6.422356192814954e-05,0.5456661086945721,0.00024909209608679886,1.1309545959785567,6.90166934164031e-05,6.75368500884574e-05,1.0746319784258602
2013-04-01,6.678777769649997e-05,0.5511303488042401,0.0002415911135477918,1.1425420789291636,7.00072955908297e-05,6.847011655470108e-05,1.048205195701525
2013-04-02,6.451960799026473e-05,0.5582918853926031,0.0002539934816386548,1.101867952310231,7.146912436596574e-05,7.118914008675532e-05,1.107711695594146
2013-04-03,6.836168011312682e-05,0.5664396085445143,0.00025139529318804363,1.0946880532729164,7.425719651665107e-05,6.935908843105446e-05,1.0862400747577912
2013-04-04,6.901245142532413e-05,0.5691903688528884,0.0002507487783266574,1.0545147186218284,7.487566335142954e-05,6.977875237182909e-05,1.0849587546161836
2013-04-05,6.697476452894188e-05,0.575106675635511,0.0002467904671127905,1.0666452669655582,7.393808471376966e-05,6.980519413094835e-05,1.1039693119311933
2013-04-08,7.273438811092278e-05,0.5528815803514702,0.00019968905389516745,1.106199548235448,6.663143182837419e-05,7.494575642437906e-05,0.9160925603272918
2013-04-09,7.022991067372413e-05,0.5559555875695871,0.00020161030424546263,1.09330352327097,6.615421493343625e-05,7.597130652799001e-05,0.9419663829671826
2013-04-10,6.636144982931065e-05,0.5633560990487525,0.0002034372983622498,1.1780758160288043,6.545701902119782e-05,8.387950635806899e-05,0.9863711415220865
2013-04-11,6.716170407401359e-05,0.5890885755785953,0.0002500953469744973,1.1690504827839248,7.634740138239745e-05,8.434915586594368e-05,1.1367698666231136
2013-04-12,6.98842565011876e-05,0.6156979176709586,0.00025468841568711725,1.1554654578673669,8.21413725073784e-05,8.442302029367424e-05,1.1753916635856678
2013-04-15,9.593981606210937e-05,0.6348206343982882,0.000278294864280173,1.0587855284819447,0.0001037296879505722,6.390436077019355e-05,1.081195401536103
2013-04-16,8.836558039441448e-05,0.6448281170291226,0.0002731698503646951,1.0564709782802184,0.00010018481848773894,6.48088419838202e-05,1.1337538670664529
2013-04-17,8.959564094882932e-05,0.6530700091424073,0.00026359591788249846,1.1075219479226768,0.00010036274259278967,7.870952401176014e-05,1.1201743916326214
2013-04-18,9.719405369416862e-05,0.6620220675475134,0.00025773030099212983,1.0939789112423914,0.00010477919429472767,7.67389735189309e-05,1.0780412001790407
2013-04-19,7.72897485213767e-05,0.6526613617124529,0.00024583705775950925,1.1435284441075233,8.996478048622755e-05,8.298359556729553e-05,1.163993701717702
2013-04-22,7.797978274745508e-05,0.6517928454961488,0.00024522020237966445,1.1017585033690345,9.013194079784942e-05,8.169595541294141e-05,1.1558372904134686
2013-04-23,8.499754389235151e-05,0.6494763118968303,0.00023037444854819933,1.0814318535740968,9.088321009107659e-05,7.998087702553976e-05,1.0692451326144108
2013-04-24,7.773768893068322e-05,0.6476624933898104,0.00025489642419529744,1.0861126035424602,9.116884054921539e-05,8.106273868491855e-05,1.1727752883226101
2013-04-25,6.90805921567358e-05,0.6492179598344187,0.0002512922570231683,1.0872863971948603,8.55378056599721e-05,8.130562942827172e-05,1.238232085010169
2013-04-26,7.034557142953508e-05,0.6480113681571256,0.00025854312511821914,1.0996512229727893,8.739115973600759e-05,8.287236015028316e-05,1.2423121734613671
2013-04-29,6.776168711759701e-05,0.6525506135518807,0.00027107866579471825,1.0853719817085048,8.844106777191352e-05,8.0849163016922e-05,1.3051780664555839
2013-04-30,5.8041023931509805e-05,0.6407523738810817,0.00026897245564919315,1.0762582091712918,8.005927641157138e-05,8.005921657376042e-05,1.3793567202750212
2013-05-01,6.311211636341748e-05,0.6462595534595397,0.00029181563160335074,1.0495137305386246,8.770364113067665e-05,7.855790073076504e-05,1.3896482353032529
2013-05-02,6.214021471172626e-05,0.6398433769613631,0.00035471648762331817,1.0500207354288205,9.499499875624645e-05,7.742582598009416e-05,1.5287201564548227
2013-05-03,7.476459886581012e-05,0.6681705354235895,0.00036079053021865294,0.955778101852024,0.00010973947779032594,6.946532919024025e-05,1.467799994316693
2013-05-06,7.535412832838797e-05,0.677267517192407,0.0003464414750454752,0.9672677176230328,0.0001094280629004358,7.02071999001851e-05,1.4521840452265076
2013-05-07,7.392273390092128e-05,0.6802445464738947,0.00031697616636255287,0.9750342042721544,0.00010412796550925326,7.404403377172562e-05,1.4086054453669976
2013-05-08,6.958015556766957e-05,0.6783379000858167,0.0002981823624579519,0.97961520707401,9.770791726258321e-05,7.404790592328886e-05,1.4042497672710466
2013-05-09,7.111722928104653e-05,0.6729464056300356,0.00028829171384282815,0.9697499690225057,9.635715570281082e-05,7.326709905607996e-05,1.3549059303480344
2013-05-10,7.562958883543677e-05,0.670811981157445,0.00027246847432090747,0.970711871304802,9.629523789850673e-05,7.36132547594392e-05,1.2732482006220684
2013-05-13,7.357910230951406e-05,0.664636303758001,0.0002628753007520012,0.9704336176753314,9.243494632985132e-05,7.36759831324148e-05,1.2562662961151556
2013-05-14,7.590263764609063e-05,0.6566013813643296,0.00025168718069519975,0.9970414152850516,9.075295481604866e-05,7.409453470211144e-05,1.1956495535662441
2013-05-15,7.650099964197039e-05,0.6523366588159698,0.00024220599829076673,1.0093692375934291,8.879689648342181e-05,7.45010875877022e-05,1.1607285773911062
2013-05-16,7.639729836462006e-05,0.6448461884657019,0.0002469558094402962,1.0176529857370546,8.857369474889393e-05,7.454789629160234e-05,1.1593825520656476
2013-05-17,7.425705624970095e-05,0.6566052415937245,0.00024911117171047586,0.9848767077984948,8.930377383520573e-05,7.039394089192165e-05,1.2026301384060776
2013-05-20,7.217439206379002e-05,0.6564535884011352,0.00024477148356449467,0.9944972910140792,8.725212320756927e-05,7.142726003888869e-05,1.2089069365551852
2013-05-21,7.13709588975209e-05,0.6527762456499449,0.00023726775869678543,0.9965808393418508,8.49463009490835e-05,7.165392169356868e-05,1.1902082059883061
2013-05-22,7.35750525384875e-05,0.6514046429131789,0.00022450234445540125,0.9624947900569456,8.37194912364896e-05,6.789353232251717e-05,1.1378787829297912
