Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_BA,Predicted_Covariance,Future_Cov_45_BA,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.38957715067062354,0.00014880916803408994,0.6210154713085598,3.52375906482385e-05,3.401222508903033e-05,0.6409297582902794
2013-03-01,5.488021190183326e-05,0.39421519403995947,0.00014758189419530998,0.6213748107896988,3.5477890497553835e-05,3.3999535829728106e-05,0.6464605231666153
2013-03-04,5.501029900576039e-05,0.4020385887713142,0.00014895555968176503,0.636129194706628,3.63930204478546e-05,3.477862221426008e-05,0.6615673992981517
2013-03-05,5.845535101370509e-05,0.40053744679444786,0.00015287232731701577,0.5809897810628737,3.786340790015739e-05,3.1138016015634754e-05,0.6477321108084727
2013-03-06,5.9250468430820016e-05,0.4048946882485012,0.00014776182663207442,0.5734216556955035,3.788515767357883e-05,3.09442607586632e-05,0.639406888703555
2013-03-07,5.369174155549812e-05,0.39895391164762656,0.00014881290428568129,0.5607088281409498,3.566126702998616e-05,3.0307395419128484e-05,0.664185329006792
2013-03-08,4.524810700565277e-05,0.40965696755611714,0.00014570067032040762,0.5641739970762915,3.32622273892086e-05,3.0372189821569223e-05,0.7351076009666704
2013-03-11,4.8373919939468494e-05,0.41512118347096405,0.00015114745860038723,0.5682885959028066,3.5496126320064875e-05,3.157204038291434e-05,0.7337864362549504
2013-03-12,5.1431479865635213e-05,0.42624776022288585,0.00016654592176669562,0.5944819555848394,3.9449692428087464e-05,3.306634279200874e-05,0.7670339747397862
2013-03-13,5.5261000285198275e-05,0.4369072864706157,0.000170058221362237,0.604066277478214,4.235429672252974e-05,3.4101895688962836e-05,0.7664410072916177
2013-03-14,6.195858588029715e-05,0.4399439555371768,0.0001702189606546136,0.6664252033589749,4.518060799843829e-05,3.8426617905562106e-05,0.7292065717207683
2013-03-15,6.386120353979619e-05,0.4432603739052035,0.0001721625080728362,0.7351446710971616,4.6477926886235545e-05,4.1555847612011535e-05,0.7277959748640196
2013-03-18,6.402550064969363e-05,0.4353423755850846,0.00018705943629514362,0.6988749239987233,4.764279645149062e-05,3.869618460490813e-05,0.7441222008112263
2013-03-19,6.71640875084588e-05,0.4387856743052995,0.00018885342694758422,0.7230283349829293,4.941780307722598e-05,4.1129301606638636e-05,0.7357771825754678
2013-03-20,6.839791392936718e-05,0.4372694810357112,0.00019625163329246417,0.7105149307960877,5.066140560588952e-05,4.023558045553737e-05,0.7406864141822554
2013-03-21,6.814178529168062e-05,0.4500487693531357,0.00018745686387816428,0.673392307363563,5.086476072835974e-05,3.667659981354509e-05,0.7464547708962034
2013-03-22,6.79733209422515e-05,0.45824812816168947,0.00016830055003445757,0.6690845979002902,4.9013160918196845e-05,3.61036414061884e-05,0.7210646800652457
2013-03-25,7.243408887933498e-05,0.4604242514728466,0.00016779176547184282,0.6984659934060196,5.0759228597449556e-05,3.819214129343771e-05,0.7007643691357436
2013-03-26,7.339742545776695e-05,0.4534667522700838,0.00016481886455383917,0.6725047435227234,4.9875736606795206e-05,3.6189695350329205e-05,0.6795297831733053
2013-03-27,7.311742529462491e-05,0.44838920991291814,0.0001635068511071821,0.7166160328411367,4.9026803156838644e-05,4.2533503059003275e-05,0.6705214654275136
2013-03-28,6.422356192814954e-05,0.4527762628992066,0.00015880728314399175,0.7417027588093845,4.5726299103198124e-05,4.4292023932722424e-05,0.7119863447367598
2013-04-01,6.678777769649997e-05,0.4564206695168827,0.000152963026459466,0.7519956162253165,4.613250463617832e-05,4.506549775377153e-05,0.6907327392418375
2013-04-02,6.451960799026473e-05,0.45775509299151007,0.0001498705130427125,0.7998933400191105,4.501291537074069e-05,5.167925876933984e-05,0.6976625675954606
2013-04-03,6.836168011312682e-05,0.4627461161478262,0.00014542829280849302,0.840936234754311,4.613957599823495e-05,5.328145355822278e-05,0.6749333240769081
2013-04-04,6.901245142532413e-05,0.46270855960306284,0.00014304968732011447,0.893198119508074,4.597425678521464e-05,5.9104201486720844e-05,0.6661733619905056
2013-04-05,6.697476452894188e-05,0.5067987064064559,0.00014225460904781392,0.9267164403836692,4.946799048622933e-05,6.064773643945889e-05,0.7386064114469962
2013-04-08,7.273438811092278e-05,0.5329700046347357,0.00014048075411322812,0.922235318496081,5.387423018526478e-05,6.248205728904858e-05,0.7406981977095137
2013-04-09,7.022991067372413e-05,0.5361267147931669,0.00014112979609012753,0.9333072524112164,5.337499696935213e-05,6.485351034596025e-05,0.7600037712894584
2013-04-10,6.636144982931065e-05,0.5351059939079846,0.0001433866406761347,0.9401318314986872,5.219778732303578e-05,6.693779200343846e-05,0.7865679164227808
2013-04-11,6.716170407401359e-05,0.5407622043496944,0.00014479765548262814,0.9379918539129534,5.332709770591746e-05,6.767784817836017e-05,0.7940104921571063
2013-04-12,6.98842565011876e-05,0.5652396059856919,0.0001451851530552382,0.9458276467227263,5.693552936296598e-05,6.910602655398167e-05,0.8147118136972443
2013-04-15,9.593981606210937e-05,0.5409315886175822,0.00014944769913655036,0.9040267554849832,6.477186482408917e-05,5.456369621074304e-05,0.6751301751731237
2013-04-16,8.836558039441448e-05,0.5363770295311941,0.00014856694833742618,1.021875329980596,6.145720983452223e-05,6.268658406091174e-05,0.6954881024966016
2013-04-17,8.959564094882932e-05,0.5376702950201463,0.00014851154035252104,1.0952513347421493,6.202111720524037e-05,7.783747436562597e-05,0.6922336460616698
2013-04-18,9.719405369416862e-05,0.5316507105913767,0.00014986586703108988,1.087464962811678,6.416491330832254e-05,7.628204175270462e-05,0.6601732397150986
2013-04-19,7.72897485213767e-05,0.5515135969311769,0.00014943933686921296,1.1048338273851437,5.92720075256903e-05,8.017560382798408e-05,0.7668805845486342
2013-04-22,7.797978274745508e-05,0.5537628960784549,0.00015161799462411334,1.115803753730702,6.0212996132497776e-05,8.273741789659967e-05,0.7721616297329691
2013-04-23,8.499754389235151e-05,0.5579739217119596,0.0001514489497420476,1.136722331916319,6.330677976775776e-05,8.407006760593314e-05,0.7448071658156985
2013-04-24,7.773768893068322e-05,0.5586928729457021,0.00015382844577651193,1.158767498603133,6.109522519877812e-05,8.648538524410033e-05,0.7859151209557468
2013-04-25,6.90805921567358e-05,0.5578485977254674,0.00015223316371934504,1.1621537403632265,5.720697821207236e-05,8.690409591845392e-05,0.8281193954197208
2013-04-26,7.034557142953508e-05,0.6229603953571463,0.00015093289589899553,1.1686648985226278,6.419050178390385e-05,8.807339667530005e-05,0.9125023861410132
2013-04-29,6.776168711759701e-05,0.6563500611608204,0.00015249001093003774,1.2142475602453964,6.671881636659404e-05,9.044908160117337e-05,0.9846097286628487
2013-04-30,5.8041023931509805e-05,0.613653170269245,0.00014855485569689048,1.2216749450287685,5.698150830351435e-05,9.087627687607123e-05,0.9817454008177783
2013-05-01,6.311211636341748e-05,0.5825207594606998,0.00015014676252087655,1.2299540674213032,5.670557585198283e-05,9.206416907218093e-05,0.8984895313200405
2013-05-02,6.214021471172626e-05,0.5660124171418555,0.00014993905154083928,1.224360624412751,5.463484473996248e-05,9.028120059357353e-05,0.8792187956449486
2013-05-03,7.476459886581012e-05,0.6252581842398303,0.0001525485415225855,1.2016415722391625,6.67746190064179e-05,8.733452589311843e-05,0.8931315090216307
2013-05-06,7.535412832838797e-05,0.6587518890544257,0.00015658664633382948,1.2015624914317649,7.155710472180822e-05,8.721301919991368e-05,0.9496109411546426
2013-05-07,7.392273390092128e-05,0.6848094159216224,0.000158947382004543,1.183733876602837,7.423101907040769e-05,8.989267325380039e-05,1.0041703702395477
2013-05-08,6.958015556766957e-05,0.6942966324532118,0.00016084456502622838,1.2041021989493386,7.344985652667261e-05,9.101660091224948e-05,1.055615008725291
2013-05-09,7.111722928104653e-05,0.6816570830118616,0.00016275618017435372,1.2419711342995028,7.333682605052427e-05,9.383410675767887e-05,1.031210394329427
2013-05-10,7.562958883543677e-05,0.6866235585814802,0.00017022392004135926,1.2632485244524956,7.79067098711139e-05,9.579756692375697e-05,1.0301088644106204
2013-05-13,7.357910230951406e-05,0.6839991586396332,0.00017689010357833525,1.2634263236347971,7.80341273623019e-05,9.592018950471717e-05,1.060547423289395
2013-05-14,7.590263764609063e-05,0.681289746991303,0.00018214872195354768,1.292358483473791,8.010753188577765e-05,9.604084547876101e-05,1.0553985259286123
