Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_MA,Predicted_Covariance,Future_Cov_45_MA,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.752222840843509,0.00013724453813492585,1.2215952905093508,6.534192673014562e-05,6.690521558336366e-05,1.1884917366638095
2013-03-01,5.488021190183326e-05,0.7525311777905468,0.00013695880571350108,1.2172939473213775,6.524201528181105e-05,6.660622294081317e-05,1.1888076416051823
2013-03-04,5.501029900576039e-05,0.7550025922641618,0.00013370024728403328,1.2184539123316231,6.474951963093718e-05,6.66156319425204e-05,1.1770435864047377
2013-03-05,5.845535101370509e-05,0.7572086098558191,0.00013452058004223845,1.2162093156187197,6.714629365848153e-05,6.51824634141053e-05,1.1486765966513284
2013-03-06,5.9250468430820016e-05,0.7487626117766548,0.00013281858525549474,1.2153263957251306,6.642315033270913e-05,6.558415874717993e-05,1.1210569653177314
2013-03-07,5.369174155549812e-05,0.7456547071579973,0.0001311701833406698,1.2181883188684444,6.25761834964575e-05,6.584543210656974e-05,1.1654712937887484
2013-03-08,4.524810700565277e-05,0.7230444904932625,0.00011796903849376587,1.218190311805742,5.2826185062890995e-05,6.55810221327113e-05,1.167478344592217
2013-03-11,4.8373919939468494e-05,0.718303847018503,0.00011904173226325878,1.2649517421429894,5.450840224426367e-05,7.027610227147075e-05,1.1268138350679748
2013-03-12,5.1431479865635213e-05,0.7174530582444544,0.00012240860396562413,1.2495366879620078,5.692643328159433e-05,6.950187144821824e-05,1.1068402742894952
2013-03-13,5.5261000285198275e-05,0.7211237501740969,0.00012148242817655897,1.253539773066617,5.908481800983341e-05,7.076720581314944e-05,1.0691955937261481
2013-03-14,6.195858588029715e-05,0.7389640033465669,0.00012545236966197114,1.307431021204374,6.51498569511593e-05,7.538753341931608e-05,1.0515065188386905
2013-03-15,6.386120353979619e-05,0.7419682868198875,0.0001230768276911884,1.286205478895527,6.577972287451359e-05,7.270590535458364e-05,1.0300420165667854
2013-03-18,6.402550064969363e-05,0.7104523693737469,0.00012576270717698949,1.2804846461158192,6.375105809354647e-05,7.089948222257093e-05,0.9957135429889299
2013-03-19,6.71640875084588e-05,0.6779248882267158,0.00012832707506716358,1.292294526597204,6.293747065086184e-05,7.351187882599304e-05,0.9370702854101213
2013-03-20,6.839791392936718e-05,0.6571293356130979,0.00013142666033165088,1.2987466261134697,6.230372597442126e-05,7.354641275137841e-05,0.9109009675172369
2013-03-21,6.814178529168062e-05,0.6290264403185776,0.00013583689523508004,1.3029218211601123,6.0517994560512414e-05,7.096419382947413e-05,0.8881187116167473
2013-03-22,6.79733209422515e-05,0.614159482590063,0.00013845465951949315,1.3126878856347697,5.958050692713611e-05,7.083231754240433e-05,0.8765278215221274
2013-03-25,7.243408887933498e-05,0.5981706012418071,0.00014015851803882563,1.3245769103845708,6.027071087449994e-05,7.242790485581377e-05,0.8320766065671439
2013-03-26,7.339742545776695e-05,0.5975642323119126,0.00015078032718656947,1.2730040433870995,6.286332504080207e-05,6.850454060531051e-05,0.8564786114599315
2013-03-27,7.311742529462491e-05,0.5916985554887798,0.00015338263619817701,1.2262317197268418,6.266124982237721e-05,7.278085922145504e-05,0.8569947528907809
2013-03-28,6.422356192814954e-05,0.6316913938772996,0.00015315348528915394,1.229936719041414,6.264920965780916e-05,7.34477335408113e-05,0.9754863756684548
2013-04-01,6.678777769649997e-05,0.6782813104333953,0.00015289511271695538,1.2421972229845617,6.854174371059642e-05,7.444223736721733e-05,1.0262617813406953
2013-04-02,6.451960799026473e-05,0.7167484517340674,0.00015261296389512563,1.23049849733994,7.112271665959026e-05,7.949966211469547e-05,1.1023426656640858
2013-04-03,6.836168011312682e-05,0.7427203041937983,0.00015412589217256,1.2216340626984663,7.623764323401095e-05,7.74023473918069e-05,1.1152102041355736
2013-04-04,6.901245142532413e-05,0.7532870424225016,0.0001534207359607523,1.1731840005319965,7.751152029429724e-05,7.76312690701018e-05,1.1231526875721787
2013-04-05,6.697476452894188e-05,0.7666897734597041,0.00015425107260471976,1.174593074905414,7.792725249236315e-05,7.686969619421504e-05,1.1635315635740437
2013-04-08,7.273438811092278e-05,0.780660600667586,0.00015428009152285428,1.1685243277985593,8.269649448367384e-05,7.91683017651278e-05,1.1369655623906323
2013-04-09,7.022991067372413e-05,0.781926507775954,0.00015683439993610727,1.1677372965159862,8.2063050640275e-05,8.114354907808593e-05,1.168491456888299
2013-04-10,6.636144982931065e-05,0.791893384044767,0.00015731900169388356,1.219173863601615,8.091242889620927e-05,8.680570507616861e-05,1.2192685528168148
2013-04-11,6.716170407401359e-05,0.7902124642020548,0.00015715294238774193,1.206684399838515,8.118316663431461e-05,8.70645126296004e-05,1.2087716914515612
2013-04-12,6.98842565011876e-05,0.8038164353025634,0.0001603851182555011,1.1988434288976562,8.509981004263027e-05,8.759239182585965e-05,1.2177250543000926
2013-04-15,9.593981606210937e-05,0.8144060828684737,0.0001671522119172842,1.2548022888383947,0.00010313272988511135,7.5735204159962e-05,1.0749731875485924
2013-04-16,8.836558039441448e-05,0.8247170101516208,0.00016935707867055575,1.14696658245061,0.00010089001722178698,7.036026311273417e-05,1.1417343356029623
2013-04-17,8.959564094882932e-05,0.826211603842631,0.00016876771510530194,1.1368737937102993,0.00010159665652409807,8.079550507528983e-05,1.133946422484135
2013-04-18,9.719405369416862e-05,0.8291920681494068,0.00016835400656212723,1.127780313575805,0.00010606857032582228,7.911002920557178e-05,1.0913071972445791
2013-04-19,7.72897485213767e-05,0.8104395439170987,0.0001635254682749873,1.1758036938447378,9.111172546046136e-05,8.532574655166974e-05,1.1788332502500225
2013-04-22,7.797978274745508e-05,0.8019553413237716,0.0001596373006953445,1.1576803289974629,8.947637532989697e-05,8.584258732835672e-05,1.147430425905067
2013-04-23,8.499754389235151e-05,0.8053803150704256,0.00015949886786462492,1.1372842540191237,9.377412080864809e-05,8.41116264174789e-05,1.103256829719833
2013-04-24,7.773768893068322e-05,0.8110966179777074,0.00017541429996218732,1.1263131087218994,9.471546603650256e-05,8.406313020577343e-05,1.2183982742393848
2013-04-25,6.90805921567358e-05,0.8008571361818348,0.00018256841488675335,1.112442963833195,8.993855342430518e-05,8.318679936662548e-05,1.30193663106195
