Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_SPG,Predicted_Covariance,Future_Cov_45_SPG,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.6609263481590493,7.423911324016391e-05,0.7393641302094015,4.222477444606426e-05,4.0494030151049845e-05,0.7680183003922374
2013-03-01,5.488021190183326e-05,0.6578769446505834,7.49793356931779e-05,0.7350506174331498,4.220105913375938e-05,4.021949292138319e-05,0.7689667672793672
2013-03-04,5.501029900576039e-05,0.6567131171503569,7.525375172207103e-05,0.7166272416101744,4.225341078198686e-05,3.9179632552317795e-05,0.7681000021025572
2013-03-05,5.845535101370509e-05,0.6649240888997524,7.518415652217438e-05,0.7235936689205211,4.40805869968334e-05,3.878083915768697e-05,0.7540898520393545
2013-03-06,5.9250468430820016e-05,0.6577680905256638,7.420111837431845e-05,0.7364809710912591,4.361379932019029e-05,3.974363191009857e-05,0.7360920592739807
2013-03-07,5.369174155549812e-05,0.6293195933482083,7.53083041561094e-05,0.7389541257211438,4.001717558709083e-05,3.9941898113288135e-05,0.7453134211660343
2013-03-08,4.524810700565277e-05,0.6218548395650068,7.670768971268484e-05,0.7458579297537009,3.663605289598831e-05,4.015310655896576e-05,0.8096703999442768
2013-03-11,4.8373919939468494e-05,0.6454259114614216,7.870116086231406e-05,0.6944176977804648,3.98237916072645e-05,3.857931296704186e-05,0.8232492148061811
2013-03-12,5.1431479865635213e-05,0.6737992691976253,8.154491663449386e-05,0.675756206384013,4.36358552559974e-05,3.758698839250514e-05,0.8484269822683717
2013-03-13,5.5261000285198275e-05,0.7073107729072928,8.230160838605379e-05,0.7001540445624062,4.770059595274813e-05,3.9526424639279205e-05,0.863187342005548
2013-03-14,6.195858588029715e-05,0.6765210087370753,8.16664587475623e-05,0.7173696210942959,4.812313349053132e-05,4.136411436408359e-05,0.776698383392809
2013-03-15,6.386120353979619e-05,0.6572597933515181,8.139216332760195e-05,0.723792865326802,4.738565753268976e-05,4.091415907197187e-05,0.742010092295874
2013-03-18,6.402550064969363e-05,0.6618956070545552,8.168387081809676e-05,0.7147403349889834,4.786677247669059e-05,3.957464060816417e-05,0.7476204323428377
2013-03-19,6.71640875084588e-05,0.6635328727445319,8.321868888273524e-05,0.7701328301627002,4.9606825671915996e-05,4.3808830050462254e-05,0.7385915228233898
2013-03-20,6.839791392936718e-05,0.6701527378491299,8.432307888250899e-05,0.7879682507479291,5.089421875137209e-05,4.462166602727761e-05,0.7440902189492107
2013-03-21,6.814178529168062e-05,0.6674470683496746,8.53072094999443e-05,0.7967835942196569,5.088812526971675e-05,4.339715898687094e-05,0.7467976521585155
2013-03-22,6.79733209422515e-05,0.6689211849560518,8.677537334447913e-05,0.7979145993032297,5.137388865791804e-05,4.3055276801184574e-05,0.7557948904918749
2013-03-25,7.243408887933498e-05,0.6839929676931691,8.782003138981196e-05,0.8605858629759217,5.4553162418959884e-05,4.705686058334037e-05,0.7531421084047566
2013-03-26,7.339742545776695e-05,0.692425851030441,8.870700207336831e-05,0.8671363557847397,5.58717967487399e-05,4.666346348527135e-05,0.761222841268304
2013-03-27,7.311742529462491e-05,0.6967954678463021,8.885395093263095e-05,0.9194477310402548,5.616349608812694e-05,5.457222709035288e-05,0.7681273767753375
2013-03-28,6.422356192814954e-05,0.671481659310371,9.232967218833775e-05,0.9184482973864734,5.170731609583453e-05,5.484668013654301e-05,0.8051144244176672
2013-04-01,6.678777769649997e-05,0.655400560361746,9.414892585631525e-05,0.9383038133348128,5.197122930973433e-05,5.623055172109616e-05,0.7781547927212721
2013-04-02,6.451960799026473e-05,0.6551722194934525,9.658563693305203e-05,0.9151888893604632,5.171989188074203e-05,5.912823756596613e-05,0.801615097979919
2013-04-03,6.836168011312682e-05,0.6168546056638368,9.919422689873946e-05,1.0017220793716404,5.079633445714227e-05,6.346879376161019e-05,0.7430527507966902
2013-04-04,6.901245142532413e-05,0.6162669157479931,0.00010218361414321261,0.9642709142804596,5.1751531928152424e-05,6.380719032055866e-05,0.749886880690666
2013-04-05,6.697476452894188e-05,0.5899245465277239,0.0001077218164238522,1.0122134813709966,5.010763428583755e-05,6.624297763967575e-05,0.7481569310211533
2013-04-08,7.273438811092278e-05,0.6176666996250332,0.00011290149131355952,1.014570445014917,5.597239906595143e-05,6.87378236311462e-05,0.7695451975287307
2013-04-09,7.022991067372413e-05,0.6115586309693731,0.00011335280599667907,1.032230093159134,5.4565142719602646e-05,7.172744544002739e-05,0.7769501939579952
2013-04-10,6.636144982931065e-05,0.6577702147506085,0.00011543035003431386,1.1259950513119557,5.756945829777706e-05,8.017133344104409e-05,0.8675135706928101
2013-04-11,6.716170407401359e-05,0.680075514911297,0.00012170051123603693,1.0790610975185473,6.148429444783066e-05,7.785625517789639e-05,0.915466563803588
2013-04-12,6.98842565011876e-05,0.6948096481079599,0.00012467718255905269,1.0971163023628263,6.485582747661924e-05,8.015979294599535e-05,0.9280463257918053
2013-04-15,9.593981606210937e-05,0.7523294296380036,0.00013077060524474237,1.1431593289468014,8.42679751530576e-05,6.89968498904305e-05,0.8783420545491178
2013-04-16,8.836558039441448e-05,0.7631895088805787,0.0001377677910346209,1.1584089401002025,8.420692460412936e-05,7.106219053344016e-05,0.9529380583285572
2013-04-17,8.959564094882932e-05,0.7659114407706713,0.00014213054380240198,1.3588811360004154,8.643023742295896e-05,9.657315379055599e-05,0.9646701168455483
2013-04-18,9.719405369416862e-05,0.7570084771285488,0.0001426019076974567,1.3699939590922394,8.912165820578456e-05,9.61005089471792e-05,0.916945582763893
2013-04-19,7.72897485213767e-05,0.7569491061979587,0.00015348319583647935,1.3027332530134932,8.244380822179771e-05,9.45367734027036e-05,1.066684907106348
2013-04-22,7.797978274745508e-05,0.7431984640576615,0.0001466715336298043,1.3174608163760089,7.948198970426168e-05,9.76903920267733e-05,1.0192640567064881
2013-04-23,8.499754389235151e-05,0.7336548537445676,0.00014134841238211098,1.3378353737171202,8.041562668134071e-05,9.89440491807696e-05,0.9460935339871261
2013-04-24,7.773768893068322e-05,0.732529121260477,0.00013721736156137315,1.3540741479929337,7.565632459740071e-05,0.00010106222730566443,0.9732258012566027
2013-04-25,6.90805921567358e-05,0.7129914947736539,0.00013318539990282873,1.374633013871928,6.838969778419536e-05,0.00010279297406284866,0.9899987195973525
2013-04-26,7.034557142953508e-05,0.7367233077233616,0.00014150432388168848,1.365249414852447,7.350343683458287e-05,0.00010288847849116169,1.0448907492095791
2013-04-29,6.776168711759701e-05,0.7440144762905918,0.0001479324400131504,1.3602200218392044,7.4491239572891e-05,0.00010132254391849063,1.0993120558467677
2013-04-30,5.8041023931509805e-05,0.7172598935775962,0.00015152616554041886,1.3518306273789942,6.726480643791278e-05,0.00010055811890318658,1.1589183284789621
2013-05-01,6.311211636341748e-05,0.740612313431073,0.00015907633555057126,1.3434908408875237,7.420789104485632e-05,0.00010056259107441002,1.1758105308582305
2013-05-02,6.214021471172626e-05,0.7415647394676548,0.00016340431853601915,1.3368321177546336,7.472522153617764e-05,9.85745589791618e-05,1.202525962982817
2013-05-03,7.476459886581012e-05,0.7484125418888521,0.000177639863130964,1.3630584933902925,8.625003411029641e-05,9.906620246418778e-05,1.1536213049855415
2013-05-06,7.535412832838797e-05,0.7501371759475671,0.0001875762479666686,1.3637072771650025,8.918321752154987e-05,9.898197538168386e-05,1.183521321259211
2013-05-07,7.392273390092128e-05,0.7371749012333714,0.00019290520886893918,1.3907643648873362,8.803016739397125e-05,0.00010561455500845907,1.1908402564217684
2013-05-08,6.958015556766957e-05,0.7345059643213709,0.00019658451657294032,1.385328790123479,8.590385999751582e-05,0.00010471529553964656,1.2346028734294907
2013-05-09,7.111722928104653e-05,0.7400827328838231,0.0001990162653917068,1.3814185006713997,8.804647470442937e-05,0.00010436971318350622,1.2380470329697542
2013-05-10,7.562958883543677e-05,0.7536704159692177,0.00020285675438581536,1.3690139447193257,9.335166624785885e-05,0.00010381821347913097,1.2343273008000049
2013-05-13,7.357910230951406e-05,0.7552508954209326,0.00020877663748225086,1.3676488517812693,9.360724007584946e-05,0.00010383283503335372,1.2721987240627926
2013-05-14,7.590263764609063e-05,0.7301261866854912,0.0002130694064661097,1.4239562358332454,9.285106879187211e-05,0.00010582045350650776,1.2232917283429137
2013-05-15,7.650099964197039e-05,0.7269708381353455,0.00021279319740720226,1.428945403463751,9.275330961805889e-05,0.00010546981490670162,1.2124457203454904
2013-05-16,7.639729836462006e-05,0.7379358620583791,0.00022106666743893096,1.4277990503105566,9.590014177955042e-05,0.00010459303615240616,1.2552818467722442
2013-05-17,7.425705624970095e-05,0.7540092007226677,0.00023098796443968303,1.4200541439809489,9.87507006063477e-05,0.00010149819432543213,1.3298493852797377
2013-05-20,7.217439206379002e-05,0.7610004705850633,0.00023705221717236106,1.422395815051307,9.954019871035492e-05,0.00010215999246845465,1.3791622743753509
2013-05-21,7.13709588975209e-05,0.7499832268768692,0.00023962679632597987,1.4161433413039803,9.807989839455423e-05,0.00010182036426836906,1.3742269952598476
2013-05-22,7.35750525384875e-05,0.7612459158774413,0.00025749532117083195,1.3906108902909406,0.00010477916595349749,9.809246387965021e-05,1.4241126895381686
2013-05-23,7.454058968752127e-05,0.7588518815612894,0.00026596588032296725,1.385249512087618,0.00010684799831356303,9.77534796499164e-05,1.4334203520722926
2013-05-24,7.630250921850573e-05,0.7546505032126516,0.00026191304660277764,1.3895751781977768,0.00010668266157647738,9.801260330005458e-05,1.3981540406616604
2013-05-28,7.438631671877e-05,0.755454455340069,0.00025699221973896606,1.3892669938103914,0.0001044515290790075,9.700275678806481e-05,1.4041766508470113
2013-05-29,7.273626036607267e-05,0.7705068711441992,0.00026734588031423345,1.2988677700661064,0.00010744562795136464,9.278358163538862e-05,1.4771948325443731
2013-05-30,7.309916508279677e-05,0.7659597901510093,0.00026742016278226844,1.308752167764317,0.00010709254863308715,9.325395042319958e-05,1.4650310781496245
2013-05-31,7.696255068093324e-05,0.7928098742983983,0.00027780179228157617,1.3106510952075785,0.00011592478484579049,8.6565240028315e-05,1.5062492578550906
2013-06-03,7.835861755638394e-05,0.7735016981300221,0.00026936473696860053,1.3017629506385953,0.00011237637652715738,8.659494069043186e-05,1.434129136419431
2013-06-04,7.696792659140356e-05,0.7625746108823941,0.00025855553546141083,1.2930223908895777,0.00010757569376435701,8.557303175055383e-05,1.3976691139861364
2013-06-05,8.390672708275947e-05,0.7554389480167949,0.0002542978783447788,1.3432629568342067,0.0001103491852202203,8.222076570079694e-05,1.3151410984172929
2013-06-06,8.864935953499249e-05,0.7625442112547302,0.0002543801652336946,1.2996370015953829,0.00011451027357374422,7.811610499715033e-05,1.291721386081122
2013-06-07,8.584609796353898e-05,0.7521902254887107,0.00024919638546412885,1.3475778731148615,0.00011001675592567354,7.67621520043969e-05,1.2815580269286142
2013-06-10,7.344670994631798e-05,0.7385347156441282,0.00023904745868746116,1.3311053363814092,9.785863492755886e-05,7.597831750478383e-05,1.3323760179194344
2013-06-11,7.540176794643908e-05,0.7212536758234326,0.0002340277264619709,1.3372112631470705,9.581035751808048e-05,7.363312835178596e-05,1.2706646028000093
2013-06-12,7.564969572692771e-05,0.7094719380797013,0.0002353985860829516,1.3203781842380249,9.467618293366001e-05,7.683245940762915e-05,1.251507782336787
2013-06-13,7.668406692361186e-05,0.7078399647375062,0.00025651507022419665,1.2555112510446846,9.927595889426866e-05,6.731357599255972e-05,1.29460998714585
2013-06-14,7.978958283363962e-05,0.6956975904502091,0.00024129494944969727,1.3111659755919542,9.653120161347501e-05,7.033269836278473e-05,1.209822111925832
2013-06-17,6.406673037804978e-05,0.687226853742663,0.0002387013482796961,1.3172792694850843,8.498530506912315e-05,6.962634887451727e-05,1.3265122875419968
2013-06-18,5.269216623890948e-05,0.6716309140844803,0.0002265824827205041,1.3536762972411174,7.338661735838993e-05,7.082976695373373e-05,1.3927424624307634
2013-06-19,5.313666894497608e-05,0.6754572670192216,0.00022011431252054488,1.3081537377331425,7.304982546722959e-05,6.503315788181595e-05,1.3747535725823146
2013-06-20,6.610900161714408e-05,0.6916880617426114,0.0002521605931127106,1.071138231878104,8.930570184283445e-05,3.7275082952689095e-05,1.3508856533642577
2013-06-21,6.524441916700448e-05,0.6855298352213773,0.0002481488191126839,1.093890954323615,8.722764585322052e-05,3.8385129746980554e-05,1.336936506859631
2013-06-24,5.5679700730278476e-05,0.6412499993383094,0.00022897576324146208,1.033409269847105,7.240533737755502e-05,3.878948051730243e-05,1.3003902037530382
2013-06-25,5.683904438603972e-05,0.6072884102286334,0.00023080194235194126,1.0015888548329412,6.955656178243278e-05,3.60045995327991e-05,1.2237461507976481
2013-06-26,5.616484134519195e-05,0.5855607735948384,0.00022540328360443328,0.9964592968948692,6.588466822291478e-05,3.3933034865586826e-05,1.1730589216478737
