Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_AMLP,Predicted_Covariance,Future_Cov_45_AMLP,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.6544536062710367,-8.739723286685315e-07,0.4842622961421951,,2.6522428151126092e-05,
2013-03-01,5.488021190183326e-05,0.662542182009856,2.0875547812566576e-05,0.4889624361366727,2.242540855622382e-05,2.6754376872297125e-05,0.4086246714268737
2013-03-04,5.501029900576039e-05,0.6669601974464807,3.751956924151612e-05,0.460701046648958,3.030057302301424e-05,2.518756848207169e-05,0.5508163665833069
2013-03-05,5.845535101370509e-05,0.6658637181895233,6.310482591672649e-05,0.4797294748806648,4.0441641444785696e-05,2.5710992790060166e-05,0.6918381421626224
2013-03-06,5.9250468430820016e-05,0.6640116791382449,8.928415990116525e-05,0.4715021375630764,4.8295739521785386e-05,2.5444251970781163e-05,0.8151115223363135
2013-03-07,5.369174155549812e-05,0.6448153185673678,8.160414472433034e-05,0.4736562825882561,4.268204314426319e-05,2.5602037151353903e-05,0.7949461482851171
2013-03-08,4.524810700565277e-05,0.6142711839178222,4.977182155003834e-05,0.4691223046851022,2.9150910072272808e-05,2.5255101726181082e-05,0.6442459585907325
2013-03-11,4.8373919939468494e-05,0.6079280750528776,3.060681402407252e-05,0.4490138373075475,2.3391975655713315e-05,2.4945570096194122e-05,0.48356584880828934
2013-03-12,5.1431479865635213e-05,0.6004671524329342,1.5715806534739044e-05,0.4449968608635455,1.707151650662174e-05,2.47516658906931e-05,0.3319273828250926
2013-03-13,5.5261000285198275e-05,0.5932403900731632,8.809895432003557e-06,0.4548699503169248,1.3089572398589296e-05,2.5679181533703315e-05,0.23686817703325855
2013-03-14,6.195858588029715e-05,0.5810835846627632,1.4812507971508703e-05,0.458760859926934,1.760368764865112e-05,2.6452523382348095e-05,0.2841202296427669
2013-03-15,6.386120353979619e-05,0.5776635044129633,3.2041938258744984e-05,0.4653473674657876,2.6130809855068002e-05,2.630489623246301e-05,0.40918129328370934
2013-03-18,6.402550064969363e-05,0.5720466939855164,4.683815319236696e-05,0.4647059321899079,3.132620985520892e-05,2.5730421741458023e-05,0.4892770776851211
2013-03-19,6.71640875084588e-05,0.569483574805628,6.172267632454181e-05,0.4415591804078535,3.666672627540444e-05,2.5117993070912673e-05,0.5459275579495746
2013-03-20,6.839791392936718e-05,0.5715341168169746,7.685014884793978e-05,0.4416822609432229,4.1436774764851444e-05,2.501191934989036e-05,0.6058192769978653
2013-03-21,6.814178529168062e-05,0.5602991902333584,7.321182618925576e-05,0.4907755760302716,3.957467606578705e-05,2.6730301495122603e-05,0.5807695806088411
2013-03-22,6.79733209422515e-05,0.5646185865018637,6.998370972494759e-05,0.4833665010356316,3.894241626495834e-05,2.6082338281167647e-05,0.5729073660832738
2013-03-25,7.243408887933498e-05,0.5608341579821503,6.331365091666835e-05,0.5235558008518963,3.7979971655774235e-05,2.8628046762343903e-05,0.5243383639303247
2013-03-26,7.339742545776695e-05,0.565036368498979,6.10336462564293e-05,0.503668186680684,3.781825391656264e-05,2.7104044111490756e-05,0.5152531397483874
2013-03-27,7.311742529462491e-05,0.5635765623590091,5.379447791181258e-05,0.5079355634083831,3.534534435472816e-05,3.0147635344346742e-05,0.48340521034903705
2013-03-28,6.422356192814954e-05,0.5761032184527208,5.140104076521531e-05,0.5312437298641036,3.310041600600477e-05,3.1724110120637554e-05,0.5153936501223031
2013-04-01,6.678777769649997e-05,0.5844683075044866,4.570991340420383e-05,0.5707373354299816,3.229346621640676e-05,3.4203074529768077e-05,0.4835235926422973
2013-04-02,6.451960799026473e-05,0.5873127045312154,4.714766925517218e-05,0.5758369290850145,3.239256728799134e-05,3.720349223862206e-05,0.5020577200791271
2013-04-03,6.836168011312682e-05,0.6116200768279411,5.157876030800593e-05,0.5759694783587895,3.6318135674095575e-05,3.649324377263115e-05,0.5312645273491715
2013-04-04,6.901245142532413e-05,0.6142200218221736,2.838006911663095e-05,0.5988227875257579,2.7182814456005552e-05,3.962496328166786e-05,0.3938827544101819
2013-04-05,6.697476452894188e-05,0.614868722103202,-1.142168733916281e-05,0.6049190842771045,,3.95881324553257e-05,
2013-04-08,7.273438811092278e-05,0.6218158265581561,-3.0260452226839545e-05,0.6089913605813901,,4.125957043418496e-05,
2013-04-09,7.022991067372413e-05,0.6312914654952042,-4.752854084176569e-05,0.5808406655378078,,4.036136654300143e-05,
2013-04-10,6.636144982931065e-05,0.625092696173754,-6.111137721243217e-05,0.5776798361511114,,4.113105356215936e-05,
2013-04-11,6.716170407401359e-05,0.6308779399081551,-6.543423352553682e-05,0.5592209529267171,,4.034882669017773e-05,
2013-04-12,6.98842565011876e-05,0.6249927109458802,-6.769594771990662e-05,0.5625792279724319,,4.1104333545008465e-05,
2013-04-15,9.593981606210937e-05,0.5913236470320067,-5.190580486560046e-05,0.5718622794853258,,3.4515482537329244e-05,
2013-04-16,8.836558039441448e-05,0.5763773473039719,-3.642173713188925e-05,0.5325404872342533,,3.266850959155928e-05,
2013-04-17,8.959564094882932e-05,0.5701682565969626,-2.5898222572883496e-05,0.6049718297475359,,4.299422223574444e-05,
2013-04-18,9.719405369416862e-05,0.573224396356412,-1.2217832921629378e-05,0.6195388906289571,,4.345858776009746e-05,
2013-04-19,7.72897485213767e-05,0.5745810728039701,-3.0107899849518847e-06,0.6035618297124495,,4.379928722787878e-05,
2013-04-22,7.797978274745508e-05,0.5737566347416664,4.8450617922389004e-06,0.6252744985703541,1.1152401372607543e-05,4.636442323780534e-05,0.1430165740359351
2013-04-23,8.499754389235151e-05,0.5642140743934633,1.0786107847206071e-05,0.6580169745726294,1.7083603488917085e-05,4.8665826283990796e-05,0.20098937812312892
2013-04-24,7.773768893068322e-05,0.5640829265361337,1.5634439484074773e-05,0.6682068812183825,1.9665270536856286e-05,4.987206632443105e-05,0.25296958023014193
2013-04-25,6.90805921567358e-05,0.5575074322384297,1.8141332698014986e-05,0.6660938177571258,1.9736188355857152e-05,4.980948648925078e-05,0.28569801936668465
2013-04-26,7.034557142953508e-05,0.5598799497446115,1.7591642790244258e-05,0.6710713595499747,1.969547661117672e-05,5.057355117090771e-05,0.2799817559362015
2013-04-29,6.776168711759701e-05,0.5608734123144378,1.9225042950252678e-05,0.6815087282378146,2.024373379712738e-05,5.0765462159822056e-05,0.29874896358461966
2013-04-30,5.8041023931509805e-05,0.5674035820313281,1.7982095708485125e-05,0.6805051774041063,1.8330729904684473e-05,5.062048392579518e-05,0.3158236823374325
2013-05-01,6.311211636341748e-05,0.561220789735924,2.289833155901683e-05,0.6418930514514172,2.133497027935033e-05,4.8046794575816574e-05,0.33804872199971103
2013-05-02,6.214021471172626e-05,0.5585762803760651,2.3200151338104115e-05,0.6579961873640264,2.120871095836574e-05,4.8518944987887805e-05,0.34130411452156634
2013-05-03,7.476459886581012e-05,0.5743686890835003,3.218083306895204e-05,0.6537281834114104,2.817327937927143e-05,4.7512538081398714e-05,0.3768264634153622
2013-05-06,7.535412832838797e-05,0.5821376935136705,3.8501403317301305e-05,0.6525452408003644,3.135577400505844e-05,4.73636960379154e-05,0.41611222504508566
2013-05-07,7.392273390092128e-05,0.6014403076054959,4.8085810117110315e-05,0.6689649658149572,3.585832582672762e-05,5.0801155799328324e-05,0.48507845874299743
