Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_IWN,Predicted_Covariance,Future_Cov_45_IWN,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.8954146658182217,0.0001085290208236015,1.3237314176195207,6.916637748852288e-05,7.249908096271251e-05,1.2580539358683214
2013-03-01,5.488021190183326e-05,0.8962214377813772,0.00010650196864731653,1.3251384722398487,6.851758318094792e-05,7.250711194586588e-05,1.2484934151403868
2013-03-04,5.501029900576039e-05,0.8961948502362966,0.00010439420265022835,1.3387245599461872,6.791452031139494e-05,7.319110034054051e-05,1.2345782796832878
2013-03-05,5.845535101370509e-05,0.8960652473885188,0.0001059820792759151,1.338844694532929,7.052904257633592e-05,7.175507883210508e-05,1.2065455318162421
2013-03-06,5.9250468430820016e-05,0.8955445886298319,0.00010092676503161178,1.3383612483116138,6.925263214933314e-05,7.222364039741881e-05,1.168811555138868
2013-03-07,5.369174155549812e-05,0.8921382236755621,8.949603473791694e-05,1.33957648324407,6.184260704468491e-05,7.240669690621992e-05,1.1518085510555047
2013-03-08,4.524810700565277e-05,0.8875512201897879,6.250513946557118e-05,1.3368948765159614,4.7201032321387257e-05,7.197145769115492e-05,1.04316037609022
2013-03-11,4.8373919939468494e-05,0.8888110561256639,6.445913852024261e-05,1.3358335272113728,4.963149274659725e-05,7.421403556227863e-05,1.0259969175270969
2013-03-12,5.1431479865635213e-05,0.8900531086299734,7.505365145334598e-05,1.3333966829865789,5.529888119140146e-05,7.41663416074356e-05,1.0751952177123785
2013-03-13,5.5261000285198275e-05,0.8901833809740132,8.34822700365067e-05,1.3238786294250056,6.046248294958507e-05,7.473810839759522e-05,1.0941257421606974
2013-03-14,6.195858588029715e-05,0.8896633887502768,9.073075115546244e-05,1.3098544912841112,6.670428304909653e-05,7.552727267030822e-05,1.0765946656363008
2013-03-15,6.386120353979619e-05,0.8861047103903551,9.208878992928664e-05,1.335448989236086,6.795274074578306e-05,7.548951501952043e-05,1.0640692154108427
2013-03-18,6.402550064969363e-05,0.893445884228274,9.636497958376781e-05,1.3438343474569494,7.017854518655628e-05,7.44071080560122e-05,1.0961030288623301
2013-03-19,6.71640875084588e-05,0.8990866006772672,9.884941769586359e-05,1.365708108877025,7.32583516111228e-05,7.768799367726214e-05,1.0907369448277917
2013-03-20,6.839791392936718e-05,0.9037543505852872,0.00010100539291468833,1.3574937459748178,7.511801624503525e-05,7.68731893823269e-05,1.0982501063206072
2013-03-21,6.814178529168062e-05,0.9058694603169168,0.00010443186584311822,1.3771660261286036,7.641680768791648e-05,7.500793618341526e-05,1.1214382975264685
2013-03-22,6.79733209422515e-05,0.9047393809076634,0.00010357727717479953,1.4095418582935304,7.591454331992004e-05,7.605853423997929e-05,1.1168285184185014
