Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_AXP,Predicted_Covariance,Future_Cov_45_AXP,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.6509112918060954,0.00012399438379977185,0.9995815664949734,5.374285054149239e-05,5.474580715812826e-05,0.9775183709704406
2013-03-01,5.488021190183326e-05,0.6514829402526391,0.00012446297413498938,0.9973606297719108,5.3843220075414604e-05,5.4572212903182604e-05,0.981104449299985
2013-03-04,5.501029900576039e-05,0.6544268528660032,0.00012507426938793945,0.988759026536674,5.4283407478999776e-05,5.4057692888498124e-05,0.9867862647559051
2013-03-05,5.845535101370509e-05,0.6567569090614559,0.0001253788892593193,0.9517265232799524,5.622493935093814e-05,5.100756793033592e-05,0.9618441832255182
2013-03-06,5.9250468430820016e-05,0.6540503980558197,0.00012509359681460685,0.9505556745340156,5.630858946879411e-05,5.129600943084539e-05,0.9503484269417921
2013-03-07,5.369174155549812e-05,0.6720654067758963,0.00012403814622243984,0.946641841249706,5.484574252895561e-05,5.1167820378662775e-05,1.021493081431614
2013-03-08,4.524810700565277e-05,0.7065776244037244,0.00012146573611561444,0.9508444241254668,5.2382591576698714e-05,5.118851185978008e-05,1.1576747635023636
2013-03-11,4.8373919939468494e-05,0.7121547825637422,0.00012055571004709196,0.993980316346244,5.438434829214815e-05,5.5221918781690125e-05,1.1242493550285082
2013-03-12,5.1431479865635213e-05,0.7162853551810878,0.00013558836017521855,1.009972347647922,5.98152312923396e-05,5.617679652685428e-05,1.1630081702608392
2013-03-13,5.5261000285198275e-05,0.7191736694409718,0.0001497753716583096,1.0192981337292493,6.542795592097737e-05,5.7543352324684186e-05,1.1839806659906285
2013-03-14,6.195858588029715e-05,0.7014033132630962,0.00015672868645731614,1.040822681340991,6.911826189197323e-05,6.001468023980038e-05,1.115555833141648
2013-03-15,6.386120353979619e-05,0.702060701363085,0.00016383289333868098,1.078162291036788,7.181146119253549e-05,6.094575616045015e-05,1.1244927626173686
2013-03-18,6.402550064969363e-05,0.6932658294506423,0.0001699357917537568,1.0782898913060184,7.231338907880196e-05,5.9704109074115486e-05,1.1294466789795885
2013-03-19,6.71640875084588e-05,0.6910716966212728,0.00017508204814129376,1.0724082097585286,7.493979057281874e-05,6.100369594178521e-05,1.115771736843453
2013-03-20,6.839791392936718e-05,0.6972714174953298,0.000178751544538818,1.0534113094840616,7.709890193147777e-05,5.965337765390737e-05,1.1272113066356948
2013-03-21,6.814178529168062e-05,0.6960823256485967,0.00016951621566022694,1.0408251024687782,7.481229621580277e-05,5.668898403160606e-05,1.0978916372027685
2013-03-22,6.79733209422515e-05,0.6996082475384439,0.0001624608674287386,1.041696131140577,7.351882354280346e-05,5.6209668689037414e-05,1.0815835172341113
2013-03-25,7.243408887933498e-05,0.7059199555804936,0.00015794901075754395,1.0410859253075793,7.550668697631427e-05,5.692660936012535e-05,1.042419227528323
2013-03-26,7.339742545776695e-05,0.6999750381252677,0.0001519777916388294,1.0224034621365758,7.392869345039085e-05,5.501889789807001e-05,1.0072382374355842
