Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_AAPL,Predicted_Covariance,Future_Cov_45_AAPL,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.4358002494091703,0.00035185904654060464,1.1835045292691675,6.0613549959490285e-05,6.481903318538973e-05,1.1024882010936783
2013-03-01,5.488021190183326e-05,0.4292655062635804,0.0003536853525745032,1.2163425382098725,5.980567811478532e-05,6.655416504014923e-05,1.0897494022392344
2013-03-04,5.501029900576039e-05,0.4117677533367406,0.00035443651366793514,1.250845720089992,5.749678531005057e-05,6.838656535390863e-05,1.0452003779152301
2013-03-05,5.845535101370509e-05,0.418238462832411,0.0003549872815899867,1.210628688057534,6.0247981722812514e-05,6.488337094115435e-05,1.0306666657204253
2013-03-06,5.9250468430820016e-05,0.4113505853782654,0.00035062414355518413,1.2319968513391013,5.928965492126782e-05,6.648376712499559e-05,1.0006613701374119
2013-03-07,5.369174155549812e-05,0.40005400161342436,0.00034734113938356505,1.219089330499092,5.4632424807854205e-05,6.589413352591068e-05,1.01752007338752
2013-03-08,4.524810700565277e-05,0.3683322859900439,0.0003405189439067964,1.221602442549068,4.572046457584341e-05,6.57647134817801e-05,1.0104392780482867
2013-03-11,4.8373919939468494e-05,0.3754431182095454,0.00034187466424742734,1.07689037186563,4.828177719037805e-05,5.982809888081629e-05,0.9980951978006797
2013-03-12,5.1431479865635213e-05,0.39270575334326907,0.0003421784801509285,0.9870202034051928,5.2096448865157083e-05,5.490014975530523e-05,1.0129292215829508
2013-03-13,5.5261000285198275e-05,0.3964182328369095,0.00034534255401194656,0.940588153522627,5.476310200833789e-05,5.3099867172869544e-05,0.9909900603628098
2013-03-14,6.195858588029715e-05,0.39875835678487614,0.0003437908896198763,0.8957719577663014,5.819795549719835e-05,5.16509378368479e-05,0.9393041282387518
2013-03-15,6.386120353979619e-05,0.36596469656719427,0.0003476609007580653,0.9741906638708588,5.4530021320588146e-05,5.5068506056696136e-05,0.8538833955205188
2013-03-18,6.402550064969363e-05,0.33256080350983935,0.00034966911449994017,1.0748877077514818,4.975952079257876e-05,5.951573270179883e-05,0.777182845704415
2013-03-19,6.71640875084588e-05,0.3317992237278198,0.0003480870325877029,1.026561476901199,5.0732684955823236e-05,5.839571502024576e-05,0.755354339466517
2013-03-20,6.839791392936718e-05,0.3305817917251898,0.000342489067445001,1.037560678739464,5.059687725830059e-05,5.875577606813839e-05,0.739742988514982
2013-03-21,6.814178529168062e-05,0.3539519190557712,0.0003359836970645836,1.0796831168579697,5.355624597291236e-05,5.880540239237009e-05,0.7859530792107233
2013-03-22,6.79733209422515e-05,0.3965245252304467,0.0003260904597049211,1.018387861657437,5.903483375717774e-05,5.495196016330129e-05,0.8685000664794988
2013-03-25,7.243408887933498e-05,0.4018668308971825,0.00033635043823805876,0.9862666918798486,6.272629870340906e-05,5.39290920458463e-05,0.865977603554899
2013-03-26,7.339742545776695e-05,0.3989082454423344,0.000345687430702768,1.0300320160914642,6.354117198826785e-05,5.542941551337335e-05,0.8657139074289409
2013-03-27,7.311742529462491e-05,0.394726821468297,0.00035825144926637207,0.9479376672055526,6.388531793633292e-05,5.626319789131771e-05,0.8737358800437591
2013-03-28,6.422356192814954e-05,0.38422828585300467,0.0003544187481042397,0.9620570298407116,5.796887486935079e-05,5.7450848718360735e-05,0.9026107106018781
2013-04-01,6.678777769649997e-05,0.5399939330333661,7.664953107609052e-05,0.9058115533211468,3.863599739017936e-05,5.428335969089424e-05,0.5784890398023242
2013-04-02,6.451960799026473e-05,0.5630496634266159,9.651663230092863e-05,0.8925937426431618,4.443177295421173e-05,5.7668417392808275e-05,0.6886553458433284
2013-04-03,6.836168011312682e-05,0.5515845443681259,0.00011766788040410465,0.8824495819772163,4.947062733235182e-05,5.591172609339297e-05,0.7236602033549563
2013-04-04,6.901245142532413e-05,0.5323806256984049,0.00014264626692211371,0.8833808098844638,5.282216224681157e-05,5.845457601911363e-05,0.7654004626102655
2013-04-05,6.697476452894188e-05,0.49658865704813354,0.00021818461408445252,0.8735633529585872,6.0029462383183144e-05,5.716920266513069e-05,0.8962997153538711
2013-04-08,7.273438811092278e-05,0.47876087457728833,0.00026180007724621287,0.8458807545988652,6.606530307267917e-05,5.730898471199097e-05,0.9083090514479479
2013-04-09,7.022991067372413e-05,0.47314345073178615,0.0002978745610986079,0.8619674879526465,6.843379093447007e-05,5.98962638010104e-05,0.9744251456106998
2013-04-10,6.636144982931065e-05,0.4493840902499927,0.00030635086183264636,0.8072086133255616,6.407449306620154e-05,5.747360152249662e-05,0.9655378722286594
2013-04-11,6.716170407401359e-05,0.4082228328573699,0.00030160042092767484,0.8288589741609808,5.809973041348932e-05,5.980370893470893e-05,0.8650723089077998
2013-04-12,6.98842565011876e-05,0.4050109371220793,0.0003093832272430823,0.8184540280986884,5.955315967179606e-05,5.979959033231995e-05,0.8521684661663965
2013-04-15,9.593981606210937e-05,0.4730022125803997,0.00031686270348443396,0.7682784645048127,8.247041398813676e-05,4.6370433715767556e-05,0.859605712968505
2013-04-16,8.836558039441448e-05,0.48399604542117125,0.00032361270865150356,0.7969889957459295,8.184575600060839e-05,4.889101068561624e-05,0.9262176023208896
2013-04-17,8.959564094882932e-05,0.5203152984670644,0.00037995761401630427,0.5307579877583696,9.600140997525674e-05,3.771998257935881e-05,1.0714964361947692
2013-04-18,9.719405369416862e-05,0.5143182749089157,0.00036717848656107237,0.4828023017051869,9.716065136406544e-05,3.3866971899263764e-05,0.9996563336044375
2013-04-19,7.72897485213767e-05,0.4518118449449222,0.00033943596304642344,0.5937488770282314,7.318085620915966e-05,4.3087180676385334e-05,0.9468378097894754
2013-04-22,7.797978274745508e-05,0.4165207337043332,0.0003392025122588071,0.5547940986938572,6.774186753146297e-05,4.113826561053092e-05,0.8687106471026141
2013-04-23,8.499754389235151e-05,0.4062427376585967,0.0003348872345343552,0.4664930045244362,6.853905228897168e-05,3.450103629260914e-05,0.8063650918640152
2013-04-24,7.773768893068322e-05,0.39850318244277066,0.0003230132869888177,0.4452216182069777,6.314773826982982e-05,3.322941247148307e-05,0.8123181836050863
2013-04-25,6.90805921567358e-05,0.3866378928732277,0.00031169344826151676,0.4252776095924431,5.673437539009216e-05,3.180161530473696e-05,0.8212780698429522
2013-04-26,7.034557142953508e-05,0.34934147553930517,0.00031333963583930654,0.4890619041170458,5.186521689073924e-05,3.68568809883222e-05,0.737291855574625
2013-04-29,6.776168711759701e-05,0.33540910287069664,0.0003222502832408408,0.4259906555104935,4.956368681803793e-05,3.173196704123421e-05,0.7314411568888867
2013-04-30,5.8041023931509805e-05,0.3223215192715942,0.00032987846238859587,0.4074231571021828,4.459989281171387e-05,3.0306833893257252e-05,0.7684201585475665
2013-05-01,6.311211636341748e-05,0.3253450018503957,0.00032142440907296144,0.364198150508299,4.6338283064785915e-05,2.726085550045719e-05,0.7342216635226891
2013-05-02,6.214021471172626e-05,0.34642445041133385,0.00031936965417368816,0.3219034235328278,4.8802462389008814e-05,2.3736329780831127e-05,0.7853603759724292
2013-05-03,7.476459886581012e-05,0.31346411023657783,0.00029938630059837736,0.331854131800134,4.6897726504227087e-05,2.411894190081238e-05,0.6272718267157511
2013-05-06,7.535412832838797e-05,0.29873417080686854,0.00028008500712519075,0.3160489304984355,4.3399363332127435e-05,2.293978185922559e-05,0.5759387613508855
2013-05-07,7.392273390092128e-05,0.2947633178039571,0.00025899803869408524,0.3726196680512071,4.0785959527425624e-05,2.8296713247909496e-05,0.551737704697057
2013-05-08,6.958015556766957e-05,0.28234925222759166,0.0002466944712579475,0.3590286763485057,3.699210523157238e-05,2.713853506768659e-05,0.5316473487271243
2013-05-09,7.111722928104653e-05,0.2758946787860955,0.00025356279362895306,0.348714684358457,3.704874510423046e-05,2.6346289391433646e-05,0.5209531569040518
2013-05-10,7.562958883543677e-05,0.2571258662319388,0.00025208684027666704,0.3427699942307085,3.5503136715910574e-05,2.5993722395997906e-05,0.4694344801101885
2013-05-13,7.357910230951406e-05,0.246713873553239,0.00025293688122103613,0.342894207142138,3.3657115582037275e-05,2.6032762428536288e-05,0.4574276462419586
2013-05-14,7.590263764609063e-05,0.22734575435053697,0.0002720441607752358,0.4261660950219606,3.2668935731460374e-05,3.16702777160368e-05,0.4304058033369673
2013-05-15,7.650099964197039e-05,0.21333995474365838,0.0002831923535361357,0.4739983130466307,3.1401219529486284e-05,3.498560142461393e-05,0.4104680942268208
2013-05-16,7.639729836462006e-05,0.21278448522506246,0.0002845122068334807,0.5009132685810774,3.137107576535776e-05,3.66942670248484e-05,0.41063069554676623
2013-05-17,7.425705624970095e-05,0.23305736173207334,0.0002638808045111855,0.5341231630863937,3.2623878414610645e-05,3.817638702752479e-05,0.43933708205329014
2013-05-20,7.217439206379002e-05,0.2732513544821671,0.0002471387622648035,0.4710352945345989,3.649424003678536e-05,3.383092218975288e-05,0.5056397289017772
2013-05-21,7.13709588975209e-05,0.30749934173126664,0.00022730921021727534,0.4702108711699899,3.916638356859078e-05,3.380804809023813e-05,0.5487719959714769
2013-05-22,7.35750525384875e-05,0.3084552969890588,0.00023041971341774287,0.4903626061721514,4.0162185631086185e-05,3.4589745103901264e-05,0.5458668970719
2013-05-23,7.454058968752127e-05,0.31467916398820994,0.00023854876225896433,0.47482794562919,4.196169120823719e-05,3.3507381533254605e-05,0.5629374731826402
2013-05-24,7.630250921850573e-05,0.31599182342805626,0.00023931677306650122,0.4760323757615801,4.2700388278305844e-05,3.357657299550696e-05,0.5596197125841004
2013-05-28,7.438631671877e-05,0.30071239984867143,0.0002325620849030956,0.4967759513403613,3.9551897183729776e-05,3.468637562162179e-05,0.5317093106419342
2013-05-29,7.273626036607267e-05,0.29466374247605753,0.00023628877034188595,0.5319048181688399,3.862991262902469e-05,3.799619580699368e-05,0.5310956658289151
2013-05-30,7.309916508279677e-05,0.3018658617746829,0.00025177613046142584,0.5235775000114811,4.095222349861446e-05,3.730704057757556e-05,0.5602283343760406
2013-05-31,7.696255068093324e-05,0.31163784785749865,0.00024915695183940346,0.5283030573677489,4.315453360838198e-05,3.489310094498394e-05,0.5607211978627044
2013-06-03,7.835861755638394e-05,0.33336988665120154,0.000238397616147865,0.5442981209597773,4.5563880507265147e-05,3.620740894438845e-05,0.5814788714780359
2013-06-04,7.696792659140356e-05,0.3612542783938005,0.00022031974503644916,0.5415233618822309,4.70429559740168e-05,3.583835528798056e-05,0.6112020689312808
2013-06-05,8.390672708275947e-05,0.380672385465355,0.00022369900798239778,0.5193627061986095,5.215329995214739e-05,3.179005209875541e-05,0.6215627967553445
2013-06-06,8.864935953499249e-05,0.383619101879692,0.00022448892567476962,0.5990522790919491,5.4117220918377345e-05,3.6006693157308055e-05,0.61046375520644
2013-06-07,8.584609796353898e-05,0.3926846637521427,0.0002221617190818239,0.5802826509630715,5.4229903763712073e-05,3.3054672347640215e-05,0.6317107597219491
2013-06-10,7.344670994631798e-05,0.36846995082860223,0.00021912273521920302,0.6185973379012784,4.674465617694584e-05,3.530898995149857e-05,0.6364431600967749
2013-06-11,7.540176794643908e-05,0.3578729057642113,0.0002173484094868894,0.5784401443076117,4.5813958413262215e-05,3.1851629255192336e-05,0.6075979338548894
2013-06-12,7.564969572692771e-05,0.3572140464730043,0.00021746005563975913,0.5173519281831115,4.581649562912951e-05,3.0104572686897648e-05,0.6056401838615857
2013-06-13,7.668406692361186e-05,0.3508753222830388,0.00021231478383744814,0.517980193558941,4.4770867676069035e-05,2.7771235895145037e-05,0.5838353320601414
