Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_MSFT,Predicted_Covariance,Future_Cov_45_MSFT,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.40999634038410504,0.00020310820029219014,0.6719094306121187,4.332530154784003e-05,3.679962231096595e-05,0.788035576158176
2013-03-01,5.488021190183326e-05,0.4133697638986682,0.00020010006725710737,0.6733189186326262,4.33181812283896e-05,3.6841742377341955e-05,0.7893224119811127
2013-03-04,5.501029900576039e-05,0.41961143961816927,0.00019883095089945653,0.6424756242816223,4.388451642587624e-05,3.51255958768977e-05,0.7977509160835662
2013-03-05,5.845535101370509e-05,0.4332450471573304,0.0001973706740135309,0.6259567969538921,4.6535786149834874e-05,3.354801307002057e-05,0.7960911249839963
2013-03-06,5.9250468430820016e-05,0.4436527665903953,0.00019503815944123205,0.645200585443127,4.769236764647396e-05,3.4817755763650645e-05,0.8049281112799787
2013-03-07,5.369174155549812e-05,0.404489055175777,0.00019739314077498303,0.6424541456905785,4.1641517622062966e-05,3.472588776006938e-05,0.7755665287746437
2013-03-08,4.524810700565277e-05,0.3834325823139724,0.0001908799504245732,0.6551261629936199,3.563439408583498e-05,3.526858076166835e-05,0.7875333675590723
2013-03-11,4.8373919939468494e-05,0.39364386257468836,0.00018856398649192828,0.6852266128796535,3.7595728178812626e-05,3.806868983340279e-05,0.7771900277227297
2013-03-12,5.1431479865635213e-05,0.4195051513409967,0.00018642072611998838,0.6887406913485616,4.1077017791677236e-05,3.8309212888609534e-05,0.7986746229933687
2013-03-13,5.5261000285198275e-05,0.46251487411136843,0.00018572862943227181,0.6724764073189555,4.6857002386933596e-05,3.7963914144349006e-05,0.8479217195690955
2013-03-14,6.195858588029715e-05,0.4459155715677427,0.0001901472942940396,0.7131219444094629,4.840034550672038e-05,4.1119189880237866e-05,0.7811725335408551
2013-03-15,6.386120353979619e-05,0.4436775496255016,0.00019404347423182238,0.7022229905693814,4.9389601733806165e-05,3.969486923193014e-05,0.7733897733860935
2013-03-18,6.402550064969363e-05,0.44089794828484946,0.00019643389199964137,0.7101866832008429,4.944504542096468e-05,3.932250829640198e-05,0.7722711250864898
2013-03-19,6.71640875084588e-05,0.44670335453317167,0.0001980767488884719,0.7303679053565315,5.152340102786751e-05,4.154681139007753e-05,0.7671272392612873
2013-03-20,6.839791392936718e-05,0.44982387006904556,0.00019937872883355669,0.7637920419180212,5.252950849847794e-05,4.325259726696906e-05,0.7679986929531777
2013-03-21,6.814178529168062e-05,0.42544920958039234,0.0002012420632589675,0.7465966145253897,4.982116235908513e-05,4.06637036890167e-05,0.7311396692327015
2013-03-22,6.79733209422515e-05,0.41004177596001967,0.00020299329395555038,0.7848183855299598,4.8165735405777565e-05,4.234860830615e-05,0.708597648873122
2013-03-25,7.243408887933498e-05,0.3971759647619353,0.00020433396390519753,0.7848811931345635,4.8319756825962736e-05,4.291732698478255e-05,0.6670858648675303
2013-03-26,7.339742545776695e-05,0.3900638207577434,0.00020517634376017576,0.810895214336383,4.7867387684855926e-05,4.363694241642465e-05,0.6521671214802887
2013-03-27,7.311742529462491e-05,0.3850428513689577,0.00020553106500355262,0.7871389399003622,4.720176584259748e-05,4.6719268023318855e-05,0.6455611046532218
2013-03-28,6.422356192814954e-05,0.38832390065964945,0.00020987763798664704,0.8049746594515179,4.508420331326878e-05,4.8070411574166145e-05,0.7019885219649912
2013-04-01,6.678777769649997e-05,0.4516308969772698,0.00021217699992009365,0.8418452784899652,5.376272757362682e-05,5.0449996899244345e-05,0.8049785369104184
2013-04-02,6.451960799026473e-05,0.49881234385864665,0.00021543152274633537,0.8319180341927758,5.8808171711791125e-05,5.374830019575068e-05,0.9114775111569898
2013-04-03,6.836168011312682e-05,0.5278228860869038,0.00021798848365400434,0.8004295583074511,6.443344561715731e-05,5.0714963364668436e-05,0.9425374787531705
2013-04-04,6.901245142532413e-05,0.5633114615578062,0.0002190124538389432,0.8307062184512003,6.925429627924093e-05,5.496902270534585e-05,1.0035043655010354
2013-04-05,6.697476452894188e-05,0.5279083214110567,0.0002247837303714086,0.8423094459790383,6.477337741448745e-05,5.512383190164822e-05,0.967131095869652
2013-04-08,7.273438811092278e-05,0.5088798294733937,0.00022760437353810245,0.9163303271204676,6.547498888100134e-05,6.208199018901144e-05,0.9001930253561689
2013-04-09,7.022991067372413e-05,0.4815134721667779,0.00023445630224309486,0.8652581647869267,6.178747621248143e-05,6.012492584511821e-05,0.879788620258044
2013-04-10,6.636144982931065e-05,0.48080042849221133,0.00023221877438077195,0.7220742091235473,5.9685858251656344e-05,5.141199521380812e-05,0.8994055796727662
2013-04-11,6.716170407401359e-05,0.4307456065227627,0.00024088070319777262,0.7804278396546023,5.478765534335064e-05,5.630931294975956e-05,0.8157573739191238
2013-04-12,6.98842565011876e-05,0.4540207140665418,0.00023516638009258713,0.7908356498382425,5.8204017014480144e-05,5.778167894216582e-05,0.8328630785889671
2013-04-15,9.593981606210937e-05,0.47435067344246185,0.0002302722929515282,0.8721443077412848,7.050498182751328e-05,5.263939011848714e-05,0.7348876068500055
2013-04-16,8.836558039441448e-05,0.49125840514042113,0.00022593077463864273,0.9160638513304636,6.94127509816903e-05,5.619561597859498e-05,0.7855179660663195
2013-04-17,8.959564094882932e-05,0.5057746938502111,0.00022167257898088015,1.0447806493138017,7.127816706619617e-05,7.425061666581821e-05,0.7955539612346231
