Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_CB,Predicted_Covariance,Future_Cov_45_CB,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.835434205063219,8.13498914271997e-05,0.9845855670910836,5.587128066913976e-05,5.392449540226284e-05,1.0162319771550612
2013-03-01,5.488021190183326e-05,0.8331084993169077,8.043935763389286e-05,0.9874962431482364,5.535332988615079e-05,5.40324669066823e-05,1.0086209212377644
2013-03-04,5.501029900576039e-05,0.835446121028405,8.024652991384593e-05,0.9982940638445476,5.5507744475348565e-05,5.457899494960286e-05,1.009042769782729
2013-03-05,5.845535101370509e-05,0.8345719065020936,8.181450035857247e-05,0.9976453731829306,5.771531083099086e-05,5.3468578313483693e-05,0.9873400780274038
2013-03-06,5.9250468430820016e-05,0.8334002067131889,8.128585192823701e-05,1.0020631697911346,5.783716257685248e-05,5.4075571989097105e-05,0.9761469252244361
2013-03-07,5.369174155549812e-05,0.8281676455094361,8.139098891791223e-05,0.9980870510080896,5.47469800745162e-05,5.394853335537273e-05,1.0196536466958768
2013-03-08,4.524810700565277e-05,0.8151088770924617,7.595249108176642e-05,0.9986987913721967,4.778447749539756e-05,5.376474176995133e-05,1.0560547315145785
2013-03-11,4.8373919939468494e-05,0.8141558908512295,7.814812479131847e-05,1.0086174291882315,5.0057884394486185e-05,5.603510335211493e-05,1.0348114119576184
2013-03-12,5.1431479865635213e-05,0.810008657125043,8.731809499009605e-05,1.016268447490385,5.428205702570648e-05,5.65269989067378e-05,1.0554247547906148
2013-03-13,5.5261000285198275e-05,0.8123730952004108,9.247333052255345e-05,1.018344965050248,5.807285163419679e-05,5.7489542237815925e-05,1.0508831062500994
2013-03-14,6.195858588029715e-05,0.838450509457652,9.34636341486582e-05,0.9714017192912834,6.380423608387608e-05,5.601181124583817e-05,1.029788449451456
2013-03-15,6.386120353979619e-05,0.8499118672120302,0.00010021998910731343,0.9672449138414084,6.799384774454162e-05,5.467588057613e-05,1.0647129082396656
2013-03-18,6.402550064969363e-05,0.8613923648722894,0.00010278975272840314,0.9681396315721882,6.987992339363721e-05,5.360517114034206e-05,1.0914389217504947
2013-03-19,6.71640875084588e-05,0.8645503147210103,0.000106139142047908,0.9625106787917928,7.299558930012446e-05,5.4752200006895655e-05,1.0868247006397762
2013-03-20,6.839791392936718e-05,0.8639494779823068,0.0001129856645479185,0.9589094315697873,7.594889278380924e-05,5.430185336185786e-05,1.1103977946204584
2013-03-21,6.814178529168062e-05,0.8485329905236528,0.00010961863403624619,0.9526195783698628,7.333607778829294e-05,5.188483246446722e-05,1.0762277136470402
2013-03-22,6.79733209422515e-05,0.8387710621676697,0.00010576730173483827,0.9365900412798218,7.111945101816461e-05,5.0538169763718e-05,1.0462847780908922
2013-03-25,7.243408887933498e-05,0.8337289982653209,0.00010255983917999118,0.942912542503768,7.185964602157975e-05,5.1558485868509166e-05,0.9920694404162084
2013-03-26,7.339742545776695e-05,0.8341044690807651,0.00010026179846104156,0.9749795203845124,7.155312514245107e-05,5.2466859387042156e-05,0.9748724113439499
2013-03-27,7.311742529462491e-05,0.83614640524366,9.258348524009693e-05,0.9144198009808882,6.879542132383945e-05,5.4273803012799546e-05,0.940889549196104
2013-03-28,6.422356192814954e-05,0.8269292447286449,9.665804120229488e-05,0.882179354257024,6.51530183876929e-05,5.268081938164595e-05,1.014472203528406
2013-04-01,6.678777769649997e-05,0.8258784860132112,9.925727661417246e-05,0.8679992846867169,6.724280583926956e-05,5.201735085993391e-05,1.0068130451178858
2013-04-02,6.451960799026473e-05,0.822522561991639,0.00010215522234300452,0.8560923805660935,6.677654827056298e-05,5.531014880643746e-05,1.034980688051279
2013-04-03,6.836168011312682e-05,0.818605429567279,0.0001058788124102329,0.8694422391476275,6.964429002927326e-05,5.508758497038238e-05,1.018762118105113
2013-04-04,6.901245142532413e-05,0.8178245053762577,0.00010406232812419858,0.8583947031217245,6.930596514597201e-05,5.680120947453663e-05,1.004253054551547
2013-04-05,6.697476452894188e-05,0.793983638528919,9.815986027785327e-05,0.8639857652571615,6.437750133833986e-05,5.65424100570256e-05,0.9612202714131282
2013-04-08,7.273438811092278e-05,0.7229417639869552,9.382835046873243e-05,0.8471925423668533,5.972281227531481e-05,5.7397859207281474e-05,0.821108334399338
2013-04-09,7.022991067372413e-05,0.6901702993208682,9.234239750146374e-05,0.8572980011334687,5.557991740125161e-05,5.9571791221422523e-05,0.7913995172151959
2013-04-10,6.636144982931065e-05,0.7105286052546312,8.798112763263612e-05,0.8957335301721427,5.429180264559645e-05,6.377661379424565e-05,0.8181226116252924
2013-04-11,6.716170407401359e-05,0.7131303618522294,8.676451372433816e-05,0.9038233903869398,5.443783552265643e-05,6.521253030022013e-05,0.8105487535376531
2013-04-12,6.98842565011876e-05,0.7335089615761179,8.732214177043766e-05,0.9193332486689212,5.7300351792280375e-05,6.717023774321676e-05,0.8199321944751122
2013-04-15,9.593981606210937e-05,0.6735219863417822,0.00012069351531216752,0.8071540538599843,7.247582812977675e-05,4.871681985392023e-05,0.7554301342714422
2013-04-16,8.836558039441448e-05,0.675985069119908,0.00012798425822509724,0.8376244959717511,7.188809058919286e-05,5.138378120862264e-05,0.8135304523359058
2013-04-17,8.959564094882932e-05,0.6744959173830707,0.0001346834069667618,0.8599316753888454,7.409344920045977e-05,6.111374404764114e-05,0.8269760494573246
2013-04-18,9.719405369416862e-05,0.6720671131335556,0.00013720033598982063,0.8609697073641855,7.760864116357768e-05,6.039415467249609e-05,0.7984916588393512
2013-04-19,7.72897485213767e-05,0.6910777336834273,0.0001287049043616289,0.8249357693876389,6.89263681840067e-05,5.98639558190323e-05,0.8917918547107594
2013-04-22,7.797978274745508e-05,0.7034355020874407,0.00012195223104298486,0.8247152691009441,6.859779698467442e-05,6.115305817637519e-05,0.8796869466389114
2013-04-23,8.499754389235151e-05,0.7064522079641687,0.00011774195863313402,0.8759260403046116,7.067268689995782e-05,6.478201347734851e-05,0.8314674008635359
2013-04-24,7.773768893068322e-05,0.7084245875546853,0.00011443172520289348,0.8858310296454684,6.681633674213887e-05,6.611458981410817e-05,0.8595102023384996
2013-04-25,6.90805921567358e-05,0.7212299471114468,0.00010754928466110032,0.8852340054282117,6.216637448092269e-05,6.61964577027185e-05,0.8999108510806397
2013-04-26,7.034557142953508e-05,0.7203398773194801,0.00010578646884159741,0.8794965332544779,6.213994990170103e-05,6.628097339604744e-05,0.8833526921299717
2013-04-29,6.776168711759701e-05,0.7421967564732483,0.00010255619944997685,0.8939405652013763,6.187170961497367e-05,6.658947135307187e-05,0.9130780570383146
2013-04-30,5.8041023931509805e-05,0.7724061321707081,8.886788434029141e-05,0.8935726626028866,5.547351258516603e-05,6.646985519841025e-05,0.9557638516271953
