Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_TWX,Predicted_Covariance,Future_Cov_45_TWX,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.6382804124574133,0.00012395503736770992,0.9468318350108966,5.269161285248192e-05,5.185677166140886e-05,0.9583976108523877
2013-03-01,5.488021190183326e-05,0.6312413916710918,0.00012398046309706427,0.9435800562835404,5.2069089743233785e-05,5.162952114369954e-05,0.94877712637794
2013-03-04,5.501029900576039e-05,0.6347294460193905,0.0001234048201093355,0.950302849028772,5.229699209085575e-05,5.195520666324527e-05,0.9506763830783665
2013-03-05,5.845535101370509e-05,0.6352446750389836,0.0001232124123943579,0.912941544655867,5.391137393491728e-05,4.8928895766165524e-05,0.9222658490627751
2013-03-06,5.9250468430820016e-05,0.6266626052936546,0.00012471787158150593,0.91102623238679,5.3869633311128924e-05,4.916283334079239e-05,0.9091849353735714
2013-03-07,5.369174155549812e-05,0.6154958377714936,0.00012320062375386308,0.9002623214010045,5.005936303307179e-05,4.8660917728200927e-05,0.9323475376809719
2013-03-08,4.524810700565277e-05,0.5887760057787231,0.00013222599045958536,0.890433184375564,4.554164617783844e-05,4.7936285329403066e-05,1.0064873249205541
2013-03-11,4.8373919939468494e-05,0.5905066848634061,0.00013367022361871438,0.8847024019425598,4.748405468574887e-05,4.915083667413389e-05,0.9816044419217393
2013-03-12,5.1431479865635213e-05,0.6034328572745028,0.00013361904092372087,0.8530809198385236,5.002391059890621e-05,4.745016372608311e-05,0.9726321453241034
2013-03-13,5.5261000285198275e-05,0.6060392383485194,0.0001349998338853242,0.8609015964867499,5.234518411503227e-05,4.8601250452871866e-05,0.9472355521051433
2013-03-14,6.195858588029715e-05,0.6329116318922134,0.0001314118760418045,0.8211903108377535,5.7109865001581097e-05,4.7350499565837176e-05,0.9217425509342048
2013-03-15,6.386120353979619e-05,0.6410581846442205,0.00012820328279207238,0.8070479216720432,5.800501879772233e-05,4.5620354424308235e-05,0.9082982402856771
2013-03-18,6.402550064969363e-05,0.6387977221476339,0.00012568516413011133,0.7969536072727037,5.730359367851825e-05,4.412672833090275e-05,0.8950120357831588
2013-03-19,6.71640875084588e-05,0.634722374363788,0.00012244069619344252,0.7889169294217246,5.7559268008002193e-05,4.487735924420636e-05,0.856994714634559
