Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_HYG,Predicted_Covariance,Future_Cov_45_HYG,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.7102566478584643,9.571845815496246e-06,0.259388206640424,1.6293374484583373e-05,1.4206361157321948e-05,0.2963570544417758
2013-03-01,5.488021190183326e-05,0.7034980384324702,9.535517078572928e-06,0.2628025629985419,1.60932183881274e-05,1.4379670694178263e-05,0.2932426430297695
2013-03-04,5.501029900576039e-05,0.6968567179134372,9.348906454273505e-06,0.2617790102128166,1.5803231460911497e-05,1.431205072110097e-05,0.28727768702469086
2013-03-05,5.845535101370509e-05,0.7026798596650841,9.381458156499796e-06,0.2663482247117971,1.64552625179485e-05,1.4274872910224586e-05,0.28150138922423884
2013-03-06,5.9250468430820016e-05,0.7023773054755761,7.986508582154746e-06,0.2704394254592367,1.5278997015763743e-05,1.4594056603396613e-05,0.25787132862254547
2013-03-07,5.369174155549812e-05,0.706063657270294,7.93977141395548e-06,0.2648592299776952,1.4578122761879587e-05,1.4316153073519893e-05,0.27151517793124674
2013-03-08,4.524810700565277e-05,0.6559818443377222,6.580798295964941e-06,0.2654686408028829,1.1319606159567081e-05,1.4291449077630425e-05,0.25016750774022306
2013-03-11,4.8373919939468494e-05,0.6601667096260099,6.703806856948518e-06,0.2611405534046559,1.1888306892272983e-05,1.4508016098071344e-05,0.2457586010633234
2013-03-12,5.1431479865635213e-05,0.667377309271346,6.348031940384731e-06,0.2595064359472598,1.2058839048632655e-05,1.4434296427589116e-05,0.23446416630702407
2013-03-13,5.5261000285198275e-05,0.6761496527079003,6.749140165509316e-06,0.2505676084337843,1.3057992777162005e-05,1.4145518073800877e-05,0.23629671395325075
2013-03-14,6.195858588029715e-05,0.6811521295316474,7.289039721055676e-06,0.2389106327192993,1.447538174193675e-05,1.3775780914059044e-05,0.23362995678924825
2013-03-15,6.386120353979619e-05,0.679391204928499,7.397811274919673e-06,0.2421474559739174,1.4766925840916645e-05,1.3687976225237886e-05,0.23123469371688848
2013-03-18,6.402550064969363e-05,0.6734867710750515,7.8907956606539e-06,0.2468592843523452,1.5137911420848184e-05,1.3668414920480392e-05,0.23643565871781466
2013-03-19,6.71640875084588e-05,0.6796091400530831,8.026593554699552e-06,0.2605485822549043,1.5779506130396348e-05,1.4821246560132323e-05,0.23493963389897976
2013-03-20,6.839791392936718e-05,0.6911839952348995,8.340863367698356e-06,0.2598426029773176,1.650899381967376e-05,1.4714564753981902e-05,0.24136692000171509
2013-03-21,6.814178529168062e-05,0.6896424201286033,8.546658056305555e-06,0.2642020783227241,1.664289546668814e-05,1.4389879109975807e-05,0.2442392049965861
2013-03-22,6.79733209422515e-05,0.6846664507309652,8.823743050228101e-06,0.2617594956898504,1.6767747222926716e-05,1.4124478424265457e-05,0.24668130069990535
2013-03-25,7.243408887933498e-05,0.6906021201280522,9.515504500933703e-06,0.2681773009304025,1.813073113242306e-05,1.4663942791088386e-05,0.25030660857246806
2013-03-26,7.339742545776695e-05,0.7055576192921197,1.0572417181750244e-05,0.2693658598183516,1.965441153623731e-05,1.4495464156196159e-05,0.267780666878384
2013-03-27,7.311742529462491e-05,0.7154740418690068,1.1479430120855924e-05,0.3226332435387972,2.0728338448179576e-05,1.9149337193291076e-05,0.2834938233212566
2013-03-28,6.422356192814954e-05,0.7001720814631484,1.2066469178752038e-05,0.309316417937357,1.949135753750405e-05,1.8471348560247458e-05,0.3034923157845108
2013-04-01,6.678777769649997e-05,0.7071171363225383,1.088422428236615e-05,0.3016183140935572,1.9065078584770603e-05,1.8075344008663463e-05,0.2854575978168789
