Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_VEA,Predicted_Covariance,Future_Cov_45_VEA,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.8945406145535437,8.538526531255946e-05,1.016209321256946,6.128997080813932e-05,5.565648807320718e-05,1.1147914897990543
2013-03-01,5.488021190183326e-05,0.8958906403398255,8.336480798682772e-05,1.0190159556304368,6.0597438458041815e-05,5.575711936325571e-05,1.104176466490968
2013-03-04,5.501029900576039e-05,0.8963227520915993,8.327937670191155e-05,1.016649431322254,6.066736835610896e-05,5.55825244156659e-05,1.1028365497478245
2013-03-05,5.845535101370509e-05,0.8956792820940408,8.548998442340883e-05,1.0229361250090283,6.331728495204883e-05,5.482403044203541e-05,1.0831734623782148
2013-03-06,5.9250468430820016e-05,0.8966128855396381,8.205933891487309e-05,1.034295113030898,6.251941088103291e-05,5.581494413603828e-05,1.055171588289292
2013-03-07,5.369174155549812e-05,0.8929497850031682,7.55392298693998e-05,1.0315935388234876,5.686788270586934e-05,5.575962375445628e-05,1.0591551150764633
2013-03-08,4.524810700565277e-05,0.8904432953294876,6.973443107649169e-05,1.0345528434675424,5.0018435859491126e-05,5.569493720922285e-05,1.1054260425357112
2013-03-11,4.8373919939468494e-05,0.8832788793019204,6.945121279448579e-05,1.0100801086602773,5.1196869184535085e-05,5.611636448543981e-05,1.0583568428731642
2013-03-12,5.1431479865635213e-05,0.8858608264800375,7.327891815334762e-05,1.0042001229590034,5.4383797746856344e-05,5.5855733190207684e-05,1.0574029347188543
2013-03-13,5.5261000285198275e-05,0.8849792549821031,7.604417570836778e-05,1.0125407881166826,5.7368756931322455e-05,5.716187382835757e-05,1.038141847509929
2013-03-14,6.195858588029715e-05,0.8861493908363317,8.051380650416363e-05,0.999533568292495,6.258825907015872e-05,5.763391648300193e-05,1.010162807638607
2013-03-15,6.386120353979619e-05,0.8861530537972397,8.146141681766019e-05,1.016158649891704,6.39150698138522e-05,5.744084894406578e-05,1.0008434898039846
2013-03-18,6.402550064969363e-05,0.8878627867435428,8.023508911300646e-05,1.0009731789189575,6.36362405554219e-05,5.54231402299969e-05,0.9939202334956893
2013-03-19,6.71640875084588e-05,0.8893087839632475,8.045340255939544e-05,1.0049009404451708,6.537223744147953e-05,5.716356035388296e-05,0.9733213070637847
2013-03-20,6.839791392936718e-05,0.8901123901550444,8.410350090356032e-05,1.025485224418785,6.751080889666156e-05,5.807195804715378e-05,0.9870302326234436
2013-03-21,6.814178529168062e-05,0.8858424670836702,8.550058509498513e-05,1.035685321284929,6.761573816960005e-05,5.640904365279885e-05,0.9922801094830606
2013-03-22,6.79733209422515e-05,0.8834746219922351,8.279493121706885e-05,1.0368654225926963,6.627735953200282e-05,5.59490048362185e-05,0.9750496020094482
2013-03-25,7.243408887933498e-05,0.8832430304056699,8.594521656324292e-05,1.02202964124583,6.968873401843117e-05,5.588461118085085e-05,0.9620985795033995
2013-03-26,7.339742545776695e-05,0.8813021315379352,8.574443526558713e-05,1.028658631283604,6.991465291100081e-05,5.535550915319656e-05,0.9525491183778628
2013-03-27,7.311742529462491e-05,0.880415162276635,8.516932010794411e-05,1.0556357175432254,6.947675859702806e-05,6.26554290772776e-05,0.9502079472447659
2013-03-28,6.422356192814954e-05,0.8781132858164702,8.407626424660237e-05,1.0573489542579846,6.45259556847628e-05,6.31413657708524e-05,1.0047084550830667
2013-04-01,6.678777769649997e-05,0.876184400400227,8.592820643147658e-05,1.0265144419735517,6.637612373214843e-05,6.151682706766252e-05,0.9938363877561222
2013-04-02,6.451960799026473e-05,0.8746152081551808,8.406178552110035e-05,1.0595840363300355,6.44113186087112e-05,6.845727406613141e-05,0.9983216050914341
2013-04-03,6.836168011312682e-05,0.8749840673163938,8.314013939248534e-05,1.0765981344458195,6.596474425364819e-05,6.821291690219938e-05,0.9649374348975609
2013-04-04,6.901245142532413e-05,0.8767045499430673,8.327383565720094e-05,1.06651617584098,6.646167344685834e-05,7.057290602052427e-05,0.9630388730470486
2013-04-05,6.697476452894188e-05,0.879758820019888,8.401989454723725e-05,1.0684576408826016,6.599488756577845e-05,6.992380255404388e-05,0.9853694601234471
2013-04-08,7.273438811092278e-05,0.8815717115261056,8.316871486659555e-05,1.077217906633826,6.856579817254399e-05,7.298223089616987e-05,0.9426874956035716
2013-04-09,7.022991067372413e-05,0.8842825937789623,8.036330616671634e-05,1.0490751756693242,6.643256668994671e-05,7.289797393429425e-05,0.9459298189710191
2013-04-10,6.636144982931065e-05,0.882888023630382,7.310370258140926e-05,1.042609208158009,6.14940710655714e-05,7.423422543335927e-05,0.9266535198332961
