Date,Code,Symbol,Close,Volume,Adjustment Factor,Adj_Close,Log_Return,SPY_Return,Beta_45d,Future_Beta_45d,Variance_45d,Variance_45d_MA,Variance_5d_MA,MA_45d,MA_5d
2010-01-05,103857,XOP,43.5,6013376.0,1.0,43.5,0.008310297133628035,0.0026436391850606,,1.3877928672465727,,,,,
2010-01-06,103857,XOP,43.99,3683307.0,1.0,43.99,0.011201397265989996,0.0007037917067137724,,1.3867599068740772,,,,,
2010-01-07,103857,XOP,43.73,2373390.0,1.0,43.73,-0.005927969935799317,0.004212380076925267,,1.3968001731821282,,,,,
2010-01-08,103857,XOP,44.07,2227937.0,1.0,44.07,0.0077449134290664195,0.00332226219197786,,1.3890450437771389,,,,,
2010-01-11,103857,XOP,43.58,2888659.0,1.0,43.58,-0.011180949337421822,0.0013955519055172563,,1.3873240275430117,,,,,0.0020295377110926623
2010-01-12,103857,XOP,42.55,2568612.0,1.0,42.55,-0.02391847449709069,-0.00937000594207626,,1.3710489301698088,,,,,-0.004416216615051083
2010-01-13,103857,XOP,42.98,3672356.0,1.0,42.98,0.010055036194981243,0.008410773254615995,,1.3725706816742487,,,,,-0.004645488829252834
2010-01-14,103857,XOP,43.38,3969401.0,1.0,43.38,0.009263614184364019,0.002700938257075907,,1.3557647591966147,,,,,-0.0016071720052201661
2010-01-15,103857,XOP,43.0,2350297.0,1.0,43.0,-0.008798389705165976,-0.011287690394680128,,1.3878766086948504,,,,,-0.004915832632066646
2010-01-19,103857,XOP,43.32,2312758.0,1.0,43.32,0.007414306439227461,0.012418174449160133,,1.4040958208173508,,,,,-0.0011967814767367888
2010-01-20,103857,XOP,42.91,1383852.0,1.0,42.91,-0.009509523129356602,-0.010220661148887651,,1.4336251853079536,,,,,0.001685008796810029
2010-01-21,103857,XOP,42.3,3012766.0,1.0,42.3,-0.014317812951201042,-0.019416364211104684,,1.519972020490116,,,,,-0.003189561032426428
2010-01-22,103857,XOP,41.41,5307936.0,1.0,41.41,-0.02126468849475637,-0.022544071865518076,,1.6655769770316153,,,,,-0.009295221568250505
2010-01-25,103857,XOP,41.78,3295131.0,1.0,41.78,0.008895358570943849,0.005114633489588099,,1.6616416185336627,,,,,-0.0057564719130285425
2010-01-26,103857,XOP,41.17,2974402.0,1.0,41.17,-0.014707920346606389,-0.004199385393481015,,1.6268987677209024,,,,,-0.010180917270195312
2010-01-27,103857,XOP,40.85,5384330.0,1.0,40.85,-0.007803014475801401,0.00474583349451048,,1.6722612131369323,,,,,-0.009839615539484271
2010-01-28,103857,XOP,40.44,4615936.0,1.0,40.44,-0.010087427153741299,-0.01153858955649378,,1.7394590279409101,,,,,-0.008993538379992321
2010-01-29,103857,XOP,39.46,5686160.0,1.0,39.46,-0.024531893557801308,-0.010928058373635528,,1.7203576175336153,,,,,-0.009646979392601309
2010-02-01,103857,XOP,41.15,3029970.0,1.0,41.15,0.04193642652860942,0.015431121627790404,,1.6302665943423527,,,,,-0.0030387658010681954
2010-02-02,103857,XOP,41.96,2488946.0,1.0,41.96,0.01949285640501761,0.012030768513439743,,1.6215589803971315,,,,,0.0038013895492566034
2010-02-03,103857,XOP,41.27,3229151.0,1.0,41.27,-0.016580939763605942,-0.004995242211100722,,1.618869639781824,,,,,0.0020458044916956963
2010-02-04,103857,XOP,39.43,4621477.0,1.0,39.43,-0.0456088958749547,-0.031352269690766106,,1.771977800640423,,,,,-0.005058489252546984
2010-02-05,103857,XOP,39.48,6867429.0,1.0,39.48,0.0012672666757450363,0.002064759062967673,,1.7746699683922202,,,,,0.00010134279416228404
