Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Predicted_Covariance,Future_Cov_45_GM,Future_Beta_45d_GM,Beta_Predicted
2013-02-28,5.691358046932573e-05,,,,7.129873493367646e-05,1.3018147846146548,
2013-03-01,5.5838116524781546e-05,,,,7.103006455646727e-05,1.2981439848235692,
2013-03-04,5.8972066735456676e-05,,,,7.099737002011577e-05,1.2985994539676335,
2013-03-05,6.11786007539575e-05,,,,6.922798173911752e-05,1.2916927634001865,
2013-03-06,6.590896266954058e-05,,,,7.071936019904523e-05,1.310485745041114,
2013-03-07,5.3955812695860885e-05,,,,7.030339458184953e-05,1.300663862571312,
2013-03-08,4.929502236785567e-05,,,,7.030818572390676e-05,1.3059990208170444,
2013-03-11,5.35802625243998e-05,,,,7.294529510009056e-05,1.312996525640448,
2013-03-12,5.6179309735355506e-05,,,,7.481739124502185e-05,1.3451015535303097,
2013-03-13,5.980852391245655e-05,,,,7.49166391125363e-05,1.327041045537401,
2013-03-14,5.972483264048624e-05,,,,8.01740479197149e-05,1.390442591651411,
2013-03-15,6.0377570368552215e-05,,,,7.967366788154664e-05,1.4094688409857934,
2013-03-18,6.293895641571719e-05,,,,7.810630277636252e-05,1.410643890967175,
2013-03-19,6.828960197696439e-05,,,,7.979340583148624e-05,1.402719985686424,
2013-03-20,7.201894103781252e-05,,,,7.684292591004308e-05,1.3569593272172924,
2013-03-21,6.386024496606538e-05,,,,7.182127430200402e-05,1.3186580507977357,
2013-03-22,6.109938216174091e-05,,,,7.744328135696141e-05,1.4352044488764508,
2013-03-25,6.90847351937948e-05,,,,7.691191993793904e-05,1.4065815307780942,
2013-03-26,6.986579653938218e-05,,,,7.829581421266488e-05,1.454953017600134,
2013-03-27,7.055738009628346e-05,,,,8.744900910716235e-05,1.473364700183048,
2013-03-28,6.270856611580808e-05,,,,8.917886701039102e-05,1.4933662049305376,
2013-04-01,6.402944972186006e-05,,,,8.711447228406217e-05,1.453655335736619,
2013-04-02,6.542705634015262e-05,,,,9.797065842862817e-05,1.5163932119096035,
2013-04-03,7.110557547624629e-05,,,,9.708455417363625e-05,1.5322765050012226,
2013-04-04,7.401898593142035e-05,,,,0.00010069464634841013,1.5217237776765775,
2013-04-05,6.689999650423111e-05,,,,9.935644549209516e-05,1.518197659157845,
2013-04-08,6.996145604142163e-05,,,,0.00010711879676786409,1.5810737024410206,
2013-04-09,6.721931982262908e-05,,,,0.00011139591821132329,1.6030993203147523,
2013-04-10,6.60928416800098e-05,,,,0.00011338054157967083,1.592413687713713,
2013-04-11,6.786935264400559e-05,,,,0.00011240574997492089,1.5579052917223906,
2013-04-12,7.03054677152204e-05,,,,0.00010882362478330559,1.489427160976026,
2013-04-15,8.660177500528317e-05,,,,9.421961125834868e-05,1.5610571750850464,
2013-04-16,8.873786892326793e-05,,,,9.399221826886677e-05,1.5321991219967808,
2013-04-17,8.92862384210096e-05,,,,0.00011172091311340853,1.5720253027648226,
2013-04-18,8.84988058069485e-05,,,,0.00011059783984391597,1.5766656611371,
2013-04-19,7.825806509621888e-05,,,,0.00011792130721550297,1.6249762142195407,
2013-04-22,7.859260407575907e-05,,,,0.0001200695968551749,1.619268648767466,
2013-04-23,7.958136556689035e-05,,,,0.00012039978359681935,1.627941152776447,
2013-04-24,7.895788968860065e-05,,,,0.0001221456387371318,1.6365585452989968,
