Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_AABA,Predicted_Covariance,Future_Cov_45_AABA,Beta_Predicted
2013-02-28,5.691358046932573e-05,0.48475774593306387,0.0002255332112096986,0.9719898470972644,5.492094018649715e-05,5.3234643887476e-05,0.9649883162085973
2013-03-01,5.5838116524781546e-05,0.501026391076117,0.00023140489434500612,0.9525249480971956,5.695242922049373e-05,5.211895548257285e-05,1.019956129702506
2013-03-04,5.8972066735456676e-05,0.5160051895638939,0.00024167005040160033,0.9516573443614124,6.160112731468558e-05,5.202925998740781e-05,1.044581455674983
2013-03-05,6.11786007539575e-05,0.5250582176516928,0.00024147971867584714,0.9589504660454264,6.381864228129428e-05,5.139473351028087e-05,1.0431530223771257
2013-03-06,6.590896266954058e-05,0.5366411977961565,0.00024072386816058618,0.9692314040192884,6.75951949915129e-05,5.23038308783098e-05,1.0255842643196629
2013-03-07,5.3955812695860885e-05,0.5319239770831333,0.00023243012669694433,0.985851550402973,5.95682574325318e-05,5.328718090936285e-05,1.1040192790405594
2013-03-08,4.929502236785567e-05,0.5406758085495655,0.00023283048640588533,0.9859500810382594,5.7923980025629484e-05,5.3078417600015714e-05,1.1750472409441606
2013-03-11,5.35802625243998e-05,0.5363637842681667,0.00023218560303725505,0.9953393889244212,5.982455935580155e-05,5.529742389411149e-05,1.1165409898571916
2013-03-12,5.6179309735355506e-05,0.5435289395105652,0.0002348252525240134,1.0107723686221373,6.242855331092638e-05,5.6221295384263825e-05,1.1112374574377872
2013-03-13,5.980852391245655e-05,0.5432146287489669,0.00022689491515522924,1.0748351359404802,6.32798411946038e-05,6.067863255285964e-05,1.0580405108681217
2013-03-14,5.972483264048624e-05,0.5603164714368943,0.00022481929074190805,1.0322415844449409,6.492734541141952e-05,5.951988723081273e-05,1.0871080343121229
2013-03-15,6.0377570368552215e-05,0.5836523590410467,0.00022306287355122335,0.9955544485755868,6.773384161472889e-05,5.6276146153277694e-05,1.1218378149579897
2013-03-18,6.293895641571719e-05,0.6089212100289444,0.00021798278525073347,0.9948989769249772,7.132338872826523e-05,5.508681618457004e-05,1.1332153055917888
2013-03-19,6.828960197696439e-05,0.6276855113477777,0.00021673547106916506,1.050850983636595,7.63632479386288e-05,5.9777418060168684e-05,1.118226578101712
2013-03-20,7.201894103781252e-05,0.6390581090284879,0.00021770377391306596,1.1127857040272706,8.00196586522117e-05,6.301567607311907e-05,1.1110918530473604
2013-03-21,6.386024496606538e-05,0.5866216138031408,0.00023294140211881393,1.2770730538180597,7.154786733030133e-05,6.955632966899731e-05,1.1203819742364136
2013-03-22,6.109938216174091e-05,0.5783501893430256,0.0002304004703292537,1.2251817049726608,6.862004082253305e-05,6.611050541675627e-05,1.1230889477881072
2013-03-25,6.90847351937948e-05,0.5865253102273092,0.00023122095448467126,1.2565854115581057,7.412955641246022e-05,6.871012767775792e-05,1.0730236745427744
2013-03-26,6.986579653938218e-05,0.6014957637795825,0.00023032909106565088,1.2755599496998435,7.630258956231622e-05,6.864208234266334e-05,1.0921308185373042
