Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_AGN,Predicted_Covariance,Future_Cov_45_AGN,Beta_Predicted
2013-02-28,5.691358046932573e-05,0.42271480195186434,0.0001454214224661558,0.5876170959888314,3.845648655239528e-05,3.218303868150187e-05,0.6756996526184444
2013-03-01,5.5838116524781546e-05,0.4069039956073707,0.00014490102978849978,0.5895466058959927,3.660101007548551e-05,3.22580037079091e-05,0.6554843242114299
2013-03-04,5.8972066735456676e-05,0.38781273219375884,0.00014489052053446582,0.5782334661105603,3.584802416867864e-05,3.161333175216998e-05,0.6078814284988453
2013-03-05,6.11786007539575e-05,0.37607118490572566,0.0001446989324228833,0.5899936558440285,3.538363869927722e-05,3.1620576649705605e-05,0.5783662630922192
2013-03-06,6.590896266954058e-05,0.3461887310310185,0.00014520071052827874,0.6015557552557242,3.386643916410908e-05,3.2462495907884624e-05,0.5138366284705653
2013-03-07,5.3955812695860885e-05,0.47637523917335595,0.00013728774989605507,0.6970733086058187,4.1000031707020494e-05,3.767815903680744e-05,0.7598816449699354
2013-03-08,4.929502236785567e-05,0.5404906897404522,0.00013723137452323757,0.6956692891073452,4.445457453259705e-05,3.745121152570084e-05,0.9018065597143338
2013-03-11,5.35802625243998e-05,0.5241578723626859,0.00013764083970096386,0.6810779289702349,4.501302380530525e-05,3.78382040962818e-05,0.8401045774049142
2013-03-12,5.6179309735355506e-05,0.5061299639753628,0.0001419732469336393,0.716001989915277,4.520156859135316e-05,3.9825543930946215e-05,0.8045945883686484
2013-03-13,5.980852391245655e-05,0.4865149027532835,0.00014429967874292183,0.727232625215781,4.519707941613639e-05,4.1055116054899305e-05,0.7556962864071457
2013-03-14,5.972483264048624e-05,0.4129164799437165,0.00018868931025821506,0.7581506621950371,4.383422530883114e-05,4.371558228016879e-05,0.7339363439106035
2013-03-15,6.0377570368552215e-05,0.3681475451264668,0.00022864053568073242,0.7650458077656189,4.325500232767844e-05,4.324608237487227e-05,0.7164084620107188
2013-03-18,6.293895641571719e-05,0.3386621134442567,0.0002620572879937461,0.7236218253765397,4.3493514692199056e-05,4.00664021234252e-05,0.6910428321200732
2013-03-19,6.828960197696439e-05,0.32177969490608266,0.00024459820476542776,0.7125103377912994,4.158747558378641e-05,4.053098774000071e-05,0.6089869376865719
2013-03-20,7.201894103781252e-05,0.31064941916722727,0.0002639111903620321,0.7726735962916954,4.282750893243419e-05,4.375554869006138e-05,0.5946700731124083
2013-03-21,6.386024496606538e-05,0.2911372394613211,0.0002894266706293719,0.7967738677590388,3.958059552110869e-05,4.3396629231036385e-05,0.6198002457106354
2013-03-22,6.109938216174091e-05,0.28433264142018455,0.0003095116394092155,0.7679356432696397,3.9100618010523536e-05,4.143761965922481e-05,0.6399511194240436
2013-03-25,6.90847351937948e-05,0.2729754000758126,0.000328199496245629,0.8416976191911766,4.110394585644611e-05,4.6024050851410294e-05,0.5949786988564453
2013-03-26,6.986579653938218e-05,0.269931156572057,0.0003315753086135334,0.8795730974462886,4.10843494168641e-05,4.7332725518315964e-05,0.5880466759397145
