Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_AET,Predicted_Covariance,Future_Cov_45_AET,Beta_Predicted
2013-02-28,5.691358046932573e-05,0.47441159842027325,0.00022676874666690733,0.8146015464604212,5.3895791234220936e-05,4.461468745328215e-05,0.9469759377248937
2013-03-01,5.5838116524781546e-05,0.47464075952277884,0.00022887075783348094,0.8090957917284962,5.365689833624498e-05,4.427099535237767e-05,0.960936752091763
2013-03-04,5.8972066735456676e-05,0.4775253634074508,0.00023261368248527243,0.8326380164515725,5.5929024719132536e-05,4.55222040685542e-05,0.9483985862327846
2013-03-05,6.11786007539575e-05,0.4855453550622631,0.00023654844359489424,0.8167403718319366,5.84103247948772e-05,4.37730156495923e-05,0.9547509108583
2013-03-06,6.590896266954058e-05,0.48475944622425743,0.0002406166268448125,0.8136947634834313,6.104657963645113e-05,4.391041511791225e-05,0.9262257690586204
2013-03-07,5.3955812695860885e-05,0.45912812045787377,0.00023331142374501164,0.8013469096057353,5.1513494765236945e-05,4.331434862162093e-05,0.9547348504527058
2013-03-08,4.929502236785567e-05,0.48247863296232807,0.0002410221086663555,0.7852347534483535,5.2590592026532097e-05,4.2272949674781723e-05,1.0668540047326442
2013-03-11,5.35802625243998e-05,0.4720536960806922,0.00024300120885440747,0.7728977106769487,5.38639301211781e-05,4.2939376065762336e-05,1.0052942554480602
2013-03-12,5.6179309735355506e-05,0.46758420463360245,0.0002521401118129852,0.8116780598587127,5.56504911839993e-05,4.514724915012246e-05,0.9905869517826524
2013-03-13,5.980852391245655e-05,0.4794858627543423,0.0002544975987084685,0.8200724352883766,5.915605354647457e-05,4.629628517312251e-05,0.9890906793329823
2013-03-14,5.972483264048624e-05,0.46218649308435295,0.00023204675037112173,0.8318614548653039,5.44104685346164e-05,4.79658063881109e-05,0.9110191879840055
2013-03-15,6.0377570368552215e-05,0.4660135894300951,0.00022695058281998424,0.8294457276833834,5.4550916175631004e-05,4.6886445100122535e-05,0.9034963785830634
2013-03-18,6.293895641571719e-05,0.45495164413890987,0.000226007309629529,0.8177719570479576,5.426080723380324e-05,4.527942486988213e-05,0.8621180001048313
2013-03-19,6.828960197696439e-05,0.4423567885784477,0.00022678258197793524,0.8469202208810868,5.50496845909502e-05,4.817686322376515e-05,0.8061210344954081
2013-03-20,7.201894103781252e-05,0.44318510237715175,0.0002304302981177574,0.8626672127598529,5.709240128706536e-05,4.885177572055093e-05,0.7927414714011111
2013-03-21,6.386024496606538e-05,0.4402467141077256,0.00022596625442987105,0.9190480633064768,5.2885084999136553e-05,5.005634554881639e-05,0.8281378348491945
